id;Country;Unit Name;loc_codes;Latitude ;Longitude;Status;Type;Reservoir area (km2);First Year;Capacity (MW);CF_H1D1;CF_H1D2;CF_S1D1;CF_S1D2;CF_H2D1;CF_H2D2;CF_S2D1;CF_S2D2;CF_H3D1;CF_H3D2;CF_S3D1;CF_S3D2;CF_H4D1;CF_H4D2;CF_S4D1;CF_S4D2
1;EGYPT;Aswan 1;A1;24.03;32.87;Existing;Reservoir;8.24;2010;280;1.00;1.00;0.40949003;0.126185898;0.975847203;0.975847203;0.381810733;0.117441182;0.994355126;0.994355126;0.371004084;0.128847811;0.955967289;0.955967289;0.401260756;0.112682677
2;EGYPT;Aswan 2;A2;24.03;32.87;Existing;Reservoir;8.24;2010;270;1.00;1.00;0.40949003;0.126185898;1;1;0.381810733;0.117441182;1;1;0.371004084;0.128847811;0.991684482;0.991684482;0.401260756;0.112682677
3;EGYPT;High Aswan Dam;HA;23.97;32.88;Existing;Reservoir;6500;2010;2100;0.84;0.84;0.405868485;0.126038612;0.837945097;0.837945097;0.383855205;0.118164896;0.837945097;0.837945097;0.374238526;0.129793918;0.837945097;0.837945097;0.394260572;0.111777413
4;ETHIOPIA;Finchaa;FC;9.55921;37.36562;Existing;Reservoir;;1973;128;0.43;0.43;0.31769913;0.122600283;0.60124878;0.60124878;0.26080937;0.078234182;0.537474943;0.537474943;0.290626127;0.120324399;0.425420226;0.425420226;0.363996408;0.135937166
5;ETHIOPIA;Beles;LT;11.71;37.38;Existing;Reservoir;3600;2010;460;0.05;0.05;0.345440528;0.119542283;0.703897463;0.703897463;0.247866413;0.097465532;0.66602337;0.66602337;0.315969955;0.141242193;0.035945812;0.035945812;0.386511832;0.140750107
6;ETHIOPIA;Tekeze 1;T1;13.34763;38.74316;Existing;Reservoir;;2010;300;0.72;0.72;0.287426565;0.138854168;0.720380221;0.720380221;0.262417243;0.114038791;0.720380221;0.720380221;0.246598323;0.143809536;0.720380221;0.720380221;0.268179432;0.113901266
7;ETHIOPIA;Amarti-Neshe;AN;9.5941701;37.2329979;Existing;Reservoir;;2013;98;0.45;0.45;0.32822894;0.112132001;0.601445964;0.601445964;0.253947592;0.078348712;0.542475936;0.542475936;0.300302671;0.118919937;0.447190795;0.447190795;0.381996727;0.132589596
8;ETHIOPIA;Renaissance;RN;11.21;35.09;Existing;Reservoir;1874;2023;6400;0.29;0.29;0.333037837;0.105679169;0.482499652;0.482499652;0.277648464;0.06782728;0.409490737;0.409490737;0.308511219;0.109189814;0.272172544;0.272172544;0.378357538;0.113396364
9;ETHIOPIA;Baro;BR;7.21667;35.63334;Candidate;Reservoir;;2025;645;0.81;0.81;0.282820563;0.092343709;0.733817214;0.733817214;0.226572069;0.071754364;0.840877839;0.840877839;0.257433797;0.104603795;0.289803166;0.289803166;0.330275481;0.102904033
10;ETHIOPIA;Birbir;BB;8.543;35.195;Candidate;Reservoir;;2025;467;0.21;0.21;0.308724695;0.087997689;0.798477083;0.798477083;0.270460712;0.071315784;0.523169672;0.523169672;0.298849369;0.100828681;0.031765653;0.031765653;0.351547412;0.10596294
