Latitude (decimal degrees):	24.034
Longitude (decimal degrees):	32.872
Elevation (m):	109
Radiation database:	PVGIS-SARAH2


Slope: 25 deg. (optimum)
Azimuth: 1 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0008,0.0,0.0,0.0,12.83,3.03,0.0
20190101:0108,0.0,0.0,0.0,12.03,2.76,0.0
20190101:0208,0.0,0.0,0.0,11.07,2.48,0.0
20190101:0308,0.0,0.0,0.0,10.22,2.21,0.0
20190101:0408,0.0,0.0,0.0,9.53,2.21,0.0
20190101:0508,44.49,69.88,6.72,9.32,1.93,0.0
20190101:0608,299.05,365.27,18.25,10.9,1.52,0.0
20190101:0708,413.09,505.67,28.49,14.73,2.14,0.0
20190101:0808,493.77,610.49,36.69,17.0,2.83,0.0
20190101:0908,608.96,765.53,41.8,18.65,3.03,0.0
20190101:1008,356.14,447.69,42.78,20.05,2.97,0.0
20190101:1108,399.7,503.55,39.4,20.95,2.83,0.0
20190101:1208,302.53,383.63,32.43,21.42,2.62,0.0
20190101:1308,80.95,116.4,22.97,21.53,2.55,0.0
20190101:1408,41.83,67.69,11.94,21.31,2.62,0.0
20190101:1508,0.0,0.0,0.0,20.9,2.55,0.0
20190101:1608,0.0,0.0,0.0,20.04,2.41,0.0
20190101:1708,0.0,0.0,0.0,19.29,2.48,0.0
20190101:1808,0.0,0.0,0.0,18.4,2.97,0.0
20190101:1908,0.0,0.0,0.0,17.25,3.72,0.0
20190101:2008,0.0,0.0,0.0,16.18,3.93,0.0
20190101:2108,0.0,0.0,0.0,15.24,4.34,0.0
20190101:2208,0.0,0.0,0.0,14.4,4.41,0.0
20190101:2308,0.0,0.0,0.0,13.67,4.34,0.0
20190102:0008,0.0,0.0,0.0,12.96,4.14,0.0
20190102:0108,0.0,0.0,0.0,12.27,3.86,0.0
20190102:0208,0.0,0.0,0.0,11.59,3.66,0.0
20190102:0308,0.0,0.0,0.0,11.01,3.38,0.0
20190102:0408,0.0,0.0,0.0,10.31,3.17,0.0
20190102:0508,83.81,120.64,6.67,9.81,2.83,0.0
20190102:0608,410.98,498.48,18.22,10.87,2.28,0.0
20190102:0708,464.17,563.18,28.48,13.8,2.83,0.0
20190102:0808,558.18,686.19,36.72,15.71,3.17,0.0
20190102:0908,684.95,859.19,41.86,17.34,3.31,0.0
20190102:1008,781.43,996.12,42.88,18.53,3.45,0.0
20190102:1108,701.65,884.45,39.52,19.47,3.93,0.0
20190102:1208,619.79,772.54,32.56,20.07,4.41,0.0
20190102:1308,448.11,555.1,23.11,20.31,4.69,0.0
20190102:1408,243.98,316.48,12.07,20.12,4.62,0.0
20190102:1508,0.0,0.0,0.0,19.46,4.07,0.0
20190102:1608,0.0,0.0,0.0,18.29,3.45,0.0
20190102:1708,0.0,0.0,0.0,17.19,3.45,0.0
20190102:1808,0.0,0.0,0.0,16.08,3.72,0.0
20190102:1908,0.0,0.0,0.0,15.02,3.59,0.0
20190102:2008,0.0,0.0,0.0,14.04,3.24,0.0
20190102:2108,0.0,0.0,0.0,12.98,2.76,0.0
20190102:2208,0.0,0.0,0.0,11.77,2.28,0.0
20190102:2308,0.0,0.0,0.0,10.86,1.93,0.0
20190103:0008,0.0,0.0,0.0,10.09,1.86,0.0
20190103:0108,0.0,0.0,0.0,9.01,2.0,0.0
20190103:0208,0.0,0.0,0.0,7.76,2.48,0.0
