Latitude (decimal degrees):	7.220
Longitude (decimal degrees):	35.630
Elevation (m):	1249
Radiation database:	PVGIS-SARAH2


Slope: 11 deg. (optimum)
Azimuth: -5 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0006,0.0,0.0,0.0,14.35,1.03,0.0
20190101:0106,0.0,0.0,0.0,14.33,1.03,0.0
20190101:0206,0.0,0.0,0.0,13.81,1.1,0.0
20190101:0306,0.0,0.0,0.0,14.26,0.97,0.0
20190101:0406,0.0,1.97,3.09,14.0,0.97,0.0
20190101:0506,200.81,266.0,16.58,16.92,0.34,0.0
20190101:0606,417.39,533.63,29.59,19.41,0.55,0.0
20190101:0706,569.95,745.46,41.71,21.71,0.76,0.0
20190101:0806,686.15,924.27,52.02,22.85,0.76,0.0
20190101:0906,718.18,982.18,58.64,23.78,0.76,0.0
20190101:1006,721.2,989.66,59.11,24.25,0.76,0.0
20190101:1106,676.88,916.91,53.19,24.38,0.83,0.0
20190101:1206,573.55,761.4,43.24,24.34,0.76,0.0
20190101:1306,417.76,542.97,31.3,23.71,0.97,0.0
20190101:1406,223.67,301.74,18.38,22.83,1.31,0.0
20190101:1506,13.47,29.57,4.94,21.69,1.03,0.0
20190101:1606,0.0,0.0,0.0,20.01,0.55,0.0
20190101:1706,0.0,0.0,0.0,19.32,0.34,0.0
20190101:1806,0.0,0.0,0.0,17.36,0.97,0.0
20190101:1906,0.0,0.0,0.0,16.47,1.03,0.0
20190101:2006,0.0,0.0,0.0,15.69,1.1,0.0
20190101:2106,0.0,0.0,0.0,14.84,1.17,0.0
20190101:2206,0.0,0.0,0.0,14.51,1.24,0.0
20190101:2306,0.0,0.0,0.0,14.14,1.24,0.0
20190102:0006,0.0,0.0,0.0,13.4,1.31,0.0
20190102:0106,0.0,0.0,0.0,13.2,1.31,0.0
20190102:0206,0.0,0.0,0.0,13.08,1.31,0.0
20190102:0306,0.0,0.0,0.0,13.05,1.31,0.0
20190102:0406,2.79,11.83,3.01,13.21,1.24,0.0
20190102:0506,219.03,288.52,16.5,16.05,0.55,0.0
20190102:0606,397.94,514.44,29.53,20.48,0.07,0.0
20190102:0706,524.07,684.32,41.67,22.17,0.69,0.0
20190102:0806,639.76,853.72,52.01,22.55,0.76,0.0
20190102:0906,604.84,804.48,58.7,23.08,0.97,0.0
20190102:1006,621.98,831.72,59.22,23.82,1.03,0.0
20190102:1106,439.03,577.16,53.32,24.12,0.76,0.0
20190102:1206,518.13,685.4,43.38,24.17,0.55,0.0
20190102:1306,388.65,500.74,31.43,22.04,0.9,0.0
20190102:1406,219.96,295.28,18.5,21.65,1.03,0.0
20190102:1506,14.21,30.55,5.06,20.8,0.34,0.0
20190102:1606,0.0,0.0,0.0,19.59,0.55,0.0
20190102:1706,0.0,0.0,0.0,18.15,0.76,0.0
20190102:1806,0.0,0.0,0.0,16.82,1.03,0.0
20190102:1906,0.0,0.0,0.0,16.07,1.1,0.0
20190102:2006,0.0,0.0,0.0,15.27,1.24,0.0
20190102:2106,0.0,0.0,0.0,14.88,1.38,0.0
20190102:2206,0.0,0.0,0.0,14.43,1.52,0.0
20190102:2306,0.0,0.0,0.0,14.25,1.59,0.0
20190103:0006,0.0,0.0,0.0,14.04,1.66,0.0
20190103:0106,0.0,0.0,0.0,13.68,1.66,0.0
20190103:0206,0.0,0.0,0.0,13.5,1.59,0.0
20190103:0306,0.0,0.0,0.0,13.09,1.59,0.0
20190103:0406,5.03,15.77,2.92,12.96,1.52,0.0
20190103:0506,135.02,180.49,16.43,15.2,0.83,0.0
20190103:0606,405.84,524.5,29.47,20.51,0.14,0.0
20190103:0706,567.92,754.69,41.64,22.87,0.28,0.0
20190103:0806,320.27,420.08,52.02,23.93,0.55,0.0
20190103:0906,296.48,390.32,58.76,24.41,0.62,0.0
20190103:1006,510.49,678.91,59.33,24.61,0.76,0.0
20190103:1106,378.21,496.85,53.45,24.25,0.62,0.0
20190103:1206,493.45,654.87,43.51,24.79,0.41,0.0
20190103:1306,423.11,558.59,31.56,24.87,0.28,0.0
20190103:1406,95.34,136.44,18.62,23.79,0.55,0.0
20190103:1506,14.09,30.55,5.17,22.43,1.1,0.0
20190103:1606,0.0,0.0,0.0,20.81,0.55,0.0
20190103:1706,0.0,0.0,0.0,18.85,0.76,0.0
20190103:1806,0.0,0.0,0.0,17.8,1.03,0.0
20190103:1906,0.0,0.0,0.0,17.41,1.03,0.0
20190103:2006,0.0,0.0,0.0,16.82,1.1,0.0
20190103:2106,0.0,0.0,0.0,16.14,1.24,0.0
20190103:2206,0.0,0.0,0.0,15.51,1.38,0.0
20190103:2306,0.0,0.0,0.0,15.27,1.45,0.0
20190104:0006,0.0,0.0,0.0,15.08,1.52,0.0
20190104:0106,0.0,0.0,0.0,15.0,1.52,0.0
20190104:0206,0.0,0.0,0.0,14.87,1.59,0.0
20190104:0306,0.0,0.0,0.0,14.83,1.59,0.0
20190104:0406,4.98,15.77,2.84,14.66,1.59,0.0
20190104:0506,229.34,301.39,16.36,16.1,1.24,0.0
20190104:0606,437.66,563.61,29.42,21.28,0.83,0.0
20190104:0706,589.78,773.29,41.61,23.39,1.24,0.0
20190104:0806,693.8,931.78,52.03,24.63,1.38,0.0
20190104:0906,741.69,1009.67,58.82,25.79,1.59,0.0
20190104:1006,737.72,1007.09,59.45,26.62,1.66,0.0
20190104:1106,685.88,923.48,53.59,27.14,1.93,0.0
20190104:1206,591.58,783.64,43.65,27.41,2.0,0.0
20190104:1306,431.48,565.04,31.7,27.09,1.86,0.0
20190104:1406,221.84,302.97,18.75,26.47,1.79,0.0
20190104:1506,15.25,32.52,5.29,24.66,1.38,0.0
20190104:1606,0.0,0.0,0.0,22.54,1.17,0.0
20190104:1706,0.0,0.0,0.0,22.09,0.97,0.0
20190104:1806,0.0,0.0,0.0,20.15,1.1,0.0
20190104:1906,0.0,0.0,0.0,19.41,1.1,0.0
20190104:2006,0.0,0.0,0.0,18.71,1.1,0.0
20190104:2106,0.0,0.0,0.0,17.91,1.17,0.0
20190104:2206,0.0,0.0,0.0,17.1,1.24,0.0
20190104:2306,0.0,0.0,0.0,16.44,1.31,0.0
20190105:0006,0.0,0.0,0.0,16.09,1.24,0.0
20190105:0106,0.0,0.0,0.0,16.13,1.17,0.0
20190105:0206,0.0,0.0,0.0,16.13,1.1,0.0
20190105:0306,0.0,0.0,0.0,15.76,1.17,0.0
20190105:0406,3.28,12.81,2.76,15.37,1.17,0.0
20190105:0506,226.91,299.51,16.29,16.49,0.9,0.0
20190105:0606,432.82,557.29,29.37,21.26,0.83,0.0
20190105:0706,583.24,765.9,41.59,23.05,1.03,0.0
20190105:0806,696.69,939.42,52.05,24.39,1.17,0.0
20190105:0906,740.72,1013.37,58.9,25.48,1.31,0.0
20190105:1006,735.08,1010.78,59.58,26.5,1.31,0.0
20190105:1106,684.82,934.11,53.74,27.19,1.31,0.0
20190105:1206,591.71,793.28,43.8,27.51,1.31,0.0
20190105:1306,431.56,569.95,31.83,27.37,1.24,0.0
20190105:1406,233.18,320.18,18.87,26.6,0.83,0.0
20190105:1506,15.8,33.51,5.41,25.95,0.07,0.0
20190105:1606,0.0,0.0,0.0,24.63,0.55,0.0
20190105:1706,0.0,0.0,0.0,21.85,0.83,0.0
20190105:1806,0.0,0.0,0.0,20.02,0.97,0.0
20190105:1906,0.0,0.0,0.0,17.51,1.24,0.0
20190105:2006,0.0,0.0,0.0,16.55,1.31,0.0
20190105:2106,0.0,0.0,0.0,16.06,1.31,0.0
20190105:2206,0.0,0.0,0.0,15.69,1.31,0.0
20190105:2306,0.0,0.0,0.0,15.28,1.38,0.0
20190106:0006,0.0,0.0,0.0,15.28,1.31,0.0
20190106:0106,0.0,0.0,0.0,15.16,1.24,0.0
20190106:0206,0.0,0.0,0.0,15.25,1.17,0.0
20190106:0306,0.0,0.0,0.0,15.17,1.17,0.0
20190106:0406,2.25,10.84,2.68,15.15,1.24,0.0
20190106:0506,118.08,160.29,16.23,16.28,1.17,0.0
20190106:0606,303.66,390.27,29.33,20.98,0.76,0.0
20190106:0706,578.72,762.15,41.57,22.75,0.76,0.0
20190106:0806,671.46,919.71,52.07,24.2,0.34,0.0
20190106:0906,719.18,1003.65,58.98,25.35,0.41,0.0
20190106:1006,718.52,1008.07,59.71,26.22,0.41,0.0
20190106:1106,668.9,926.59,53.89,26.8,0.48,0.0
20190106:1206,584.58,786.82,43.94,26.75,0.83,0.0
20190106:1306,428.31,565.59,31.97,26.39,0.83,0.0
20190106:1406,232.31,316.44,19.0,25.54,1.1,0.0
20190106:1506,16.66,34.49,5.52,24.1,1.31,0.0
20190106:1606,0.0,0.0,0.0,21.96,1.1,0.0
20190106:1706,0.0,0.0,0.0,20.57,0.76,0.0
20190106:1806,0.0,0.0,0.0,20.3,0.76,0.0
20190106:1906,0.0,0.0,0.0,18.02,1.03,0.0
20190106:2006,0.0,0.0,0.0,17.07,1.1,0.0
20190106:2106,0.0,0.0,0.0,16.73,1.1,0.0
20190106:2206,0.0,0.0,0.0,16.96,1.03,0.0
20190106:2306,0.0,0.0,0.0,16.23,1.17,0.0
20190107:0006,0.0,0.0,0.0,15.35,1.31,0.0
20190107:0106,0.0,0.0,0.0,14.75,1.38,0.0
20190107:0206,0.0,0.0,0.0,14.5,1.31,0.0
20190107:0306,0.0,0.0,0.0,14.56,1.24,0.0
20190107:0406,4.41,14.78,2.6,14.23,1.31,0.0
20190107:0506,126.64,170.93,16.16,16.05,0.83,0.0
20190107:0606,310.79,401.1,29.29,21.38,0.48,0.0
20190107:0706,536.01,707.12,41.56,22.77,0.41,0.0
20190107:0806,668.34,900.51,52.1,22.39,0.55,0.0
20190107:0906,683.87,941.26,59.07,24.91,0.55,0.0
20190107:1006,682.04,946.18,59.85,25.94,0.48,0.0
20190107:1106,672.54,931.62,54.05,26.63,0.48,0.0
20190107:1206,582.33,791.86,44.1,26.98,0.41,0.0
20190107:1306,433.52,578.32,32.11,27.08,0.41,0.0
20190107:1406,233.41,320.7,19.13,26.02,0.14,0.0
20190107:1506,16.66,34.49,5.64,24.03,0.9,0.0
20190107:1606,0.0,0.0,0.0,22.18,0.55,0.0
20190107:1706,0.0,0.0,0.0,21.4,0.41,0.0
20190107:1806,0.0,0.0,0.0,18.88,0.97,0.0
20190107:1906,0.0,0.0,0.0,17.12,1.1,0.0
20190107:2006,0.0,0.0,0.0,15.94,1.17,0.0
20190107:2106,0.0,0.0,0.0,15.19,1.31,0.0
20190107:2206,0.0,0.0,0.0,14.71,1.38,0.0
20190107:2306,0.0,0.0,0.0,14.36,1.45,0.0
20190108:0006,0.0,0.0,0.0,14.27,1.45,0.0
20190108:0106,0.0,0.0,0.0,14.6,1.38,0.0
20190108:0206,0.0,0.0,0.0,15.37,1.1,0.0
20190108:0306,0.0,0.0,0.0,15.4,1.1,0.0
20190108:0406,2.77,11.83,2.53,14.28,1.45,0.0
20190108:0506,215.66,283.51,16.11,15.5,1.17,0.0
20190108:0606,427.23,552.67,29.25,21.46,0.55,0.0
20190108:0706,574.02,767.28,41.55,23.92,0.34,0.0
20190108:0806,676.57,931.73,52.14,25.24,0.41,0.0
20190108:0906,725.68,1012.74,59.16,26.12,0.62,0.0
20190108:1006,726.33,1018.13,60.0,26.79,0.62,0.0
20190108:1106,679.68,942.53,54.21,27.52,0.69,0.0
20190108:1206,584.36,792.07,44.25,27.95,0.83,0.0
20190108:1306,438.72,582.42,32.25,27.63,0.97,0.0
20190108:1406,238.49,326.67,19.26,27.04,1.1,0.0
20190108:1506,16.6,34.49,5.76,24.6,0.83,0.0
20190108:1606,0.0,0.0,0.0,24.19,0.55,0.0
20190108:1706,0.0,0.0,0.0,21.08,0.97,0.0
20190108:1806,0.0,0.0,0.0,19.41,1.03,0.0
20190108:1906,0.0,0.0,0.0,17.77,1.1,0.0
20190108:2006,0.0,0.0,0.0,16.64,1.24,0.0
20190108:2106,0.0,0.0,0.0,15.86,1.31,0.0
