Latitude (decimal degrees):	4.739
Longitude (decimal degrees):	31.598
Elevation (m):	455
Radiation database:	PVGIS-SARAH2


Slope: 8 deg. (optimum)
Azimuth: -12 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0006,0.0,0.0,0.0,26.8,1.66,0.0
20190101:0106,0.0,0.0,0.0,26.25,1.52,0.0
20190101:0206,0.0,0.0,0.0,25.63,1.38,0.0
20190101:0306,0.0,0.0,0.0,24.82,1.24,0.0
20190101:0406,0.0,0.0,0.0,24.69,0.9,0.0
20190101:0506,168.28,241.43,13.99,25.47,0.55,0.0
20190101:0606,377.53,503.97,27.32,28.56,0.97,0.0
20190101:0706,530.24,715.11,40.0,30.94,1.52,0.0
20190101:0806,638.86,882.2,51.3,33.02,1.86,0.0
20190101:0906,688.56,962.73,59.64,34.52,2.28,0.0
20190101:1006,601.98,837.07,62.15,35.04,2.21,0.0
20190101:1106,610.99,853.63,57.47,35.8,2.07,0.0
20190101:1206,558.86,774.67,47.93,36.42,2.07,0.0
20190101:1306,380.7,521.34,36.07,36.58,2.14,0.0
20190101:1406,163.3,233.04,23.14,36.37,2.14,0.0
20190101:1506,73.05,130.56,9.68,35.8,2.14,0.0
20190101:1606,0.0,0.0,0.0,34.57,1.66,0.0
20190101:1706,0.0,0.0,0.0,33.16,2.0,0.0
20190101:1806,0.0,0.0,0.0,32.07,1.93,0.0
20190101:1906,0.0,0.0,0.0,31.1,1.93,0.0
20190101:2006,0.0,0.0,0.0,30.13,2.07,0.0
20190101:2106,0.0,0.0,0.0,29.35,2.14,0.0
20190101:2206,0.0,0.0,0.0,28.67,2.14,0.0
20190101:2306,0.0,0.0,0.0,28.01,2.07,0.0
20190102:0006,0.0,0.0,0.0,27.38,1.93,0.0
20190102:0106,0.0,0.0,0.0,26.8,1.79,0.0
20190102:0206,0.0,0.0,0.0,25.73,1.38,0.0
20190102:0306,0.0,0.0,0.0,26.19,0.34,0.0
20190102:0406,0.0,0.0,0.0,24.94,0.76,0.0
20190102:0506,164.1,235.45,13.91,25.32,0.62,0.0
20190102:0606,373.6,504.13,27.25,28.76,0.21,0.0
20190102:0706,529.25,726.0,39.95,31.48,0.69,0.0
