Latitude (decimal degrees):	7.973
Longitude (decimal degrees):	35.327
Elevation (m):	1677
Radiation database:	PVGIS-SARAH2


Slope: 14 deg. (optimum)
Azimuth: -15 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0006,0.0,0.0,0.0,12.88,1.38,0.0
20190101:0106,0.0,0.0,0.0,12.54,1.38,0.0
20190101:0206,0.0,0.0,0.0,12.4,1.31,0.0
20190101:0306,0.0,0.0,0.0,12.47,1.24,0.0
20190101:0406,0.0,3.91,2.54,12.19,1.31,0.0
20190101:0506,225.12,288.52,15.99,14.43,0.76,0.0
20190101:0606,392.82,499.56,28.96,19.01,0.55,0.0
20190101:0706,570.51,742.34,41.01,20.74,0.83,0.0
20190101:0806,653.05,859.65,51.24,21.76,1.38,0.0
20190101:0906,730.32,977.82,57.84,22.39,1.45,0.0
20190101:1006,680.55,908.85,58.43,22.86,1.31,0.0
20190101:1106,574.76,756.67,52.71,23.25,1.24,0.0
20190101:1206,540.03,708.25,42.95,23.37,0.97,0.0
20190101:1306,82.43,119.53,31.13,23.07,0.62,0.0
20190101:1406,175.16,240.26,18.28,22.89,0.55,0.0
20190101:1506,13.28,29.32,4.89,22.03,0.83,0.0
20190101:1606,0.0,0.0,0.0,20.02,0.9,0.0
20190101:1706,0.0,0.0,0.0,18.17,1.03,0.0
20190101:1806,0.0,0.0,0.0,17.03,1.1,0.0
20190101:1906,0.0,0.0,0.0,15.54,1.17,0.0
20190101:2006,0.0,0.0,0.0,14.74,1.1,0.0
20190101:2106,0.0,0.0,0.0,14.28,1.03,0.0
20190101:2206,0.0,0.0,0.0,14.06,0.97,0.0
20190101:2306,0.0,0.0,0.0,13.62,1.1,0.0
20190102:0006,0.0,0.0,0.0,12.89,1.24,0.0
20190102:0106,0.0,0.0,0.0,12.29,1.31,0.0
20190102:0206,0.0,0.0,0.0,11.96,1.38,0.0
20190102:0306,0.0,0.0,0.0,11.77,1.38,0.0
20190102:0406,0.86,7.82,2.45,11.79,1.31,0.0
20190102:0506,228.17,292.73,15.91,14.61,0.76,0.0
20190102:0606,433.06,554.75,28.9,19.24,0.28,0.0
20190102:0706,591.13,772.49,40.98,20.84,0.76,0.0
20190102:0806,678.81,899.7,51.24,21.08,1.03,0.0
20190102:0906,693.75,933.48,57.9,21.87,0.83,0.0
20190102:1006,719.03,982.3,58.53,22.75,0.62,0.0
20190102:1106,665.13,896.04,52.84,23.08,0.69,0.0
20190102:1206,511.37,668.13,43.08,23.21,0.97,0.0
20190102:1306,362.22,467.87,31.26,22.43,0.97,0.0
20190102:1406,154.5,212.09,18.4,21.84,0.07,0.0
20190102:1506,14.07,30.3,5.01,20.38,1.1,0.0
20190102:1606,0.0,0.0,0.0,19.08,1.17,0.0
20190102:1706,0.0,0.0,0.0,17.71,1.1,0.0
20190102:1806,0.0,0.0,0.0,16.54,1.24,0.0
20190102:1906,0.0,0.0,0.0,15.73,1.24,0.0
20190102:2006,0.0,0.0,0.0,14.8,1.24,0.0
20190102:2106,0.0,0.0,0.0,13.95,1.24,0.0
20190102:2206,0.0,0.0,0.0,13.28,1.31,0.0
20190102:2306,0.0,0.0,0.0,12.82,1.31,0.0
20190103:0006,0.0,0.0,0.0,12.53,1.31,0.0
20190103:0106,0.0,0.0,0.0,12.27,1.38,0.0
20190103:0206,0.0,0.0,0.0,12.51,1.31,0.0
20190103:0306,0.0,0.0,0.0,12.49,1.24,0.0
20190103:0406,1.75,9.77,2.37,12.84,1.24,0.0
20190103:0506,206.17,267.34,15.84,15.9,0.62,0.0
20190103:0606,427.42,549.21,28.84,19.9,0.28,0.0
20190103:0706,602.03,786.53,40.94,21.5,1.03,0.0
20190103:0806,689.17,917.5,51.25,22.61,1.31,0.0
20190103:0906,751.06,1014.13,57.96,23.58,1.52,0.0
20190103:1006,633.05,840.58,58.65,24.23,1.66,0.0
20190103:1106,408.23,530.99,52.98,24.07,1.52,0.0
20190103:1206,554.26,724.11,43.22,24.21,1.59,0.0
20190103:1306,419.99,543.66,31.39,24.0,1.66,0.0
20190103:1406,65.84,98.96,18.53,23.47,1.24,0.0
20190103:1506,14.53,31.27,5.12,22.92,0.28,0.0
20190103:1606,0.0,0.0,0.0,20.54,0.62,0.0
20190103:1706,0.0,0.0,0.0,18.73,1.24,0.0
20190103:1806,0.0,0.0,0.0,17.39,1.38,0.0
20190103:1906,0.0,0.0,0.0,16.5,1.24,0.0
20190103:2006,0.0,0.0,0.0,16.1,1.1,0.0
20190103:2106,0.0,0.0,0.0,16.24,1.03,0.0
20190103:2206,0.0,0.0,0.0,16.11,1.03,0.0
20190103:2306,0.0,0.0,0.0,15.76,1.1,0.0
20190104:0006,0.0,0.0,0.0,14.92,1.31,0.0
20190104:0106,0.0,0.0,0.0,14.27,1.31,0.0
20190104:0206,0.0,0.0,0.0,13.6,1.38,0.0
20190104:0306,0.0,0.0,0.0,12.96,1.38,0.0
20190104:0406,1.76,9.77,2.28,12.26,1.38,0.0
20190104:0506,274.23,350.14,15.77,14.29,0.9,0.0
20190104:0606,483.18,621.3,28.79,20.22,0.69,0.0
20190104:0706,630.66,828.45,40.92,22.4,1.24,0.0
