"TECHNOLOGY","VALUE"
"EGBACKSTOP","1"
"EGWA00000X","100"
"EGLF00P00X","100"
"EGHF00P00X","100"
"EGCR00P00X","100"
"EGNG00P00X","100"
"EGBM00I00X","100"
"EGBM00X00X","35"
"EGCO00I00X","100"
"EGCO00X00X","35"
"EGLF00I00X","100"
"EGHF00I00X","100"
"EGCR00I00X","100"
"EGCR00X00X","35"
"EGCRUDPROX","35"
"EGCRUDRE1X","35"
"EGCRUDRE2X","35"
"EGNG00ILGX","25"
"EGNG00ELGX","25"
"EGNG00X00X","35"
"EGSOLAR00X","100"
"EGWIND000X","100"
"EGUR00I00X","100"
"EGUR00X00X","50"
"EGCH00I00X","100"
"EGETHANOLX","100"
"EGBMCHC01N","40"
"EGBMCHC02N","40"
"EGBMCHC03N","40"
"EGBMCHC04N","40"
"EGBMCHP01O","40"
"EGBMCHP02O","40"
"EGBMCHP03O","40"
"EGBMCHP04O","40"
"EGBMCHP01N","40"
"EGBMCHP02N","40"
"EGBMCHP03N","40"
"EGBMCHP04N","40"
"EGCOSCP01O","30"
"EGCOSCP02O","30"
"EGCOSCP03O","30"
"EGCOSCP04O","30"
"EGCOSCP01N","30"
"EGCOSCP02N","30"
"EGCOSCP03N","30"
"EGCOSCP04N","30"
"EGCOSCC01N","30"
"EGCOSCC02N","30"
"EGCOSCC03N","30"
"EGCOSCC04N","30"
"EGLFRCP01O","25"
"EGLFRCP02O","25"
"EGLFRCP03O","25"
"EGLFRCP04O","25"
"EGLFRCP01N","25"
"EGLFRCP02N","25"
"EGLFRCP03N","25"
"EGLFRCP04N","25"
"EGNGCCP01O","30"
"EGNGCCP02O","30"
"EGNGCCP03O","30"
"EGNGCCP04O","30"
"EGNGCCP01N","30"
"EGNGCCP02N","30"
"EGNGCCP03N","30"
"EGNGCCP04N","30"
"EGNGCCC01N","30"
"EGNGCCC02N","30"
"EGNGCCC03N","30"
"EGNGCCC04N","30"
"EGNGGCP01O","25"
"EGNGGCP02O","25"
"EGNGGCP03O","25"
"EGNGGCP04O","25"
"EGNGGCP01N","25"
"EGNGGCP02N","25"
"EGNGGCP03N","25"
"EGNGGCP04N","25"
"EGHFGCP01O","25"
"EGHFGCP02O","25"
"EGHFGCP03O","25"
"EGHFGCP04O","25"
"EGHFGCP01N","25"
"EGHFGCP02N","25"
"EGHFGCP03N","25"
"EGHFGCP04N","25"
"EGWINDP00X","25"
"EGWINDP01X","25"
"EGNULWP04O","60"
"EGNULWP04N","60"
"EGGOCVP02O","25"
"EGGOCVP02N","25"
"EGNPCHA00X","35"
"EGBIOFUELX","35"
"EGHE00T00X","70"
"EGEL00T00X","70"
"EGEL00TDTX","70"
"EGLFRCFURX","10"
"EGSOU1P03X","25"
"EGSOV1F01X","20"
"EGSOV2F01X","20"
"EGSOC1P00X","25"
"EGSOC2P00X","25"
"EGELSDBP00","100"
"EGELJOBP00","100"
"EGELSABP00","100"
"LYELEGBP00","100"
"EGNGTUBP00","100"
"ISNGEGBP00","100"
"ETBACKSTOP","1"
"ETWA00000X","100"
"ETLF00P00X","100"
"ETHF00P00X","100"
"ETCR00P00X","100"
"ETNG00P00X","100"
"ETBM00I00X","100"
"ETBM00X00X","35"
"ETCO00I00X","100"
"ETCO00X00X","35"
"ETLF00I00X","100"
"ETHF00I00X","100"
"ETCR00I00X","100"
"ETCR00X00X","35"
"ETCRUDPROX","35"
"ETCRUDRE1X","35"
"ETCRUDRE2X","35"
"ETNG00ILGX","25"
"ETNG00ELGX","25"
"ETNG00X00X","35"
"ETSOLAR00X","100"
"ETWIND000X","100"
"ETUR00I00X","100"
"ETUR00X00X","50"
"ETCH00I00X","100"
"ETETHANOLX","100"
"ETBMCHC01N","40"
"ETBMCHC02N","40"
"ETBMCHC03N","40"
"ETBMCHC04N","40"
"ETBMCHP01O","40"
"ETBMCHP02O","40"
"ETBMCHP03O","40"
"ETBMCHP04O","40"
"ETBMCHP01N","40"
"ETBMCHP02N","40"
"ETBMCHP03N","40"
"ETBMCHP04N","40"
"ETCOSCP01O","30"
"ETCOSCP02O","30"
"ETCOSCP03O","30"
"ETCOSCP04O","30"
"ETCOSCP01N","30"
"ETCOSCP02N","30"
"ETCOSCP03N","30"
"ETCOSCP04N","30"
"ETCOSCC01N","30"
"ETCOSCC02N","30"
"ETCOSCC03N","30"
"ETCOSCC04N","30"
"ETLFRCP01O","25"
"ETLFRCP02O","25"
"ETLFRCP03O","25"
"ETLFRCP04O","25"
"ETLFRCP01N","25"
"ETLFRCP02N","25"
"ETLFRCP03N","25"
"ETLFRCP04N","25"
"ETNGCCP01O","30"
"ETNGCCP02O","30"
"ETNGCCP03O","30"
"ETNGCCP04O","30"
"ETNGCCP01N","30"
"ETNGCCP02N","30"
"ETNGCCP03N","30"
"ETNGCCP04N","30"
"ETNGCCC01N","30"
"ETNGCCC02N","30"
"ETNGCCC03N","30"
"ETNGCCC04N","30"
"ETNGGCP01O","25"
"ETNGGCP02O","25"
"ETNGGCP03O","25"
"ETNGGCP04O","25"
