Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Solar FPV,Wind,Biomass,Geothermal,Backstop,power_trade,gas_trade
Coal power plant with CCS - Air cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Natural gas power plant (combined cycle) - Air cooling (new),Large hydropower plant (Dam),Nuclear power plant - OTS/OTF cooling (old),CSP (without storage),Solar PV (utility),Aswan 1 FPV,Wind (onshore),Biomass & Waste CHP plant with CCS - Air cooling (new),Geothermal power plant - Air cooling (old),Backstop technology,Egypt - Jordan Historic EL trade link,Egypt - Turkey Historic and Planned NG trade link
Coal power plant with CCS - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Medium hydropower plant (Run-of river),Nuclear power plant - OTS/OTF cooling (new),CSP (with storage),Solar PV (roof top),Aswan 2 FPV,Wind (offshore),Biomass & Waste CHP plant  with CCS- MDT cooling (new),Geothermal power plant - MDT cooling (old),,Egypt - Saudi Arabia Planned EL trade link,Ethiopia - Djibouti NG planned trade link
Coal power plant with CCS - NDT cooling (new),Oil fired gas turbine (SCGT) - NDT cooling (old),Natural gas power plant (combined cycle) - NDT cooling (new),Small hydropower plant,,,Solar PV with storage,High Aswan Dam FPV,,Biomass & Waste CHP plant with CCS - NDT cooling (new),Geothermal power plant - NDT cooling (old),,Egypt - Sudan Historic and Planned EL trade link,Israel - Egypt Planned NG trade link
Coal power plant with CCS - OTF/OTS cooling (new),Oil fired gas turbine (SCGT) - OTF/OTS cooling (old),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Aswan 1,,,,Aleltu East FPV,,Biomass & Waste CHP plant with CCS - OTF/OTS cooling (new),Geothermal power plant - OTF/OTS cooling (old),,Ethiopia - Djibouti EL existing trade link,
Coal power plant - Air cooling (old),Oil fired gas turbine (SCGT) - Air cooling (new),Natural gas power plant (combined cycle) - Air cooling (old),Aswan 2,,,,Aleltu West FPV,,Biomass & Waste CHP plant - Air cooling (old),Geothermal power plant - Air cooling (new),,Ethiopia - Kenya EL planned trade link,
Coal power plant - MDT cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Natural gas power plant (combined cycle) - MDT cooling (old),High Aswan Dam,,,,Amarti-Neshe FPV,,Biomass & Waste CHP plant - MDT cooling (old),Geothermal power plant - MDT cooling (new),,Ethiopia - Sudan EL existing trade link,
Coal power plant - NDT cooling (old),Oil fired gas turbine (SCGT) - NDT cooling (new),Natural gas power plant (combined cycle) - NDT cooling (old),Aleltu East,,,,Baro FPV,,Biomass & Waste CHP plant - NDT cooling (old),Geothermal power plant - NDT cooling (new),,Libya - Egypt Historic EL trade link,
Coal power plant - OTF/OTS cooling (old),Oil fired gas turbine (SCGT) - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (old),Aleltu West,,,,Beko Abo FPV,,Biomass & Waste CHP plant - OTF/OTS cooling (old),Geothermal power plant - OTF/OTS cooling (new),,,
Coal power plant - Air cooling (new),Light Fuel Oil stand alone (1kW),Natural gas power plant (single cycle) - Air cooling (old),Amarti-Neshe,,,,Birbir FPV,,Biomass & Waste CHP plant - Air cooling (new),,,,
Coal power plant - MDT cooling (new),Light Fuel Oil power plant - Air cooling (old),Natural gas power plant (single cycle) - MDT cooling (old),Baro,,,,Chemoga Yeda FPV,,Biomass & Waste CHP plant - MDT cooling (new),,,,
