id;Country;Unit Name;Latitude ;Longitude;Status;Type;Reservoir area (km2);First Year;Capacity (MW);CF_H1D1;CF_H1D2;CF_S1D1;CF_S1D2;CF_H2D1;CF_H2D2;CF_S2D1;CF_S2D2;CF_H3D1;CF_H3D2;CF_S3D1;CF_S3D2;CF_H4D1;CF_H4D2;CF_S4D1;CF_S4D2
26;EGYPT;Attaqa Mountain;30.025;32.31041667;Planned;PHS;;;2400;;;;;;;;;;;;;;;;
2;EGYPT;Aswan 1;24.03;32.87;Existing;Reservoir;8.24;2010;280;1.000;1.000;0.40949003;0.126185898;1.00;1.00;0.381810733;0.117441182;1.00;1.00;0.371004084;0.128847811;1.00;1.00;0.401260756;0.112682677
3;EGYPT;Aswan 2;24.03;32.87;Existing;Reservoir;8.24;2010;270;1.000;1.000;0.40949003;0.126185898;1.00;1.00;0.381810733;0.117441182;1.00;1.00;0.371004084;0.128847811;1.00;1.00;0.401260756;0.112682677
1;EGYPT;High Aswan Dam;23.97;32.88;Existing;Reservoir;6500;2010;2100;0.723;0.723;0.405868485;0.126038612;0.72;0.72;0.383855205;0.118164896;0.72;0.72;0.374238526;0.129793918;0.72;0.72;0.394260572;0.111777413
25;EGYPT;Qattara Depression;30.25783119;27.74949786;Planned;Reservoir;;;2100;;;;;;;;;;;;;;;;
45;ETHIOPIA;Aleltu East;9.78;38.83;Candidate;Reservoir;;2031;189;0.034335502;0.034335502;;;0.57473682;0.57473682;;;0.457623858;0.457623858;;;0.026200931;0.026200931;;
46;ETHIOPIA;Aleltu West;9.78;38.83;Candidate;Reservoir;;2031;265;0.034335502;0.034335502;;;0.57473682;0.57473682;;;0.457623858;0.457623858;;;0.026200931;0.026200931;;
41;ETHIOPIA;Amarti-Neshe;9.5941701;37.2329979;Existing;Reservoir;;2013;98;0.473463141;0.473463141;;;0.473463141;0.473463141;;;0.473463141;0.473463141;;;0.473463141;0.473463141;;
44;ETHIOPIA;Baro;7.21667;35.63334;Candidate;Reservoir;;2025;645;0.716489262;0.716489262;;;0.989915966;0.989915966;;;0.878132586;0.878132586;;;0.241124183;0.241124183;;
7;ETHIOPIA;Beko Abo;10.34;36.65;Candidate;Reservoir;;2028;935;0.048;0.048;0.318664734;0.109795564;0.73;0.73;0.270008863;0.074062143;0.48;0.48;0.32375007;0.114583002;0.03;0.03;0.38074566;0.124251176
50;ETHIOPIA;Birbir;8.543;35.195;Candidate;Reservoir;;2025;467;0.043201199;0.043201199;;;0.823414327;0.823414327;;;0.473818424;0.473818424;;;0.025322466;0.025322466;;
8;ETHIOPIA;Chemoga Yeda;9.86;37.67;Candidate;Reservoir;;2025;280;0.031;0.031;0.340927193;0.107118022;0.87;0.87;0.307695311;0.077633565;0.58;0.58;0.328891102;0.107293066;0.03;0.03;0.362443251;0.09809929
40;ETHIOPIA;Finchaa;9.55921;37.36562;Existing;Reservoir;;1973;128;0.39112887;0.39112887;;;0.5539599;0.5539599;;;0.501426221;0.501426221;;;0.396201384;0.396201384;;
47;ETHIOPIA;Geba;8.31;36.1;Candidate;Reservoir;;2025;372;0.473463141;0.473463141;;;0.473463141;0.473463141;;;0.473463141;0.473463141;;;0.473463141;0.473463141;;
48;ETHIOPIA;Genji;8.23;34.96;Candidate;Reservoir;;2025;216;0.176050862;0.176050862;;;0.971626734;0.971626734;;;0.698297604;0.698297604;;;0.053270282;0.053270282;;
6;ETHIOPIA;Karadobi;10.14;38.34;Candidate;Reservoir;;2026;1600;0.152;0.152;0.341851335;0.12009991;0.97;0.97;0.303714211;0.087546181;0.64;0.64;0.339241851;0.126068371;0.06;0.06;0.377693062;0.130244084
9;ETHIOPIA;Lake Tana - Beles;11.71;37.38;Existing;Reservoir;3600;2010;460;0.464;0.464;0.345440528;0.119542283;0.464;0.464;0.247866413;0.097465532;0.464;0.464;0.315969955;0.141242193;0.464;0.464;0.386511832;0.140750107
52;ETHIOPIA;Lower Dabus;9.792050906;34.82121757;Candidate;Reservoir;;2031;250;0.5;0.5;;;0.5;0.5;;;0.5;0.5;;;0.5;0.5;;
51;ETHIOPIA;Lower Dedessa;8.96875;36.22893422;Candidate;Reservoir;;2025;550;0.5;0.5;;;0.5;0.5;;;0.5;0.5;;;0.5;0.5;;
4;ETHIOPIA;Renaissance;11.21;35.09;Existing;Reservoir;1874;2023;6400;0.276;0.276;0.333037837;0.105679169;0.28;0.28;0.277648464;0.06782728;0.28;0.28;0.308511219;0.109189814;0.28;0.28;0.378357538;0.113396364
43;ETHIOPIA;Sor 2;8.223506;35.4934144;Candidate;Reservoir;;2022;5;0.176050862;0.176050862;;;0.971626734;0.971626734;;;0.698297604;0.698297604;;;0.053270282;0.053270282;;
39;ETHIOPIA;Tams;;;Candidate;Reservoir;76;2031;1000;0.5;0.5;;;0.5;0.5;;;0.5;0.5;;;0.5;0.5;;
38;ETHIOPIA;Tekeze 1;13.34763;38.74316;Existing;Reservoir;;2010;300;1;1;;;1;1;;;1;1;;;1;1;;
37;ETHIOPIA;Tekeze 2;13.790556;37.997222;Candidate;Reservoir;;2025;380;1;1;;;1;1;;;1;1;;;1;1;;
49;ETHIOPIA;Upper Dabus;9.986011;34.893504;Candidate;Reservoir;;2025;326;0.039472117;0.039472117;;;0.846361573;0.846361573;;;0.5321951;0.5321951;;;0.022890325;0.022890325;;
5;ETHIOPIA;Upper Mandaya;9.95;35.68;Candidate;Reservoir;;2030;1700;0.050;0.050;0.327569123;0.09733253;0.79;0.79;0.262302015;0.070104277;0.50;0.50;0.321106831;0.102739563;0.03;0.03;0.375963703;0.111860513
28;SOUTH SUDAN;Juba Barrage;4.739242234;31.59791667;Candidate;Reservoir;;2026;120;0.5;0.5;;;0.5;0.5;;;0.5;0.5;;;0.5;0.5;;
34;SOUTH SUDAN;Wau;7.68;28.05;Candidate;Reservoir;;2030;10.4;0.310294453;0.310294453;;;0.145436798;0.145436798;;;0.719049943;0.719049943;;;0.063152757;0.063152757;;
17;SUDAN;Dagash;19.34;33.41;Candidate;Reservoir;;2028;312;1.000;1.000;0.406585023;0.133054681;1.00;1.00;0.354513442;0.114087073;1.00;1.00;0.360849304;0.132151495;1.00;1.00;0.406953132;0.123824632
14;SUDAN;Dal;21.37;30.93;Candidate;Reservoir;;2030;648;1.000;1.000;0.425218208;0.12446067;1.00;1.00;0.377714983;0.110272129;1.00;1.00;0.38316936;0.125991419;1.00;1.00;0.407165177;0.113076009
13;SUDAN;Jebel Aulia;15.24;32.46;Existing;Reservoir;1222;2003;19;0.833;0.833;0.394661962;0.119032474;0.78;0.78;0.325284376;0.090738511;0.81;0.81;0.352422354;0.119746911;0.35;0.35;0.419103944;0.11949603
16;SUDAN;Kajbar;19.17;30.48;Candidate;Reservoir;;2024;360;1.000;1.000;0.419969241;0.121893036;1.00;1.00;0.364499185;0.104557962;1.00;1.00;0.379159046;0.122844235;1.00;1.00;0.432801062;0.11744304
35;SUDAN ;Kashm El Girba ;14.92;35.91;Existing;Reservoir;;1964;10;0.423353741;0.423353741;;;1;1;;;1;1;;;0.453562006;0.453562006;;
10;SUDAN;Merowe;18.49;31.82;Existing;Reservoir;476;2009;1240;0.850;0.850;0.413247368;0.127498157;0.92;0.92;0.354717689;0.105177049;0.99;0.99;0.363811059;0.12547244;0.81;0.81;0.41797175;0.121631731
18;SUDAN;Mograt;19.29;32.69;Candidate;Reservoir;;2030;312;0.483;0.483;0.411173067;0.131514969;0.53;0.53;0.357714899;0.112749776;0.54;0.54;0.363487725;0.129727411;0.44;0.44;0.417260917;0.124711865
11;SUDAN;Roseires;11.80;34.39;Existing;Reservoir;233;1966;270;0.500;0.500;0.364343649;0.107080857;0.50;0.50;0.290834034;0.070465028;0.50;0.50;0.331435403;0.105644434;0.50;0.50;0.402022606;0.113192753
19;SUDAN;Sabaloka;16.36;32.71;Candidate;Reservoir;;2030;205;1.000;1.000;0.402528299;0.12766212;1.00;1.00;0.339049765;0.101291637;1.00;1.00;0.350108687;0.125026723;1.00;1.00;0.419564643;0.124365051
12;SUDAN;Sennar;13.30;33.89;Existing;Reservoir;15.2;1962;26;0.500;0.500;0.367136849;0.114052449;0.50;0.50;0.289343044;0.078925713;0.50;0.50;0.33376082;0.114590871;0.50;0.50;0.39572908;0.117331846
15;SUDAN;Shereik;19.23;33.48;Candidate;Reservoir;;2025;420;0.968;0.968;0.403671191;0.132951123;1.00;1.00;0.350340399;0.113667978;1.00;1.00;0.355961047;0.132739617;0.98;0.98;0.406304001;0.124821917
36;SUDAN;Upper Atbara;14.28;35.90;Existing;Reservoir;;2017;320;0.027317155;0.027317155;;;0.59015231;0.59015231;;;0.44439081;0.44439081;;;0.029266361;0.029266361;;
20;EGYPT;Esna;25.32;32.56;Existing;ROR;;2010;86;0.929;0.929;;;0.929;0.929;;;0.929;0.929;;;0.929;0.929;;
