country,country_lo,name,gppd_idnr,capacity_m,latitude,longitude,primary_fu,other_fuel,other_fu_1,other_fu_2,commission,owner,source,url,geolocatio,wepp_id,year_of_ca,generation,generati_1,generati_2,generati_3,generati_4,generati_5,generati_6,generati_7,estimated_,estimate_1,estimate_2,estimate_3,estimate_4,estimate_5,estimate_6,estimate_7,estimate_8,estimate_9,field_37,field_38,field_39,SAMPLE_1
EGY,Egypt,Abu Kir,WRI1000099,2236.000000000000000,31.269400000000001,30.140899999999998,Gas,,,,,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1014099",,,12275.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,10373.690000000000509,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,
EGY,Egypt,Abu Sultan,WRI1000077,600.000000000000000,30.402500000000000,32.308599999999998,Gas,,,,,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1014100",,,3090.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,2783.630000000000109,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,11522.704101562498181
EGY,Egypt,Arish,WRI1000083,66.000000000000000,31.116199999999999,33.682400000000001,Gas,,,,1995.000000000000000,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1014113",,,545.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,306.199999999999989,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,
EGY,Egypt,Assiut,WRI1000104,90.000000000000000,27.175699999999999,31.201300000000000,Oil,,,,,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1014101",,,,,,,,,,,,,,,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,,,,16312.824218750000000
EGY,Egypt,Aswan Dam II,WRI1000107,550.000000000000000,23.972100000000001,32.882800000000003,Hydro,,,,1985.000000000000000,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1014102",,,1503.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,2479.119999999999891,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,2695.257324218750000
EGY,Egypt,Ataka,WRI1000076,900.000000000000000,29.936399999999999,32.472000000000001,Gas,,,,,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,WRI,"1014104",,,1852.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,4175.449999999999818,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,
EGY,Egypt,Banha,WRI1000094,500.000000000000000,30.497399999999999,31.223400000000002,Gas,,,,2014.000000000000000,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1088445",,,485.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,2319.690000000000055,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,19318.916015625000000
EGY,Egypt,BbSP} Acciona I,WKS0069919,50.000000000000000,24.433000000000000,32.698999999999998,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,"118.48","118.26",117.299999999999997,117.790000000000006,117.189999999999998,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,,,,
EGY,Egypt,BbSP} Acciona II,WKS0069920,50.000000000000000,24.417999999999999,32.698999999999998,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,"117.87","118.48",117.299999999999997,118.040000000000006,117.189999999999998,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,,,,
EGY,Egypt,BbSP} Alcazar,WKS0069918,50.000000000000000,24.448000000000000,32.704999999999998,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,"117.87","118.48",117.299999999999997,118.040000000000006,117.189999999999998,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,,,,
