r,l,t,m,y,RateOfActivity
REGION,S1D1,EGWA00000X,1,2015, 16243.0831496269
REGION,S1D2,EGWA00000X,1,2015, 9.4118180737728126e+03
REGION,S2D1,EGWA00000X,1,2015, 2.0574407635202813e+04
REGION,S2D2,EGWA00000X,1,2015, 1.3045835441901958e+04
REGION,S3D1,EGWA00000X,1,2015, 2.0028645442482659e+04
REGION,S3D2,EGWA00000X,1,2015, 1.2319239613739737e+04
REGION,S4D1,EGWA00000X,1,2015, 1.7671915931445252e+04
REGION,S4D2,EGWA00000X,1,2015, 1.1047941495147661e+04
REGION,S1D1,EGWA00000X,1,2016, 1.7839946215765907e+04
REGION,S1D2,EGWA00000X,1,2016, 1.0525323856069499e+04
REGION,S2D1,EGWA00000X,1,2016, 1.8914060471312059e+04
REGION,S2D2,EGWA00000X,1,2016, 1.3244894069999273e+04
REGION,S3D1,EGWA00000X,1,2016, 1.9194289193977918e+04
REGION,S3D2,EGWA00000X,1,2016, 1.2983093404027610e+04
REGION,S4D1,EGWA00000X,1,2016, 1.6634430232744140e+04
REGION,S4D2,EGWA00000X,1,2016, 1.1844267328061474e+04
REGION,S1D1,EGWA00000X,1,2017, 1.5772366430096361e+04
REGION,S1D2,EGWA00000X,1,2017, 9.5911802519874127e+03
REGION,S2D1,EGWA00000X,1,2017, 1.7505444909805854e+04
REGION,S2D2,EGWA00000X,1,2017, 1.2779050396316894e+04
REGION,S3D1,EGWA00000X,1,2017, 1.8451170989372669e+04
REGION,S3D2,EGWA00000X,1,2017, 1.2692260752074282e+04
REGION,S4D1,EGWA00000X,1,2017, 2.4703202436104693e+04
REGION,S4D2,EGWA00000X,1,2017, 1.2042435382711414e+04
REGION,S1D1,EGWA00000X,1,2018, 1.2193935133266197e+04
REGION,S1D2,EGWA00000X,1,2018, 1.0073026068199611e+04
REGION,S2D1,EGWA00000X,1,2018, 1.3613044373382694e+04
REGION,S2D2,EGWA00000X,1,2018, 1.4014275224657727e+04
REGION,S3D1,EGWA00000X,1,2018, 2.1605478068414133e+04
REGION,S3D2,EGWA00000X,1,2018, 1.2596813310691670e+04
REGION,S4D1,EGWA00000X,1,2018, 2.4217225568826791e+04
REGION,S4D2,EGWA00000X,1,2018, 1.2585611042466318e+04
REGION,S1D1,EGWA00000X,1,2019, 1.9477580101263291e+04
REGION,S1D2,EGWA00000X,1,2019, 9299.73635170177
REGION,S2D1,EGWA00000X,1,2019, 1.4123867957742366e+04
REGION,S2D2,EGWA00000X,1,2019, 1.4537003556382475e+04
REGION,S3D1,EGWA00000X,1,2019, 2.1011884651990189e+04
REGION,S3D2,EGWA00000X,1,2019, 1.2280698834965706e+04
REGION,S4D1,EGWA00000X,1,2019, 1.7394943233762046e+04
REGION,S4D2,EGWA00000X,1,2019, 1.2839627955797214e+04
REGION,S1D1,EGWA00000X,1,2020, 1.3387828842200821e+04
REGION,S1D2,EGWA00000X,1,2020, 1.1699173084974296e+04
REGION,S2D1,EGWA00000X,1,2020, 1.4657027645774169e+04
REGION,S2D2,EGWA00000X,1,2020, 2.0545168402242154e+04
REGION,S3D1,EGWA00000X,1,2020, 1.8574493810263011e+04
