tech_code,tech_name,colour
BACAGG,Backstop,red
BACKSTOP,Backstop technology,aliceblue
BIOAGG,Biofuel and Biomass production,bisque
BIOFUELX,Biofuel production,aqua
BIOM,Biomass,lightgreen
BMCHP01N,Biomass & Waste CHP plant - Air cooling (new),cornsilk
BMCHP01O,Biomass & Waste CHP plant - Air cooling (old),brown
BMCHP02N,Biomass & Waste CHP plant - MDT cooling (new),cyan
BMCHP02O,Biomass & Waste CHP plant - MDT cooling (old),cadetblue
BMCHP03N,Biomass & Waste CHP plant - NDT cooling (new),darkcyan
BMCHP03O,Biomass & Waste CHP plant - NDT cooling (old),chartreuse
BMCHP04N,Biomass & Waste CHP plant - OTF/OTS cooling (new),darkgray
BMCHP04O,Biomass & Waste CHP plant - OTF/OTS cooling (old),coral
BMCHC02N,Biomass & Waste CHP plant  with CCS- MDT cooling (new),bluegray
BMCHC01N,Biomass & Waste CHP plant with CCS - Air cooling (new),blanchedalmond
BMCHC03N,Biomass & Waste CHP plant with CCS - NDT cooling (new),blueviolet
BMCHC04N,Biomass & Waste CHP plant with CCS - OTF/OTS cooling (new),brightblue
BMEXPORT,Biomass exports,lightsalmon
BM00X00X,Biomass extraction/production/refining,bisque
BM00I00X,Biomass imports,azure
CH00I00X,Charcoal imports,darkgrey
NPCHA00X,Charcoal production,wheat
CO2,CO2,black
COALAGG,Coal,black
COEXPORT,Coal exports,black
CO00X00X,Coal extraction (mining),darkred
CO00I00X,Coal imports (inland transport-maritime freight),darkmagenta
COSCP01N,Coal power plant - Air cooling (new),ghostwhite
COSCP01O,Coal power plant - Air cooling (old),dimgray
COSCP02N,Coal power plant - MDT cooling (new),goldenrod
COSCP02O,Coal power plant - MDT cooling (old),dodgerblue
COSCP03N,Coal power plant - NDT cooling (new),gray
COSCP03O,Coal power plant - NDT cooling (old),floralwhite
COSCP04N,Coal power plant - OTF/OTS cooling (new),greenyellow
COSCP04O,Coal power plant - OTF/OTS cooling (old),fuchsia
COSCC01N,Coal power plant with CCS - Air cooling (new),darkseagreen
COSCC02N,Coal power plant with CCS - MDT cooling (new),darkslategray
COSCC03N,Coal power plant with CCS - NDT cooling (new),darkturquoise
COSCC04N,Coal power plant with CCS - OTF/OTS cooling (new),deeppink
CO00P00X,Coal process (non-power sector),darkorange
COALPROD,Coal Production,darkgrey
CR00X00X,Crude Oil extraction,grey05
CR00I00X,Crude Oil imports,grey01
CR00P00X,Crude Oil process (non-power sector),grey03
CRUDPROD,Crude Oil production,coral
CRUDREF,Crude oil Refinery,grey09
CRUDRE1X,Crude oil refinery 1,grey11
CRUDRE2X,Crude oil refinery 2,grey13
CRUDPROX,Crude oil refinery capacity,grey07
CREXPORT,Crude oil exports,sienna
SOC2P00X,CSP (with storage),lavender
SOC1P00X,CSP (without storage),grey
EL00TDTX,Distribution technology (Distribution to final electricity demand),grey13
EGELJOBP00,Egypt - Jordan Historic EL trade link,yellow
EGELSABP00,Egypt - Saudi Arabia Planned EL trade link,beige
EGELSDBP00,Egypt - Sudan Historic and Planned EL trade link,tomato
EGNGTUBP00,Egypt - Turkey Historic and Planned NG trade link,polarorange
ETHANOLX,Ethanol production,honeydew
ETELDJBP00,Ethiopia - Djibouti EL existing trade link,yellow
ETNGDJBP00,Ethiopia - Djibouti NG planned trade link,beige
ETELKEBP00,Ethiopia - Kenya EL planned trade link,tomato
ETELSDBP00,Ethiopia - Sudan EL existing trade link,beige
FW00P00X,Firewood process (non-power sector),indianred
GASAGG,Gas,orange
gas_trade,gas_trade,polarpurple
GEOTHERMAL,Geothermal,maroon
GOCVP01N,Geothermal power plant - Air cooling (new),lightpurple
GOCVP01O,Geothermal power plant - Air cooling (old),ivory
GOCVP02N,Geothermal power plant - MDT cooling (new),lightcoral
GOCVP02O,Geothermal power plant - MDT cooling (old),khaki
GOCVP03N,Geothermal power plant - NDT cooling (new),lightgoldenrodyellow
GOCVP03O,Geothermal power plant - NDT cooling (old),lavenderblush
GOCVP04N,Geothermal power plant - OTF/OTS cooling (new),lightgreen
GOCVP04O,Geothermal power plant - OTF/OTS cooling (old),lemonchiffon
HE00T00X,Heat network,lightivory
HF00I00X,Heavy Fuel Oil imports,lightsalmon
HF00P00X,Heavy Fuel Oil process (non-power sector),lightskyblue
HFEXPORT,HFO exports,lightteal
HYDAGG,Hydro,aqua
ISNGEGBP00,Israel - Egypt Planned NG trade link,silver
HYDMS03X,Large hydropower plant (Dam),mediumpurple
LFEXPORT,LFO exports,polarbluelight
LYELEGBP00,Libya - Egypt Historic EL trade link,burlywood
LF00I00X,Light Fuel Oil imports,midnightblue
LFRCP01N,Light Fuel Oil power plant - Air cooling (new),palegreen
LFRCP01O,Light Fuel Oil power plant - Air cooling (old),navy
LFRCP02N,Light Fuel Oil power plant - MDT cooling (new),paleturquoise
LFRCP02O,Light Fuel Oil power plant - MDT cooling (old),olive
LFRCP03N,Light Fuel Oil power plant - NDT cooling (new),papayawhip
LFRCP03O,Light Fuel Oil power plant - NDT cooling (old),orange
LFRCP04N,Light Fuel Oil power plant - OTF/OTS cooling (new),pearl
LFRCP04O,Light Fuel Oil power plant - OTF/OTS cooling (old),orchid
LF00P00X,Light Fuel Oil process (non-power sector),mistyrose
LFRCFURX,Light Fuel Oil stand alone (1kW),mustard
