,y,CO2
0,2015,240.63840000000002
1,2016,241.438
2,2017,238.25409999999997
3,2018,237.6813
4,2019,242.3235
5,2020,245.96380000000002
6,2021,250.922
7,2022,256.5185
8,2023,256.46529999999996
9,2024,267.9919
10,2025,322.8116
11,2026,339.10699999999997
12,2027,344.7551
13,2028,351.05449999999996
14,2029,316.2275
15,2030,322.13689999999997
16,2031,329.5989
17,2032,336.6307
18,2033,344.80809999999997
19,2034,352.9442
20,2035,363.5154
21,2036,373.6073
22,2037,385.0118
23,2038,397.60339999999997
24,2039,408.2591
25,2040,405.83629999999994
26,2041,387.7236
27,2042,397.8046
28,2043,405.4697
29,2044,414.40860000000004
30,2045,422.97620000000006
31,2046,430.11519999999996
32,2047,436.5922
33,2048,458.65810000000005
34,2049,469.9476000000001
35,2050,480.6739
36,2051,489.27449999999993
37,2052,497.8673
38,2053,506.1891
39,2054,515.1925
40,2055,515.9429
41,2056,518.2608
42,2057,531.0362
43,2058,548.3657
44,2059,563.0508
45,2060,577.7949000000001
46,2061,587.5279999999999
47,2062,598.0613999999999
48,2063,608.731
49,2064,619.7169
50,2065,628.6498
51,2066,636.599
52,2067,644.3669000000001
53,2068,654.0878
54,2069,665.8113999999999
55,2070,675.3156
