,y,CSP (with storage),CSP (without storage),Solar FPV,Solar PV (roof top),Solar PV (utility),Solar PV with storage
0,2015.0,0.0,0.0,0.0,0.0723,0.127,0.0
1,2016.0,0.0,0.0,0.0,0.0911,0.3272,0.0
2,2017.0,0.0,0.0,0.0,0.1034,0.3272,0.0
3,2018.0,0.0,0.0,0.0,0.1034,0.6609,0.0
4,2019.0,0.0,0.0,0.0,0.1034,0.6609,0.0
5,2020.0,0.0,0.0,0.0,0.101,1.3255000000000001,0.0
6,2021.0,0.0,0.0,0.0,0.09860000000000001,2.991,0.0
7,2022.0,0.0,0.0,0.0,0.09620000000000001,4.6566,0.0
8,2023.0,0.0,0.0,5.958,1.4286,6.3221,1.9656
9,2024.0,0.0,6.4907,8.058399999999999,1.76,7.9875,2.457
10,2025.0,0.0,6.4907,8.058399999999999,2.0913,9.6531,2.9483
11,2026.0,0.0,6.4907,8.058399999999999,2.4225999999999996,11.2641,3.4397
12,2027.0,0.0,6.4907,8.058399999999999,2.7539000000000002,11.2612,3.9311
13,2028.0,0.0,6.4907,8.058399999999999,3.0852,11.2581,4.4225
14,2029.0,0.0,6.4907,8.058399999999999,3.4165,11.2552,4.6509
15,2030.0,0.0,6.4907,8.058399999999999,3.7478,11.2521,5.4131
16,2031.0,0.0,6.4907,8.058399999999999,8.0744,11.2491,11.1538
17,2032.0,0.0,6.4907,8.058399999999999,14.3553,14.5832,16.2295
18,2033.0,0.0,6.4907,8.058399999999999,28.5343,17.9172,21.2606
19,2034.0,0.0,6.4907,8.058399999999999,46.079100000000004,21.2514,26.2916
20,2035.0,0.0,6.4907,8.058399999999999,55.59609999999999,24.5854,27.212200000000003
21,2036.0,0.0,6.4907,8.058399999999999,70.9715,27.9196,32.2431
22,2037.0,0.0,6.4907,8.058399999999999,86.50110000000001,31.2536,37.2741
23,2038.0,0.0,6.4907,10.1588,105.1924,34.5878,42.305099999999996
24,2039.0,0.0,6.4907,12.2592,124.0944,37.9218,47.3361
25,2040.0,0.0,6.4907,14.3596,142.99880000000002,41.1922,52.3671
26,2041.0,0.0,6.4907,18.5604,170.6841,45.9976,57.3982
27,2042.0,0.0,6.4907,18.5604,199.35989999999998,51.0033,62.4292
28,2043.0,0.0,6.4907,18.5604,227.8311,55.6752,67.4602
29,2044.0,0.0,6.4907,18.5604,252.3567,60.6809,72.4912
30,2045.0,0.0,6.4907,19.1764,274.04949999999997,65.0191,77.5222
31,2046.0,0.0,6.4907,19.1764,299.5189,68.3562,82.5532
32,2047.0,0.0,6.4907,23.3429,325.523,71.6933,89.11189999999999
33,2048.0,0.0,6.4907,40.7708,362.99809999999997,75.0304,98.9471
34,2049.0,0.0,0.0,40.7708,382.6963,78.3675,108.78229999999999
35,2050.0,0.0,0.0,40.7708,415.43680000000006,81.7046,117.8553
36,2051.0,0.0,0.0,40.7708,445.29970000000003,85.0962,120.5918
37,2052.0,0.0,0.0,40.7708,476.4761,90.1019,123.7131
38,2053.0,0.0,0.0,40.7708,500.9728,95.1076,126.74969999999999
39,2054.0,0.0,0.0,43.012600000000006,522.1327,101.2677,132.5272
40,2055.0,0.0,0.0,43.012600000000006,551.3261,106.2734,140.6171
41,2056.0,0.0,0.0,43.012600000000006,574.6975000000001,112.88499999999999,146.3866
42,2057.0,0.0,0.0,43.012600000000006,598.4775000000001,132.3305,151.91080000000002
43,2058.0,0.0,0.0,44.9945,619.2869999999999,151.7759,157.613
44,2059.0,0.0,0.0,47.54310000000001,639.9417000000001,168.1386,163.4226
45,2060.0,0.0,2.2661,51.21560000000001,660.7718000000001,171.26839999999999,169.1815
46,2061.0,0.0,9.4595,60.49130000000001,672.2937,184.99560000000002,174.2778
47,2062.0,0.0,18.1728,69.80010000000001,682.8559,192.659,179.5413
48,2063.0,0.0,27.4739,77.09920000000001,692.1936000000001,200.4572,186.3555
49,2064.0,0.0,37.3889,85.6934,705.4768000000001,204.2969,192.56839999999997
50,2065.0,0.0,63.3517,94.185,723.1187,216.6673,197.31999999999996
51,2066.0,0.0,89.3146,96.3228,737.0178000000001,229.1518,202.1922
52,2067.0,0.0,115.2774,91.52929999999999,750.4168000000001,244.6133,205.6698
53,2068.0,0.0,127.2179,86.97210000000001,750.4825000000001,260.8114,209.7721
54,2069.0,0.0,129.8141,84.1579,768.9776,270.5209,210.2635
55,2070.0,32.6642,132.4104,90.96900000000001,779.5409999999999,300.13649999999996,208.4636
