,y,Amarti-Neshe,Aswan 1,Aswan 2,Baro,Bedden,Birbir,Chemoga Yeda,Dagash,Dal,Esna,Finchaa,Geba,Genji,High Aswan Dam,Jebel Aulia,Kajbar,Karadobi,Kashm El Girba ,Lake Tana - Beles,Lakki,Large hydropower plant (Dam),Lower Dedessa,Medium hydropower plant (Run-of river),Merowe,Naga Hamadi,New Assiut Barrage,Renaissance,Roseires,Sabaloka,Sennar,Shereik,Sor,Tams,Tekeze 1,Tekeze 2,Tis Abay 1,Tis Abay 2,Upper Atbara,Upper Mandaya
0,2015.0,0.098,0.28,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.128,0.0,0.0,2.1,0.019,0.0,0.0,0.01,0.46,0.0,0.604,0.0,0.107,1.24,0.064,0.0,0.0,0.27,0.0,0.026,0.0,0.005,0.0,0.3,0.0,0.011,0.078,0.0,0.0
1,2016.0,0.098,0.28,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.128,0.0,0.0,2.1,0.019,0.0,0.0,0.01,0.46,0.0,0.604,0.0,0.107,1.24,0.064,0.0,0.0,0.27,0.0,0.026,0.0,0.005,0.0,0.3,0.0,0.011,0.078,0.0,0.0
2,2017.0,0.098,0.28,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.128,0.0,0.0,2.1,0.019,0.0,0.0,0.01,0.46,0.0,2.474,0.0,0.107,1.24,0.064,0.0,0.0,0.27,0.0,0.026,0.0,0.005,0.0,0.3,0.0,0.011,0.078,0.32,0.0
3,2018.0,0.098,0.28,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.128,0.0,0.0,2.1,0.019,0.0,0.0,0.01,0.46,0.0,2.474,0.0,0.107,1.24,0.064,0.03174,0.0,0.27,0.0,0.026,0.0,0.005,0.0,0.3,0.0,0.011,0.078,0.32,0.0
4,2019.0,0.098,0.28,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.128,0.0,0.0,2.1,0.019,0.0,0.0,0.01,0.46,0.0,2.474,0.0,0.107,1.24,0.064,0.03174,0.0,0.27,0.0,0.026,0.0,0.005,0.0,0.3,0.0,0.011,0.078,0.32,0.0
5,2020.0,0.098,0.28,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.128,0.0,0.0,2.1,0.019,0.0,0.0,0.01,0.46,0.0,2.474,0.0,0.107,1.24,0.064,0.03174,0.0,0.27,0.0,0.026,0.0,0.005,0.0,0.3,0.0,0.011,0.078,0.32,0.0
6,2021.0,0.098,0.28,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.128,0.0,0.0,2.1,0.019,0.0,0.0,0.01,0.46,0.0,2.474,0.0,0.107,1.24,0.064,0.03174,0.0,0.27,0.0,0.026,0.0,0.005,0.0,0.3,0.0,0.011,0.078,0.32,0.0
7,2022.0,0.098,0.28,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.128,0.0,0.0,2.1,0.019,0.0,0.0,0.01,0.46,0.0,2.474,0.0,0.107,1.24,0.064,0.03174,0.0,0.27,0.0,0.026,0.0,0.005,0.0,0.3,0.0,0.011,0.078,0.32,0.0
8,2023.0,0.098,0.28,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.128,0.0,0.0,2.1,0.019,0.0,0.0,0.01,0.46,0.0,3.162,0.0,0.107,1.24,0.064,0.03174,6.4,0.27,0.0,0.026,0.0,0.005,0.0,0.3,0.0,0.011,0.078,0.32,0.0
9,2024.0,0.098,0.28,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.128,0.0,0.0,2.1,0.019,0.36,0.0,0.01,0.46,0.41,3.162,0.0,0.107,1.24,0.064,0.03174,6.4,0.27,0.0,0.026,0.0,0.005,0.0,0.3,0.0,0.011,0.078,0.32,0.0
