,y,Coal,Gas,Solar CSP,Solar PV,Solar FPV,Wind,Biomass
7,2023.0,0.0,0.0,0.439,0.65,0.85,0.5,0.1
8,2024.0,0.0,0.0,0.421,0.35,0.3,0.5,0.1
9,2025.0,3.0,0.0,0.0,0.35,0.0,0.25,0.0
10,2026.0,3.0,0.0,0.0,0.287,0.0,0.25,0.0
11,2027.0,0.0,0.0,0.0,0.075,0.0,0.25,0.0
12,2028.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
13,2029.0,0.0,0.0,0.0,0.101,0.0,0.25,0.0
14,2030.0,0.0,0.0,0.0,0.05,0.0,0.25,0.0
15,2031.0,0.0,0.0,0.0,0.146,0.0,0.5,0.0
16,2032.0,0.0,0.0,0.0,0.728,0.0,0.5,0.0
17,2033.0,0.0,0.523,0.0,0.6,0.0,0.5,0.0
18,2034.0,0.0,1.993,0.0,0.6,0.0,0.5,0.0
19,2035.0,1.0,0.972,0.0,0.6,0.0,0.5,0.0
20,2036.0,1.0,0.957,0.0,0.6,0.0,0.5,0.0
21,2037.0,1.0,0.955,0.0,0.6,0.0,0.5,0.0
22,2038.0,1.0,0.911,0.0,0.6,0.3,0.5,0.0
23,2039.0,1.0,2.456,0.0,0.6,0.3,0.5,0.0
24,2040.0,1.0,3.775,0.0,0.6,0.3,0.5,0.0
25,2041.0,1.5,2.22,0.0,0.85,0.6,0.75,0.0
26,2042.0,0.5,1.602,0.0,0.85,0.0,0.75,0.0
27,2043.0,0.5,3.363,0.0,1.25,0.0,0.75,0.0
28,2044.0,0.5,1.312,0.0,0.95,0.0,0.75,0.0
29,2045.0,0.5,2.361,0.0,0.95,0.0,0.75,0.0
30,2046.0,0.0,3.107,0.0,0.95,0.0,0.75,0.0
31,2047.0,0.0,6.0,0.0,0.925,0.0,0.75,0.0
32,2048.0,1.5,6.0,0.0,0.85,0.85,0.75,0.0
33,2049.0,0.5,4.5,0.0,0.951,0.3,0.75,0.0
34,2050.0,0.5,1.629,0.0,0.9,0.0,0.75,0.0
35,2051.0,0.5,1.716,0.0,0.996,0.0,0.75,0.0
36,2052.0,0.5,1.842,0.0,1.078,0.0,0.75,0.0
37,2053.0,0.5,1.85,0.0,0.95,0.0,0.75,0.0
38,2054.0,0.5,2.015,0.0,0.95,0.0,0.75,0.0
39,2055.0,1.5,3.683,0.0,0.95,0.0,0.75,0.0
40,2056.0,1.5,4.434,0.0,0.95,0.0,0.75,0.0
41,2057.0,1.5,0.513,0.0,0.95,0.0,0.75,0.0
42,2058.0,1.5,0.269,0.0,0.95,0.0,1.014,0.0
43,2059.0,1.5,1.37,0.054,0.95,0.0,1.5,0.0
44,2060.0,1.5,1.62,0.152,0.95,0.0,1.5,0.0
45,2061.0,0.5,2.266,0.574,1.2,0.0,1.0,0.0
46,2062.0,0.5,2.546,0.667,1.2,0.0,1.0,0.0
47,2063.0,0.5,3.171,0.713,1.6,0.3,1.0,0.0
48,2064.0,0.5,4.716,0.753,1.3,0.3,1.0,0.0
49,2065.0,1.5,3.676,2.0,1.3,0.3,1.0,0.0
50,2066.0,1.5,2.505,2.0,1.3,0.6,2.0,0.0
51,2067.0,1.5,3.524,2.0,1.275,0.0,2.0,0.0
52,2068.0,1.5,5.3,0.887,1.2,0.0,2.0,0.0
53,2069.0,1.5,5.881,0.2,1.301,0.0,2.0,0.0
54,2070.0,1.5,5.504,2.2,1.25,0.0,2.0,0.0
