,y,Coal,Oil,Gas,Hydro,Solar CSP,Solar PV,Solar FPV,Wind,Biomass,power_trade
0,2015.0,0.0,47.73,437.88,72.18,0.0,0.07,0.0,9.92,0.0,0.0
1,2016.0,0.0,37.06,451.22,72.18,0.0,0.27,0.0,12.43,3.96,0.0
2,2017.0,0.0,26.41,471.23,72.18,0.0,0.27,0.0,12.43,3.96,0.0
3,2018.0,0.0,7.57,498.45,73.03,0.0,0.6,0.0,16.69,3.96,-4.24
4,2019.0,0.0,7.57,515.95,73.03,0.0,0.6,0.0,16.69,3.96,-11.98
5,2020.0,0.0,7.57,524.63,73.03,0.0,1.27,0.0,16.69,3.96,-11.98
6,2021.0,0.0,7.19,537.28,73.03,0.0,2.94,0.0,19.48,5.54,-16.57
7,2022.0,0.0,6.83,541.9,73.03,0.0,4.61,0.0,25.48,7.13,-16.57
8,2023.0,0.0,6.44,508.65,73.03,0.0,9.57,5.95,31.48,8.71,10.69
9,2024.0,0.0,6.06,583.67,73.03,6.49,12.07,8.05,37.48,10.29,25.27
10,2025.0,80.04,5.68,525.14,73.03,6.49,14.56,8.05,40.27,10.29,12.13
11,2026.0,160.08,5.3,466.4,73.03,6.49,17.01,8.05,43.06,10.29,-0.72
12,2027.0,160.08,4.92,481.25,73.03,6.49,17.83,8.05,45.85,10.29,-5.33
13,2028.0,160.08,4.55,496.09,73.03,6.49,18.65,8.05,48.64,10.29,-9.97
14,2029.0,160.08,4.17,509.88,73.03,6.49,19.22,8.05,51.43,10.29,-13.35
15,2030.0,160.08,3.79,508.07,73.03,6.49,19.55,8.05,54.22,10.29,-1.52
16,2031.0,160.08,3.4,552.96,73.03,6.49,21.08,8.05,60.15,10.29,-5.6
17,2032.0,160.08,3.02,590.04,73.03,6.49,25.29,8.05,66.07,10.29,-4.76
18,2033.0,160.08,12.26,612.82,73.03,6.49,29.45,8.05,72.0,10.29,0.54
19,2034.0,160.08,17.66,645.72,73.03,6.49,33.62,8.05,77.92,10.29,-0.29
20,2035.0,186.76,18.82,656.83,73.03,6.49,37.77,8.05,83.85,10.29,-1.83
21,2036.0,213.44,18.25,665.89,73.03,6.49,41.93,8.05,89.78,10.29,0.15
22,2037.0,240.12,17.7,677.93,73.03,6.49,46.1,8.05,95.7,10.29,-0.78
23,2038.0,266.79,17.15,678.72,73.03,6.49,50.26,10.15,101.63,10.29,7.13
24,2039.0,293.47,16.59,688.06,73.03,6.49,54.42,12.25,107.55,10.29,6.54
25,2040.0,320.15,6.74,702.08,73.03,6.49,58.52,14.35,110.47,10.29,13.43
26,2041.0,360.17,0.0,705.24,73.03,6.49,64.15,18.55,117.37,10.29,14.84
27,2042.0,373.51,0.0,730.52,73.03,6.49,69.98,18.55,126.77,10.29,15.45
28,2043.0,386.85,0.0,762.35,73.03,6.49,75.48,18.55,131.91,10.29,14.01
29,2044.0,400.19,0.0,787.76,73.03,6.49,81.3,18.55,141.32,10.29,14.27
30,2045.0,413.53,0.0,819.0,73.03,6.49,86.48,18.55,150.73,10.29,9.45
31,2046.0,413.53,0.0,871.17,73.03,6.49,90.64,18.55,157.0,10.29,1.24
32,2047.0,413.53,0.0,919.88,73.03,6.49,94.79,18.55,160.06,10.29,-0.69
33,2048.0,453.55,0.0,829.56,73.03,6.49,98.96,18.55,163.12,10.29,91.34
34,2049.0,466.89,0.0,885.12,73.03,0.0,103.12,18.55,166.18,10.29,79.47
35,2050.0,480.23,0.0,918.71,73.03,0.0,107.27,18.55,172.45,10.29,75.65
36,2051.0,493.57,0.0,957.24,73.03,0.0,111.5,18.55,178.72,10.29,72.49
37,2052.0,506.91,0.0,995.18,73.03,0.0,117.33,18.55,184.99,10.29,70.3
38,2053.0,520.25,0.0,1033.88,73.03,0.0,123.17,18.55,191.26,10.29,69.43
39,2054.0,533.59,0.0,1078.85,73.03,0.0,128.99,18.55,197.54,10.29,64.45
40,2055.0,493.57,0.0,1169.6,73.03,0.0,134.82,18.55,203.81,10.29,69.27
41,2056.0,453.55,0.0,1278.03,73.03,0.0,140.65,18.55,206.94,6.34,65.79
42,2057.0,493.57,0.0,1296.59,73.03,0.0,143.14,18.55,210.08,6.34,73.91
43,2058.0,533.59,0.0,1293.58,73.03,0.0,145.63,18.55,213.21,6.34,106.04
44,2059.0,573.61,0.0,1305.68,73.03,0.0,148.14,18.55,223.75,6.34,118.21
45,2060.0,613.63,0.0,1335.74,73.03,2.27,150.63,18.55,236.51,6.34,110.55
46,2061.0,626.97,0.0,1386.58,73.03,9.46,154.8,18.55,242.79,4.75,112.99
47,2062.0,640.31,0.0,1443.48,73.03,18.17,158.95,18.55,249.06,3.17,110.63
48,2063.0,653.65,0.0,1502.75,73.03,27.47,163.11,18.55,255.33,1.58,108.24
49,2064.0,666.99,0.0,1564.46,73.03,37.39,167.28,18.55,261.6,0.0,105.78
50,2065.0,680.33,0.0,1607.26,73.03,63.35,171.43,18.55,267.87,0.0,107.71
51,2066.0,693.67,0.0,1645.34,73.03,89.31,173.93,18.55,283.83,0.0,109.53
52,2067.0,707.01,0.0,1685.5,73.03,115.28,176.43,18.55,299.8,0.0,112.59
53,2068.0,720.35,0.0,1753.08,73.03,127.22,178.92,18.55,315.78,0.0,105.81
54,2069.0,733.68,0.0,1828.44,73.03,129.81,181.42,18.55,331.74,0.0,104.05
55,2070.0,747.02,0.0,1882.7,73.03,165.07,183.91,18.55,347.72,0.0,94.5
