,y,CSP (without storage),CSP (with storage),Solar PV (utility),Solar PV (roof top),Solar PV with storage,Solar FPV
8,2023.0,5.7002,0.0,6.2748,1.3348,1.9656,5.958
9,2024.0,11.1631,0.0,7.9432,1.6686,2.457,8.058399999999999
10,2025.0,11.1631,0.0,9.6117,2.0023,2.9483,8.058399999999999
11,2026.0,11.1631,0.0,10.861,2.336,3.4397,8.058399999999999
12,2027.0,11.1631,0.0,10.8609,2.6697,3.6877,8.058399999999999
13,2028.0,11.1631,0.0,10.8608,2.6697,3.6877,8.058399999999999
14,2029.0,11.1631,0.0,10.8608,3.3371,3.6956,8.058399999999999
15,2030.0,11.1631,0.0,10.8607,3.6708,3.6956,8.058399999999999
16,2031.0,11.1631,0.0,10.8607,4.0045,4.6364,8.058399999999999
17,2032.0,11.1631,0.0,14.1977,4.3382,6.3881,8.058399999999999
18,2033.0,11.1631,0.0,17.5348,4.6719,6.8795,8.058399999999999
19,2034.0,11.1631,0.0,20.8718,5.0057,7.3709,8.058399999999999
20,2035.0,11.1631,0.0,24.2089,5.3394,7.8623,8.058399999999999
21,2036.0,11.1631,0.0,27.5459,5.6731,8.3536,8.058399999999999
22,2037.0,11.1631,0.0,30.883,6.0068,8.845,8.058399999999999
23,2038.0,11.1631,0.0,34.22,6.3405,9.3364,10.1588
24,2039.0,11.1631,0.0,37.557,6.6742,9.8278,12.2592
25,2040.0,11.1631,0.0,40.8274,7.0079,10.3192,14.3596
26,2041.0,11.1631,0.0,45.6328,7.3416,10.8106,18.5604
27,2042.0,11.1631,0.0,50.6385,7.6753,11.302,18.5604
28,2043.0,11.1631,0.0,55.3105,8.0091,11.7934,18.5604
29,2044.0,11.1631,0.0,60.3161,8.3428,12.2848,18.5604
30,2045.0,11.1631,0.0,64.6543,8.6765,12.7762,18.5604
31,2046.0,11.1631,0.0,67.9914,9.0102,13.2675,18.5604
32,2047.0,11.1631,0.0,71.3285,9.3439,13.7589,18.5604
33,2048.0,5.4629,0.0,74.6656,9.6776,14.2503,18.5604
34,2049.0,0.0,0.0,78.0027,10.0113,14.7417,18.5604
35,2050.0,0.0,0.0,81.3398,10.345,15.2331,18.5604
36,2051.0,0.0,0.0,85.0962,10.6787,15.7245,18.5604
37,2052.0,0.0,0.0,90.1019,11.0125,16.2159,18.5604
38,2053.0,0.0,0.0,95.1076,11.3462,16.7073,18.5604
39,2054.0,0.0,0.0,100.1132,11.6799,17.1987,18.5604
40,2055.0,0.0,0.0,105.1189,12.0136,17.6901,18.5604
41,2056.0,0.0,0.0,110.1245,12.3473,18.1815,18.5604
42,2057.0,0.0,0.0,111.7931,12.681,18.6728,18.5604
43,2058.0,0.0,0.0,113.4616,13.0147,19.1642,18.5604
44,2059.0,0.6991,0.0,115.1302,13.3484,19.6556,18.5604
45,2060.0,2.666,0.0,116.7987,13.6821,20.147,18.5604
46,2061.0,10.1206,0.0,120.1359,14.0158,20.6384,18.5604
47,2062.0,18.7848,0.0,123.473,14.3496,21.1298,18.5604
48,2063.0,28.0401,0.0,126.8101,14.6833,21.6212,18.5604
49,2064.0,37.8092,0.0,130.1472,15.017,22.1126,18.5604
50,2065.0,63.772,0.0,133.4843,15.3507,22.604,18.5604
51,2066.0,89.7349,0.0,135.1528,15.6844,23.0954,18.5604
52,2067.0,115.6977,0.0,136.8214,16.0181,23.5868,18.5604
53,2068.0,127.2179,0.0,138.4899,16.3518,24.0781,18.5604
54,2069.0,129.8141,0.0,140.1585,16.6855,24.5695,18.5604
55,2070.0,132.4104,32.6642,141.827,17.0192,25.0609,18.5604
