,y,Coal,Oil,Gas,Hydro,Solar CSP,Solar PV,Wind,Biomass,Coal Production,Crude Oil production,Crude oil Refinery,Natural gas extraction
0,2015.0,0.0,655.88,4934.32,8269.24,0.0,0.0,0.01,0.0,0.16,105.36,64.49,1.38
1,2016.0,0.0,250.98,5060.65,8269.24,0.0,0.0,0.01,145.81,0.15,99.98,62.0,1.39
2,2017.0,0.0,241.63,5250.13,8269.24,0.0,0.0,0.01,145.81,0.2,94.46,60.93,1.42
3,2018.0,0.0,240.03,4887.34,8388.14,0.0,0.0,0.02,145.81,0.2,98.02,61.57,1.44
4,2019.0,0.0,240.03,4890.71,8388.14,0.0,0.0,0.02,145.81,0.22,97.03,60.72,1.67
5,2020.0,0.0,240.03,5603.97,8388.14,0.0,0.01,0.02,145.81,0.23,96.03,59.87,1.69
6,2021.0,0.0,228.03,5570.41,8388.14,0.0,0.02,0.02,204.13,0.23,97.38,61.02,1.7
7,2022.0,0.0,216.02,5548.59,8388.14,0.0,0.03,0.02,262.46,0.24,98.72,62.16,1.71
8,2023.0,0.0,204.03,5286.92,8388.14,0.16,0.06,0.04,320.78,0.24,100.06,63.3,1.7
9,2024.0,0.0,192.03,5536.57,8388.14,0.3,0.08,0.04,379.1,0.24,101.4,64.44,1.77
10,2025.0,2279.76,180.02,5199.53,8388.14,0.3,0.09,0.04,379.1,3.25,102.75,65.58,1.73
11,2026.0,4559.52,168.02,4663.63,8388.14,0.3,0.1,0.05,379.1,1.35,103.05,65.84,1.68
12,2027.0,4559.52,156.01,4676.71,8388.14,0.3,0.11,0.05,379.1,0.0,94.08,58.21,1.7
13,2028.0,4559.52,144.0,4649.62,8388.14,0.3,0.11,0.05,379.1,0.0,85.1,50.58,1.71
14,2029.0,4559.52,132.01,4688.43,8388.14,0.3,0.11,0.06,379.1,0.0,76.12,42.94,1.73
15,2030.0,4559.52,120.0,4547.43,8388.14,0.3,0.11,0.06,379.1,0.0,54.43,24.5,1.74
16,2031.0,4559.52,108.0,4644.68,8388.14,0.3,0.13,0.07,379.1,0.0,0.0,0.0,1.79
17,2032.0,4559.52,96.0,4912.63,8388.14,0.3,0.16,0.07,379.1,0.0,0.0,0.0,1.82
18,2033.0,4559.52,471.83,5071.07,8388.14,0.3,0.18,0.08,379.1,0.0,0.0,0.0,1.85
19,2034.0,4559.52,588.8,5275.32,8388.14,0.3,0.21,0.09,379.1,0.0,0.0,0.0,1.89
20,2035.0,5319.44,571.51,5438.3,8388.14,0.3,0.23,0.09,379.1,0.0,0.0,0.0,1.91
21,2036.0,6079.36,554.21,5584.28,8388.14,0.3,0.27,0.1,379.1,0.0,0.0,0.0,1.93
22,2037.0,6839.28,536.92,5726.39,8388.14,0.3,0.3,0.11,379.1,0.0,0.0,0.0,1.53
23,2038.0,7599.2,519.63,5828.61,8388.14,0.3,0.32,0.11,379.1,0.0,0.0,4.77,1.43
24,2039.0,8359.12,502.34,5626.17,8388.14,0.3,0.34,0.12,379.1,0.0,0.0,4.77,1.44
25,2040.0,9119.04,214.43,5517.94,8388.14,0.3,0.37,0.12,379.1,0.0,0.0,4.77,1.34
26,2041.0,10258.92,0.0,5410.06,8388.14,0.3,0.41,0.13,379.1,0.0,0.0,4.77,1.02
