,y,Natural gas extraction
0,2020.0,121.5082
1,2021.0,122.9087
2,2022.0,127.0949
3,2023.0,18.4489
4,2024.0,18.5415
5,2025.0,21.2077
6,2026.0,27.8611
7,2027.0,22.1576
8,2028.0,22.2687
9,2029.0,10.3767
10,2030.0,14.7655
11,2031.0,23.4756
12,2032.0,20.9395
13,2033.0,23.9956
14,2034.0,23.2592
15,2035.0,26.9943
16,2036.0,22.8878
17,2037.0,22.4087
18,2038.0,24.57
19,2039.0,26.3865
20,2040.0,30.4421
21,2041.0,24.5347
22,2042.0,21.015
23,2043.0,18.7708
24,2044.0,17.7322
25,2045.0,19.6202
26,2046.0,18.6033
27,2047.0,18.837
28,2048.0,21.1847
29,2049.0,20.7207
