,y,Coal,Oil,Gas,Hydro,Solar PV,Solar FPV,Wind,Biomass,Geothermal,power_trade
0,2015.0,0.0,2.2,0.0,28.1,0.07,0.0,3.33,2.82,0.21,4.41
1,2016.0,0.0,3.54,0.0,28.1,0.08,0.0,3.33,2.82,0.21,4.96
2,2017.0,0.0,0.76,0.0,52.93,0.09,0.0,3.33,0.85,0.21,-5.05
3,2018.0,0.0,1.74,0.0,56.11,0.09,0.0,3.33,2.35,0.21,-2.46
4,2019.0,0.0,7.66,0.0,56.11,0.09,0.0,3.33,2.82,0.21,5.99
5,2020.0,0.0,0.81,69.42,56.11,0.09,0.0,3.33,2.82,3.43,5.32
6,2021.0,0.0,0.86,70.03,56.11,0.08,0.0,3.24,2.68,7.98,5.44
7,2022.0,0.0,0.85,71.71,56.11,0.08,0.0,3.15,2.54,10.66,5.99
8,2023.0,0.0,0.58,10.76,132.14,0.08,0.0,3.06,1.53,16.03,-5.99
9,2024.0,0.0,0.55,10.83,131.87,0.07,0.0,2.97,1.44,22.73,-5.99
10,2025.0,0.0,0.52,12.41,132.31,0.07,0.0,2.89,0.9,28.09,-5.99
11,2026.0,0.0,0.49,16.33,134.93,0.07,0.0,2.8,0.94,28.08,-5.36
12,2027.0,0.0,0.45,13.01,145.25,0.07,0.0,2.71,0.72,28.07,-4.47
13,2028.0,0.0,0.42,13.09,147.86,0.06,0.0,2.62,0.73,28.06,0.94
14,2029.0,0.0,0.39,6.11,167.82,0.06,0.0,2.53,0.4,28.05,-2.81
15,2030.0,0.0,0.34,8.71,172.05,0.06,0.0,2.44,0.45,28.04,-0.37
16,2031.0,0.0,0.31,13.87,174.97,0.05,0.0,2.36,0.42,28.03,2.2
17,2032.0,0.0,0.27,12.4,188.89,0.05,0.0,2.27,0.31,28.02,1.31
18,2033.0,0.0,0.24,14.23,196.14,7.19,0.0,2.18,0.21,28.01,-3.71
19,2034.0,0.0,0.2,13.82,196.96,16.86,0.0,2.09,0.1,28.0,-2.31
20,2035.0,0.0,0.17,16.06,198.41,26.06,0.0,2.0,0.0,29.31,-1.5
21,2036.0,0.0,0.14,13.64,202.09,34.58,0.0,1.91,0.0,36.0,-3.72
22,2037.0,0.0,0.1,13.38,202.33,42.4,0.0,1.83,0.0,42.69,-2.79
23,2038.0,0.0,0.07,14.69,203.55,52.08,0.0,1.74,0.0,45.68,-1.61
24,2039.0,0.0,0.03,15.81,203.6,61.76,0.0,1.65,0.0,52.36,-1.36
25,2040.0,0.0,0.0,18.25,204.99,71.44,0.0,0.0,0.0,59.05,-0.74
26,2041.0,0.0,0.0,14.75,201.6,90.58,0.0,0.0,0.0,61.77,-1.49
27,2042.0,0.0,0.0,12.65,199.77,109.94,0.0,0.0,0.0,61.76,-1.72
28,2043.0,0.0,0.0,11.32,198.4,129.3,0.0,0.0,0.0,61.75,-2.03
29,2044.0,0.0,0.0,10.71,197.52,148.67,0.0,0.0,0.0,61.74,-2.35
30,2045.0,0.0,0.0,11.87,202.12,164.72,0.0,0.0,0.0,58.51,-1.57
31,2046.0,0.0,0.0,11.27,201.27,184.09,0.0,0.0,0.0,60.66,-1.5
32,2047.0,0.0,0.0,11.43,198.27,204.98,0.0,0.0,0.0,64.68,-2.26
33,2048.0,0.0,0.0,12.88,194.83,229.15,0.0,0.0,0.0,66.02,-3.5
34,2049.0,0.0,0.0,12.62,193.26,253.32,0.0,0.0,0.0,66.02,-2.04
35,2050.0,14.24,0.0,0.0,191.85,277.49,0.0,0.0,0.0,67.36,-2.82
36,2051.0,13.88,0.0,0.0,187.48,297.75,0.0,0.0,0.0,67.36,-2.82
37,2052.0,13.55,0.0,0.0,183.26,318.39,0.0,0.0,0.0,67.36,-2.95
38,2053.0,11.55,0.0,0.0,191.22,332.51,0.0,0.0,0.0,67.36,-5.47
39,2054.0,13.07,0.0,0.0,192.74,346.99,0.0,0.0,0.0,67.36,-4.86
40,2055.0,12.96,0.0,0.0,189.93,361.95,0.0,0.0,0.0,74.06,-4.86
41,2056.0,12.87,0.0,0.0,187.06,377.59,0.0,0.0,0.0,80.76,-4.86
42,2057.0,12.79,0.0,0.0,184.12,393.92,0.0,0.0,0.0,87.46,-4.86
43,2058.0,12.89,0.0,0.0,181.9,408.42,1.98,0.0,0.0,94.16,-4.86
44,2059.0,13.06,0.0,0.0,179.84,422.9,4.53,0.0,0.0,100.86,-4.86
45,2060.0,13.3,0.0,0.0,178.5,437.39,8.2,0.0,0.0,106.24,-4.67
46,2061.0,14.27,0.0,0.0,180.1,442.42,17.48,0.0,0.0,106.24,-4.45
47,2062.0,15.22,0.0,0.0,182.15,447.22,26.79,0.0,0.0,106.24,-4.08
48,2063.0,15.81,0.0,0.0,182.62,452.03,34.09,0.0,0.0,109.95,-3.11
49,2064.0,16.76,0.0,0.0,186.02,456.83,42.72,0.23,0.0,109.95,-2.82
50,2065.0,17.8,0.0,0.0,184.7,464.95,51.2,1.94,0.0,109.95,-2.62
51,2066.0,18.33,0.0,0.0,192.69,469.75,54.95,1.94,0.0,112.55,-3.17
52,2067.0,19.22,0.0,0.0,208.29,473.03,49.75,1.61,0.0,118.64,-3.73
53,2068.0,18.32,0.0,0.0,225.82,473.03,45.91,1.52,0.0,127.12,-4.31
54,2069.0,18.14,0.0,0.0,234.19,480.24,44.65,1.28,0.0,134.03,-3.51
55,2070.0,19.26,0.0,0.0,229.73,499.03,49.91,1.2,0.0,134.03,-3.17
