,y,Amarti-Neshe FPV,Birbir FPV,Baro FPV,Chemoga Yeda FPV,Finchaa FPV,Genji FPV,Karadobi FPV,Lower Dedessa FPV,Lake Tana - Beles FPV,Renaissance FPV,Tekeze 1 FPV,Tekeze 2 FPV,Upper Mandaya FPV
0,2058.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9819,0.0,0.0,0.0,0.0,0.0,0.0
1,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5305,0.0,0.0,0.0,0.0,0.0,0.0
2,2060.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5305,0.0,0.0,3.6725,0.0,0.0,0.0
3,2061.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0233,0.0,0.0,9.4554,0.0,0.0,0.0
4,2062.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0959,0.0,1.4533,15.2383,0.0,0.0,0.0
5,2063.0,0.0191,0.0,0.0,0.0,0.06,0.0,10.0959,0.0,2.8904,21.0212,0.0,0.0,0.0
6,2064.0,0.0224,0.0,0.0,0.0,0.3484,0.0,10.0959,0.0,2.8904,26.8041,0.8686,0.0,1.6854
7,2065.0,0.0224,0.0,0.0,0.0,0.7542,0.0,10.0959,0.0001,2.8904,32.5869,0.8686,0.0,3.9772
8,2066.0,0.0224,0.0,0.0,0.7984,0.4581,0.0,10.0959,0.0001,1.8279,36.4435,1.3152,0.0,3.9772
9,2067.0,0.2628,0.0,0.0,0.7984,0.4843,0.0,4.7294,2.0331,2.1472,32.9505,1.0867,0.0,5.2615
10,2068.0,0.2628,0.6199,0.0,0.7984,0.3484,0.0,9.1047,1.435,2.0573,22.9883,0.8686,1.1129,6.3227
11,2069.0,0.2628,0.8722,0.0,0.7984,0.3484,0.0,8.0919,1.745,2.1472,22.9883,1.0347,1.1129,5.2615
12,2070.0,0.2628,1.1759,0.0397,0.946,0.5087,0.6205,5.7206,1.745,1.9434,30.0494,1.1032,1.3975,4.4032
