,y,Coal,Hydro,Solar PV,Solar FPV,Geothermal
3,2024.0,0.0,0.36,0.0,0.0,0.1
4,2025.0,0.0,0.42,0.0,0.0,0.1
5,2026.0,0.0,0.0,0.0,0.0,0.1
6,2027.0,0.0,0.0,0.0,0.0,0.1
7,2028.0,0.0,0.312,0.0,0.0,0.0
8,2030.0,0.0,0.853,0.0,0.0,0.0
9,2031.0,0.0,0.0,0.275,0.0,0.0
10,2032.0,0.0,0.312,1.321,0.0,0.0
11,2033.0,0.0,0.0,1.63,0.0,0.0
12,2034.0,0.0,0.0,1.769,0.0,0.0
13,2035.0,0.0,0.0,0.046,0.0,0.0
14,2036.0,0.0,0.0,1.601,0.0,0.0
15,2037.0,0.0,0.0,1.744,0.0,0.0
16,2038.0,0.0,0.0,1.961,0.0,0.0
17,2039.0,0.0,0.0,2.0,0.0,0.0
18,2040.0,0.377,0.0,2.0,0.0,0.0
19,2041.0,0.0,0.0,1.887,0.0,0.0
20,2042.0,0.0,0.0,2.015,0.0,0.0
21,2043.0,0.0,0.0,2.151,0.0,0.0
22,2044.0,0.0,0.0,2.106,0.0,0.0
23,2045.0,0.0,0.0,1.611,0.0,0.0
24,2046.0,0.0,0.0,1.474,0.0,0.0
25,2047.0,0.0,0.0,1.564,0.648,0.0
26,2048.0,2.777,0.0,3.5,2.809,0.0
27,2049.0,0.0,0.0,0.691,0.04,0.1
28,2050.0,0.0,0.0,2.48,0.0,0.1
29,2051.0,0.0,0.0,1.899,0.0,0.1
30,2052.0,0.0,0.0,3.187,0.0,0.1
31,2053.0,0.0,0.0,3.5,0.0,0.0
32,2054.0,0.0,0.0,3.5,0.244,0.0
33,2055.0,0.0,0.0,3.5,0.0,0.0
34,2056.0,0.003,0.0,3.762,0.0,0.0
35,2057.0,0.478,0.0,6.5,0.105,0.0
36,2058.0,0.845,0.0,6.5,0.0,0.0
37,2059.0,0.054,0.0,4.547,0.0,0.0
38,2060.0,0.0,0.0,4.064,0.0,0.0
39,2061.0,0.0,0.0,4.936,0.0,0.0
40,2062.0,0.0,0.0,4.23,0.0,0.0
41,2063.0,0.0,0.0,4.44,0.0,0.0
42,2064.0,0.0,0.0,4.61,0.0,0.0
43,2065.0,0.0,0.0,4.912,0.0,0.0
44,2066.0,0.0,0.0,6.004,0.0,0.0
45,2067.0,0.0,0.0,6.5,0.0,0.0
46,2068.0,0.0,0.0,6.5,0.0,0.0
47,2069.0,0.0,0.0,3.5,0.0,0.0
48,2070.0,0.0,0.0,4.28,0.0,0.0
