,y,Egypt - Sudan Historic and Planned EL trade link,Ethiopia - Sudan EL existing trade link
0,2015.0,-5.5894,0.0
1,2016.0,-0.9138,0.0
2,2017.0,-9.2142,5.9918
3,2018.0,-7.2046,3.7449
4,2019.0,-3.773,0.0
5,2020.0,-3.8945,0.0
6,2021.0,-4.1605,4.75
7,2022.0,0.3756,4.75
8,2023.0,-11.9837,5.9918
9,2024.0,-31.7027,5.9918
10,2025.0,-18.5639,5.9918
11,2026.0,-7.4933,4.75
12,2027.0,-3.9240000000000004,4.75
13,2028.0,-6.354,4.75
14,2029.0,0.6955,4.75
15,2030.0,-16.4705,4.75
16,2031.0,-8.5641,4.75
17,2032.0,-11.8454,4.75
18,2033.0,-11.7673,4.75
19,2034.0,-11.7114,4.75
20,2035.0,-11.0661,4.75
21,2036.0,-11.1413,4.75
22,2037.0,-11.2961,4.75
23,2038.0,-11.7787,4.75
24,2039.0,-11.4903,4.75
25,2040.0,-19.758,4.75
26,2041.0,-20.3736,4.75
27,2042.0,-19.2142,4.75
28,2043.0,-19.6385,4.75
29,2044.0,-19.135,4.75
30,2045.0,-14.872100000000001,4.9893
31,2046.0,-5.797700000000001,4.75
32,2047.0,-3.0685000000000002,4.8591
33,2048.0,-93.2047,5.3952
34,2049.0,-82.9551,4.75
35,2050.0,-78.4226,4.75
36,2051.0,-75.7138,5.0314
37,2052.0,-72.8125,4.8591
38,2053.0,-69.6328,4.9926
39,2054.0,-66.2364,4.8591
40,2055.0,-71.0704,4.8591
41,2056.0,-67.6163,4.8591
42,2057.0,-89.2053,4.8591
43,2058.0,-118.8914,4.8591
44,2059.0,-116.4355,5.0652
45,2060.0,-110.266,5.1665
46,2061.0,-111.3988,4.8591
47,2062.0,-109.29,4.8591
48,2063.0,-107.1269,4.8591
49,2064.0,-105.394,4.75
50,2065.0,-105.99600000000001,4.75
51,2066.0,-108.5513,4.75
52,2067.0,-111.8258,4.75
53,2068.0,-109.8497,4.75
54,2069.0,-107.8309,4.75
55,2070.0,-97.2156,5.4255
