,y,Coal,Oil,Hydro,Solar PV,Geothermal,Biomass,Crude Oil production,Crude oil Refinery,Natural gas extraction
0,2015.0,0.0,19.57,2604.66,0.0,0.0,126.0,12.28,9.22,0.0
1,2016.0,0.0,26.52,2604.66,0.0,0.0,126.0,0.0,10.35,0.0
2,2017.0,0.0,17.16,2849.89,0.0,0.0,126.0,12.49,9.98,0.0
3,2018.0,0.0,16.99,2849.89,0.0,0.0,126.0,24.32,9.79,0.0
4,2019.0,0.0,17.07,2849.89,0.0,0.0,126.0,19.96,9.52,0.0
5,2020.0,0.0,16.99,2849.89,0.0,0.0,126.0,0.0,9.26,0.0
6,2021.0,0.0,16.14,2849.89,0.0,0.0,119.7,0.0,9.55,0.0
7,2022.0,0.0,15.84,2849.89,0.0,0.0,113.4,0.0,9.84,0.0
8,2023.0,0.0,39.46,2849.89,0.0,0.0,107.1,0.0,10.15,0.0
9,2024.0,84.73,49.65,3830.01,0.0,0.05,100.8,0.0,10.69,0.0
10,2025.0,84.73,17.93,4868.36,0.0,0.1,63.0,0.0,10.81,0.43
11,2026.0,84.73,11.9,4868.36,0.0,0.15,56.7,0.0,11.14,0.43
12,2027.0,84.73,11.05,4868.36,0.0,0.2,50.4,0.0,11.5,0.43
13,2028.0,84.73,10.19,5594.64,0.0,0.2,44.1,0.0,11.87,0.43
14,2029.0,84.73,9.35,5594.64,0.0,0.2,37.8,0.0,12.25,0.0
15,2030.0,84.73,8.5,7603.69,0.0,0.2,31.5,0.0,12.04,0.0
16,2031.0,84.73,7.65,7603.69,0.06,0.2,25.2,0.0,1.07,0.0
17,2032.0,84.73,6.8,7603.69,0.12,0.2,18.9,0.0,0.72,0.0
18,2033.0,84.73,6.23,7603.69,0.2,0.2,12.6,0.0,0.36,0.0
19,2034.0,84.73,5.79,7603.69,0.27,0.2,6.3,0.0,0.0,0.0
20,2035.0,84.73,4.99,7603.69,0.27,0.2,0.0,0.0,0.0,0.0
21,2036.0,84.73,3.75,7603.69,0.35,0.2,0.0,0.0,0.0,0.0
22,2037.0,95.0,2.62,7603.69,0.42,0.2,0.0,0.0,0.0,0.0
23,2038.0,348.05,1.75,7603.69,0.51,0.2,0.0,0.0,0.0,0.0
24,2039.0,348.05,0.88,7603.69,0.6,0.2,0.0,0.0,0.0,0.0
25,2040.0,612.33,0.0,7603.69,0.68,0.2,0.0,0.0,0.0,0.0
26,2041.0,612.33,0.0,7603.69,0.76,0.2,0.0,0.0,0.0,0.0
27,2042.0,612.33,0.0,7575.61,0.85,0.2,0.0,0.0,0.0,0.0
28,2043.0,571.25,0.0,7575.61,0.94,0.2,0.0,0.0,0.0,0.0
29,2044.0,733.94,0.0,7560.53,0.99,0.2,0.0,0.0,0.0,0.0
30,2045.0,774.2,0.0,7560.53,1.05,0.2,0.0,0.0,0.0,0.0
31,2046.0,815.1,0.0,7268.97,1.12,0.2,0.0,0.0,0.0,0.0
32,2047.0,819.9,0.0,7268.97,1.19,0.2,0.0,0.0,0.0,0.0
33,2048.0,2901.03,0.0,7268.97,1.33,0.2,0.0,0.0,0.0,0.0
34,2049.0,3053.19,0.0,7268.97,1.36,0.2,0.0,0.0,0.0,0.0
35,2050.0,3053.19,0.0,7268.97,1.46,0.2,0.0,0.0,0.0,0.0
36,2051.0,3053.19,0.0,7268.97,1.53,0.2,0.0,0.0,0.0,0.0
37,2052.0,3053.19,0.0,7268.97,1.6,0.2,0.0,0.0,0.0,0.0
38,2053.0,3051.17,0.0,7268.97,1.67,0.2,0.0,0.0,0.0,0.0
39,2054.0,2968.46,0.0,7268.97,1.75,0.2,0.0,0.0,0.0,0.0
40,2055.0,2968.46,0.0,7268.97,1.88,0.2,0.0,0.0,0.0,0.0
41,2056.0,2968.46,0.0,7268.97,1.95,0.2,0.0,0.0,0.0,0.0
42,2057.0,2893.8,0.0,7268.97,2.13,0.2,0.0,0.0,0.0,0.0
43,2058.0,3589.53,0.0,7268.97,2.31,0.2,0.0,0.0,0.0,0.0
44,2059.0,3797.32,0.0,7268.97,2.46,0.2,0.0,0.0,0.0,0.0
45,2060.0,3817.79,0.0,7245.52,2.53,0.2,0.0,0.0,0.0,0.0
46,2061.0,3780.32,0.0,7078.71,2.65,0.2,0.0,0.0,0.0,0.0
47,2062.0,3772.91,0.0,7020.17,2.74,0.2,0.0,0.0,0.0,0.0
48,2063.0,3765.31,0.0,7020.17,2.83,0.2,0.0,0.0,0.0,0.0
49,2064.0,3757.52,0.0,7020.17,2.9,0.2,0.0,0.0,0.0,0.0
50,2065.0,3685.34,0.0,7020.17,3.04,0.18,0.0,0.0,0.0,0.0
51,2066.0,3549.06,0.0,7020.17,3.18,0.2,0.0,0.0,0.0,0.0
52,2067.0,3361.53,0.0,7020.17,3.35,0.2,0.0,0.0,0.0,0.0
53,2068.0,3173.99,0.0,7107.58,3.45,0.2,0.0,0.0,0.0,0.0
54,2069.0,3129.9,0.0,7227.9,3.56,0.2,0.0,0.0,0.0,0.0
55,2070.0,2978.18,0.0,7020.17,3.67,0.18,0.0,0.0,0.0,0.0
