,y,Dagash,Dal,Jebel Aulia,Kajbar,Kashm El Girba ,Merowe,Roseires,Sabaloka,Shereik,Sennar,Upper Atbara
0,2015,0.0,0.0,37.4627,0.0,15.0751,2232.476,291.5631,0.0,0.0,28.0764,0.0
1,2016,0.0,0.0,37.4627,0.0,15.0751,2232.476,291.5631,0.0,0.0,28.0764,0.0
2,2017,0.0,0.0,37.4627,0.0,15.0751,2232.476,291.5631,0.0,0.0,28.0764,245.227
3,2018,0.0,0.0,37.4627,0.0,15.0751,2232.476,291.5631,0.0,0.0,28.0764,245.227
4,2019,0.0,0.0,37.4627,0.0,15.0751,2232.476,291.5631,0.0,0.0,28.0764,245.227
5,2020,0.0,0.0,37.4627,0.0,15.0751,2232.476,291.5631,0.0,0.0,28.0764,245.227
6,2021,0.0,0.0,37.4627,0.0,15.0751,2232.476,291.5631,0.0,0.0,28.0764,245.227
7,2022,0.0,0.0,37.4627,0.0,15.0751,2232.476,291.5631,0.0,0.0,28.0764,245.227
8,2023,0.0,0.0,37.4627,0.0,15.0751,2232.476,291.5631,0.0,0.0,28.0764,245.227
9,2024,0.0,0.0,37.4627,980.1202,15.0751,2232.476,291.5631,0.0,0.0,28.0764,245.227
10,2025,0.0,0.0,37.4627,980.1202,15.0751,2232.476,291.5631,0.0,1038.3481,28.0764,245.227
11,2026,0.0,0.0,37.4627,980.1202,15.0751,2232.476,291.5631,0.0,1038.3481,28.0764,245.227
12,2027,0.0,0.0,37.4627,980.1202,15.0751,2232.476,291.5631,0.0,1038.3481,28.0764,245.227
13,2028,726.2801,0.0,37.4627,980.1202,15.0751,2232.476,291.5631,0.0,1038.3481,28.0764,245.227
14,2029,726.2801,0.0,37.4627,980.1202,15.0751,2232.476,291.5631,0.0,1038.3481,28.0764,245.227
15,2030,726.2801,1508.4278,37.4627,980.1202,15.0751,2232.476,291.5631,500.6176,1038.3481,28.0764,245.227
16,2031,726.2801,1508.4278,37.4627,980.1202,15.0751,2232.476,291.5631,500.6176,1038.3481,28.0764,245.227
17,2032,726.2801,1508.4278,37.4627,980.1202,15.0751,2232.476,291.5631,500.6176,1038.3481,28.0764,245.227
18,2033,726.2801,1508.4278,37.4627,980.1202,15.0751,2232.476,291.5631,500.6176,1038.3481,28.0764,245.227
19,2034,726.2801,1508.4278,37.4627,980.1202,15.0751,2232.476,291.5631,500.6176,1038.3481,28.0764,245.227
20,2035,726.2801,1508.4278,37.4627,980.1202,15.0751,2232.476,291.5631,500.6176,1038.3481,28.0764,245.227
21,2036,726.2801,1508.4278,37.4627,980.1202,15.0751,2232.476,291.5631,500.6176,1038.3481,28.0764,245.227
22,2037,726.2801,1508.4278,37.4627,980.1202,15.0751,2232.476,291.5631,500.6176,1038.3481,28.0764,245.227
23,2038,726.2801,1508.4278,37.4627,980.1202,15.0751,2232.476,291.5631,500.6176,1038.3481,28.0764,245.227
24,2039,726.2801,1508.4278,37.4627,980.1202,15.0751,2232.476,291.5631,500.6176,1038.3481,28.0764,245.227
25,2040,726.2801,1508.4278,37.4627,980.1202,15.0751,2232.476,291.5631,500.6176,1038.3481,28.0764,245.227
26,2041,726.2801,1508.4278,37.4627,980.1202,15.0751,2232.476,291.5631,500.6176,1038.3481,28.0764,245.227
27,2042,726.2801,1508.4278,37.4627,980.1202,15.0751,2232.476,291.5631,500.6176,1038.3481,0.0,245.227
28,2043,726.2801,1508.4278,37.4627,980.1202,15.0751,2232.476,291.5631,500.6176,1038.3481,0.0,245.227
29,2044,726.2801,1508.4278,37.4627,980.1202,0.0,2232.476,291.5631,500.6176,1038.3481,0.0,245.227
30,2045,726.2801,1508.4278,37.4627,980.1202,0.0,2232.476,291.5631,500.6176,1038.3481,0.0,245.227
31,2046,726.2801,1508.4278,37.4627,980.1202,0.0,2232.476,0.0,500.6176,1038.3481,0.0,245.227
32,2047,726.2801,1508.4278,37.4627,980.1202,0.0,2232.476,0.0,500.6176,1038.3481,0.0,245.227
33,2048,726.2801,1508.4278,37.4627,980.1202,0.0,2232.476,0.0,500.6176,1038.3481,0.0,245.227
34,2049,726.2801,1508.4278,37.4627,980.1202,0.0,2232.476,0.0,500.6176,1038.3481,0.0,245.227
35,2050,726.2801,1508.4278,37.4627,980.1202,0.0,2232.476,0.0,500.6176,1038.3481,0.0,245.227
36,2051,726.2801,1508.4278,37.4627,980.1202,0.0,2232.476,0.0,500.6176,1038.3481,0.0,245.227
37,2052,726.2801,1508.4278,37.4627,980.1202,0.0,2232.476,0.0,500.6176,1038.3481,0.0,245.227
38,2053,726.2801,1508.4278,37.4627,980.1202,0.0,2232.476,0.0,500.6176,1038.3481,0.0,245.227
39,2054,726.2801,1508.4278,37.4627,980.1202,0.0,2232.476,0.0,500.6176,1038.3481,0.0,245.227
40,2055,726.2801,1508.4278,37.4627,980.1202,0.0,2232.476,0.0,500.6176,1038.3481,0.0,245.227
41,2056,726.2801,1508.4278,37.4627,980.1202,0.0,2232.476,0.0,500.6176,1038.3481,0.0,245.227
42,2057,726.2801,1508.4278,37.4627,980.1202,0.0,2232.476,0.0,500.6176,1038.3481,0.0,245.227
43,2058,726.2801,1508.4278,37.4627,980.1202,0.0,2232.476,0.0,500.6176,1038.3481,0.0,245.227
44,2059,726.2801,1508.4278,37.4627,980.1202,0.0,2232.476,0.0,500.6176,1038.3481,0.0,245.227
45,2060,703.0758,1508.4278,37.4627,979.8677,0.0,2232.476,0.0,500.6176,1038.3481,0.0,245.227
46,2061,726.2801,1460.2344,36.753,939.7596,0.0,2168.2729,0.0,476.6946,1025.5029,0.0,245.227
47,2062,703.0758,1460.2344,36.753,939.7596,0.0,2168.2729,0.0,476.6946,990.1556,0.0,245.227
48,2063,703.0758,1460.2344,36.753,939.7596,0.0,2168.2729,0.0,476.6946,990.1556,0.0,245.227
49,2064,703.0758,1460.2344,36.753,939.7596,0.0,2168.2729,0.0,476.6946,990.1556,0.0,245.227
50,2065,703.0758,1460.2344,36.753,939.7596,0.0,2168.2729,0.0,476.6946,990.1556,0.0,245.227
51,2066,703.0758,1460.2344,36.753,939.7596,0.0,2168.2729,0.0,476.6946,990.1556,0.0,245.227
52,2067,703.0758,1460.2344,36.753,939.7596,0.0,2168.2729,0.0,476.6946,990.1556,0.0,245.227
53,2068,726.2801,1460.2344,36.753,939.7596,0.0,2232.476,0.0,476.6946,990.1556,0.0,245.227
54,2069,726.2801,1508.4278,36.753,939.7596,0.0,2232.476,0.0,500.6176,1038.3481,0.0,245.227
55,2070,703.0758,1460.2344,36.753,939.7596,0.0,2168.2729,0.0,476.6946,990.1556,0.0,245.227
