,y,CO2
0,2015,1.8822
1,2016,1.5839
2,2017,2.134
3,2018,2.6842
4,2019,3.2344
5,2020,2.0336
6,2021,2.1353
7,2022,2.2369
8,2023,2.3579
9,2024,1.7197
10,2025,1.786
11,2026,1.86
12,2027,1.9409
13,2028,2.0343
14,2029,2.1356
15,2030,2.2463
16,2031,2.3772
17,2032,2.5266
18,2033,2.6855
19,2034,2.8545
20,2035,3.0397
21,2036,2.49
22,2037,2.576
23,2038,2.6785
24,2039,2.8044
25,2040,2.9487
26,2041,3.0878
27,2042,3.2387
28,2043,3.4099
29,2044,3.5502
30,2045,3.6399
31,2046,3.731
32,2047,3.825
33,2048,3.9218
34,2049,4.0221
35,2050,4.1133
36,2051,4.1715
37,2052,4.2305
38,2053,4.2833
39,2054,4.3369
40,2055,4.3908
41,2056,4.4459
42,2057,4.4967
43,2058,4.5468
44,2059,4.5976
45,2060,4.6583
46,2061,4.7098
47,2062,4.762
48,2063,4.8098
49,2064,4.8595
50,2065,4.9212
51,2066,4.9835
52,2067,5.0357
53,2068,5.0961
54,2069,5.1573
55,2070,5.2216
