,y,Oil,Gas,Hydro,Solar PV,Geothermal
0,2015.0,0.129,0.0,0.0,0.0,0.0
1,2017.0,0.063,0.0,0.0,0.0,0.0
2,2018.0,0.112,0.0,0.0,0.0,0.0
3,2019.0,0.112,0.0,0.0,0.0,0.0
4,2020.0,0.0,0.258,0.0,0.0,0.0
5,2021.0,0.0,0.009,0.0,0.0,0.0
6,2022.0,0.0,0.021,0.0,0.0,0.0
7,2023.0,0.0,0.01,0.0,0.0,0.0
8,2024.0,0.0,0.0,0.41,0.0,0.0
9,2032.0,0.0,0.011,0.0,0.0,0.0
10,2033.0,0.0,0.044,0.0,0.0,0.0
11,2034.0,0.0,0.048,0.0,0.0,0.0
12,2035.0,0.0,0.051,0.0,0.0,0.0
13,2036.0,0.0,0.0,0.57,0.0,0.0
14,2042.0,0.0,0.056,0.0,0.0,0.0
15,2043.0,0.0,0.068,0.0,0.0,0.0
16,2044.0,0.0,0.05,0.0,0.0,0.025
17,2045.0,0.0,0.025,0.0,0.0,0.057
18,2046.0,0.0,0.033,0.0,0.0,0.06
19,2047.0,0.0,0.049,0.0,0.0,0.064
20,2048.0,0.0,0.04,0.0,0.0,0.067
21,2049.0,0.0,0.031,0.0,0.0,0.071
22,2050.0,0.0,0.283,0.0,0.114,0.056
23,2051.0,0.0,0.011,0.0,0.157,0.0
24,2052.0,0.0,0.008,0.0,0.164,0.0
25,2053.0,0.0,0.004,0.0,0.238,0.0
26,2054.0,0.0,0.004,0.0,0.245,0.0
27,2055.0,0.0,0.004,0.0,0.254,0.0
28,2056.0,0.0,0.004,0.0,0.263,0.0
29,2057.0,0.0,0.011,0.0,0.313,0.0
30,2058.0,0.0,0.044,0.0,0.334,0.0
31,2059.0,0.0,0.048,0.0,0.345,0.0
32,2060.0,0.0,0.051,0.0,0.364,0.0
33,2061.0,0.0,0.0,0.0,0.261,0.0
34,2062.0,0.0,0.0,0.0,0.266,0.0
35,2063.0,0.0,0.0,0.0,0.182,0.0
36,2064.0,0.0,0.0,0.0,0.186,0.0
37,2065.0,0.0,0.0,0.0,0.284,0.0
38,2066.0,0.0,0.0,0.0,0.291,0.0
39,2067.0,0.0,0.056,0.0,0.297,0.0
40,2068.0,0.0,0.069,0.0,0.304,0.0
41,2069.0,0.0,0.05,0.0,0.311,0.025
42,2070.0,0.0,0.006,0.0,0.432,0.057
