,y,Oil fired gas turbine (SCGT) - MDT cooling (old),Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - Air cooling (new)
0,2015.0,0.4326,1.212,0.7171000000000001,0.0,0.0
1,2016.0,0.4326,0.7548,0.7171000000000001,0.0,0.0
2,2017.0,0.4326,1.8038,0.7171000000000001,0.0,0.0
3,2018.0,0.4326,2.8529,0.7171000000000001,0.0,0.0
4,2019.0,0.4326,3.9019,0.7171000000000001,0.0,0.0
5,2020.0,0.0,0.0019,0.0865,6.4727,0.0
6,2021.0,0.129,0.002,0.0822,6.7922,0.0505
7,2022.0,0.1222,0.0021,0.0779,7.0559,0.274
8,2023.0,0.11909999999999998,0.0218,0.1913,7.2478,0.4944
9,2024.0,0.0,0.0,0.0692,0.1669,0.0
10,2025.0,0.0,0.0,0.0649,0.2841,0.0
11,2026.0,0.0,0.0,0.0605,0.47669999999999996,0.0
12,2027.0,0.0,0.0,0.0562,0.7325999999999999,0.0
13,2028.0,0.0,0.0,0.0519,1.1202,0.0
14,2029.0,0.0,0.0,0.0475,1.5837,0.0
15,2030.0,0.0,0.0,0.043300000000000005,2.1420000000000003,0.0
16,2031.0,0.0,0.0,0.039,2.959,0.03
17,2032.0,0.0182,0.0,0.034699999999999995,3.8408,0.1329
18,2033.0,0.0159,0.0,0.0303,4.707,0.3331
19,2034.0,0.013600000000000001,0.0,0.026,5.5840000000000005,0.5965
20,2035.0,0.0114,0.0,0.0217,6.3385,1.0569
21,2036.0,0.0,0.0,0.0173,0.365,0.0
22,2037.0,0.0,0.0,0.013,0.5467,0.0
23,2038.0,0.0,0.0,0.0087,0.9064,0.0
24,2039.0,0.0,0.0,0.0043,1.3182999999999998,0.1406
25,2040.0,0.0,0.0,0.0,1.8456,0.3395
26,2041.0,0.0,0.0,0.0,2.5606,0.5246
27,2042.0,0.0,0.0,0.0,3.1451000000000002,0.8861
28,2043.0,0.0,0.0,0.0,3.9424,1.2686
29,2044.0,0.0,0.0,0.0,4.4993,1.5482
30,2045.0,0.0,0.0,0.0,4.7729,1.5867
31,2046.0,0.0,0.0,0.0,5.1073,1.5846
32,2047.0,0.0,0.0,0.0,5.4614,1.5824
33,2048.0,0.0,0.0,0.0,5.843,1.5736
34,2049.0,0.0,0.0,0.0,6.2330000000000005,1.5775
35,2050.0,0.0,0.0,0.0,6.5097000000000005,1.5679
36,2051.0,0.0,0.0,0.0,6.572900000000001,1.5566
37,2052.0,0.0,0.0,0.0,6.636,1.5449
38,2053.0,0.0,0.0,0.0,6.6162,1.5286
39,2054.0,0.0,0.0,0.0,6.5958,1.5118
40,2055.0,0.0,0.0,0.0,6.5748,1.4944
41,2056.0,0.0,0.0,0.0,6.553,1.4764
42,2057.0,0.0,0.0,0.0,6.5013,1.4328
43,2058.0,0.0,0.0,0.0,6.4407000000000005,1.3815
44,2059.0,0.0,0.0,0.0,6.3782,1.3285
45,2060.0,0.0,0.0,0.0,6.6226,1.1423
46,2061.0,0.0,0.0,0.0,6.7014,1.1022
47,2062.0,0.0,0.0,0.0,6.7821,1.0613
48,2063.0,0.0,0.0,0.0,6.7803,1.0342
49,2064.0,0.0,0.0,0.0,6.7513000000000005,1.038
50,2065.0,0.0,0.0,0.0,6.7725,1.1105
51,2066.0,0.0,0.0,0.0,6.794,1.1846
52,2067.0,0.0,0.0,0.0,7.2181,0.8746
53,2068.0,0.0,0.0,0.0,7.3698,0.8281
54,2069.0,0.0,0.0,0.0,7.5247,0.7806
55,2070.0,0.0,0.0,0.0,7.5978,0.8141
