,y,Bedden,Lakki
0,2015,0.0,0.0
1,2016,0.0,0.0
2,2017,0.0,0.0
3,2018,0.0,0.0
4,2019,0.0,0.0
5,2020,0.0,0.0
6,2021,0.0,0.0
7,2022,0.0,0.0
8,2023,0.0,0.0
9,2024,0.0,247.9864
10,2025,0.0,262.2019
11,2026,0.0,275.3476
12,2027,0.0,287.8624
13,2028,0.0,297.7968
14,2029,0.0,306.8976
15,2030,0.0,314.69
16,2031,0.0,318.3324
17,2032,0.0,318.3324
18,2033,0.0,318.3324
19,2034,0.0,318.3324
20,2035,0.0,318.3324
21,2036,331.8561,236.2116
22,2037,441.8674,162.8926
23,2038,405.9794,233.2168
24,2039,367.0608,303.9196
25,2040,441.8674,259.1564
26,2041,417.5879,301.3857
27,2042,437.2543,300.7185
28,2043,441.8674,310.9094
29,2044,441.8674,318.3324
30,2045,441.8674,318.3324
31,2046,441.8674,318.3324
32,2047,441.8674,318.3324
33,2048,441.8674,318.3324
34,2049,441.8674,318.3324
35,2050,441.8674,318.3324
36,2051,441.8674,318.3324
37,2052,441.8674,318.3324
38,2053,441.8674,318.3324
39,2054,441.8674,318.3324
40,2055,441.8674,318.3324
41,2056,441.8674,318.3324
42,2057,441.8674,318.3324
43,2058,441.8674,318.3324
44,2059,441.8674,318.3324
45,2060,436.9949,318.3324
46,2061,441.8674,310.0032
47,2062,441.8674,306.4708
48,2063,425.4956,318.3324
49,2064,421.6458,317.4037
50,2065,441.8674,291.7402
51,2066,439.4783,288.5669
52,2067,417.0321,305.3274
53,2068,415.4253,301.5035
54,2069,441.8674,268.7376
55,2070,422.4633,282.0664
