,y,CO2
1,2016,210.516
2,2017,208.1689
3,2018,205.1047
4,2019,206.1354
5,2020,206.429
6,2021,209.9241
7,2022,213.579
8,2023,216.9226
9,2024,223.9313
10,2025,246.9333
11,2026,261.8156
12,2027,265.523
13,2028,268.3181
14,2029,271.7586
15,2030,273.7811
16,2031,277.9325
17,2032,283.4216
18,2033,289.2789
19,2034,298.9306
20,2035,308.1174
21,2036,317.3021
22,2037,326.6316
23,2038,335.8451
24,2039,344.2483
25,2040,309.9514
26,2041,316.5359
27,2042,324.0649
28,2043,330.5973
29,2044,336.7401
30,2045,342.8953
31,2046,347.6872
32,2047,352.6097
33,2048,363.7962
34,2049,371.1569
35,2050,378.2092
36,2051,385.6891
37,2052,393.3655
38,2053,401.2538
39,2054,409.5422
40,2055,412.8602
41,2056,413.7208
42,2057,426.661
43,2058,440.6558
44,2059,453.8667
45,2060,467.3307
46,2061,476.8149
47,2062,486.5449
48,2063,496.769
49,2064,506.9896
50,2065,517.3264
51,2066,527.1707
52,2067,537.4192
53,2068,547.8118
54,2069,558.7016
55,2070,570.0575
