,y,Coal,Oil,Gas,Hydro,Solar PV,Wind
1,2016.0,0.0,1.522,1.15,0.0,0.03,0.2
2,2017.0,0.0,0.0,1.08,0.0,0.0,0.0
3,2018.0,0.0,0.0,16.35,0.032,0.05,0.34
4,2021.0,0.0,0.0,0.0,0.0,0.0,0.25
5,2022.0,0.0,0.0,0.0,0.0,0.0,0.25
6,2023.0,0.0,0.0,0.0,0.0,0.0,0.25
7,2024.0,0.0,0.0,0.0,0.0,0.25,0.25
8,2025.0,3.0,0.0,0.0,0.0,0.25,0.25
9,2026.0,3.0,0.0,0.0,0.0,0.25,0.25
10,2027.0,0.0,0.0,0.0,0.0,0.25,0.25
11,2028.0,0.0,0.0,0.0,0.0,0.25,0.25
12,2029.0,0.0,0.0,0.0,0.0,0.25,0.25
13,2030.0,0.0,0.0,0.0,0.0,0.531,0.25
14,2031.0,0.0,0.0,0.0,0.0,1.35,0.5
15,2032.0,0.0,0.0,1.991,0.0,0.669,0.5
16,2033.0,0.0,0.0,1.948,0.0,0.6,0.5
17,2034.0,1.0,0.0,0.935,0.0,0.6,0.5
18,2035.0,1.0,0.0,0.959,0.0,0.6,0.5
19,2036.0,1.0,0.0,0.965,0.0,0.6,0.5
20,2037.0,1.0,0.0,1.004,0.0,0.6,0.5
21,2038.0,1.0,0.0,0.979,0.0,0.6,0.5
22,2039.0,1.0,0.0,2.473,0.0,0.6,0.5
23,2040.0,1.0,0.0,3.975,0.0,0.6,0.5
24,2041.0,0.5,0.0,3.479,0.0,0.85,0.75
25,2042.0,0.5,0.0,1.564,0.0,0.85,0.75
26,2043.0,0.5,0.0,3.301,0.0,0.85,0.75
27,2044.0,0.5,0.0,1.215,0.0,0.85,0.75
28,2045.0,0.5,0.0,2.093,0.0,0.85,0.75
29,2046.0,0.0,0.0,5.395,0.0,0.1,0.75
30,2047.0,0.0,0.0,6.0,0.0,0.1,0.75
31,2048.0,1.5,0.0,6.0,0.0,0.1,0.75
32,2049.0,0.5,0.0,4.5,0.0,0.1,0.75
33,2050.0,0.5,0.0,1.665,0.0,0.381,0.75
34,2051.0,0.5,0.0,1.789,0.0,0.95,0.75
35,2052.0,0.5,0.0,1.875,0.0,0.269,0.75
36,2053.0,0.5,0.0,2.039,0.0,0.2,0.75
37,2054.0,0.5,0.0,2.182,0.0,0.2,0.75
38,2055.0,1.5,0.0,4.347,0.0,0.2,0.75
39,2056.0,1.5,0.0,4.5,0.0,0.2,0.75
40,2057.0,1.5,0.0,1.672,0.0,0.2,0.75
41,2058.0,1.5,0.0,1.778,0.0,0.2,0.75
42,2059.0,1.5,0.0,1.889,0.0,0.2,0.75
43,2060.0,1.5,0.0,2.003,0.0,0.2,0.75
44,2061.0,0.5,0.0,3.016,0.0,0.2,1.0
45,2062.0,0.5,0.0,5.13,0.0,0.2,1.0
46,2063.0,0.5,0.0,6.838,0.0,0.2,1.0
47,2064.0,1.5,0.0,4.159,0.0,0.2,1.0
48,2065.0,1.5,0.0,5.344,0.0,0.2,1.0
49,2066.0,1.5,0.0,4.16,0.0,0.2,2.0
50,2067.0,1.5,0.0,4.354,0.0,0.2,2.0
51,2068.0,1.5,0.0,6.053,0.0,0.2,2.0
52,2069.0,1.5,0.0,6.242,0.0,0.2,2.0
53,2070.0,1.5,0.0,6.665,0.0,0.481,2.0
