,y,Solar PV (utility),Solar PV (roof top),Solar PV with storage
1,2016.0,0.2681,0.0,0.0
2,2017.0,0.2681,0.0,0.0
3,2018.0,0.6018,0.0,0.0
4,2019.0,0.6018,0.0,0.0
5,2020.0,0.6018,0.0,0.0
6,2021.0,0.6017,0.0,0.0
7,2022.0,0.6017,0.0,0.0
8,2023.0,0.6016,0.0,0.0
9,2024.0,2.2701,0.0,0.0
10,2025.0,3.9386,0.0,0.0
11,2026.0,5.6071,0.0,0.0
12,2027.0,7.2756,0.0,0.0
13,2028.0,8.9441,0.0,0.0
14,2029.0,10.6126,0.0,0.0
15,2030.0,12.2811,1.6686,0.3016
16,2031.0,15.6181,4.0045,5.2155
17,2032.0,18.9552,4.3382,6.3881
18,2033.0,22.2922,4.6719,6.8795
19,2034.0,25.6293,5.0057,7.3709
20,2035.0,28.9663,5.3394,7.8623
21,2036.0,32.3034,5.6731,8.3536
22,2037.0,35.6404,6.0068,8.845
23,2038.0,38.9775,6.3405,9.3364
24,2039.0,42.3145,6.6742,9.8278
25,2040.0,45.5849,7.0079,10.3192
26,2041.0,50.3903,7.3416,10.8106
27,2042.0,55.396,7.6753,11.302
28,2043.0,60.0679,8.0091,11.7934
29,2044.0,65.0736,8.3428,12.2848
30,2045.0,70.0792,8.6765,12.7762
31,2046.0,70.0792,9.0102,13.2675
32,2047.0,70.0792,9.3439,13.7589
33,2048.0,70.0792,9.6776,14.2503
34,2049.0,68.4107,10.0113,14.7417
35,2050.0,66.7421,10.345,15.2331
36,2051.0,65.0736,10.6787,15.7245
37,2052.0,63.405,11.0125,16.2159
38,2053.0,61.7365,11.3462,16.7073
39,2054.0,57.6729,11.6799,17.1987
40,2055.0,19.5958,12.0136,17.6901
41,2056.0,17.5066,12.3473,18.1815
42,2057.0,15.1979,12.681,18.6728
43,2058.0,6.9505,13.0147,19.1642
44,2059.0,6.4712,13.3484,19.6556
45,2060.0,5.9918,13.6821,20.147
46,2061.0,5.5125,14.0158,20.6384
47,2062.0,5.0331,14.3496,21.1298
48,2063.0,0.0,14.6833,21.6212
49,2064.0,0.0,15.017,22.1126
50,2065.0,0.0,15.3507,22.604
51,2066.0,0.0,15.6844,23.0954
52,2067.0,0.0,16.0181,23.5868
53,2068.0,0.0,16.3518,24.0781
54,2069.0,0.0,16.6855,24.5695
55,2070.0,0.0,17.0192,25.0609
