,y,Egypt - Jordan Historic EL trade link,Egypt - Saudi Arabia Planned EL trade link,Egypt - Sudan Historic and Planned EL trade link,Libya - Egypt Historic EL trade link
1,2016.0,-8.9878,0.0,0.0,-5.0931
2,2017.0,-8.9878,0.0,5.9918,-5.0931
3,2018.0,-8.9878,0.0,5.9918,-5.0931
4,2019.0,-8.9878,0.0,-2.3356,-5.0931
5,2020.0,-8.9878,0.0,-2.2077,-5.0931
6,2021.0,-8.9878,0.0,-2.7357,-5.0931
7,2022.0,-8.9878,0.0,-5.1256,-5.0931
8,2023.0,-8.9878,0.0,-4.1786,-5.0931
9,2024.0,-8.9878,-44.9388,0.0,-5.0931
10,2025.0,-8.9878,-134.8164,1.0852,-5.0931
11,2026.0,-8.9878,-134.8164,1.0231999999999999,-5.0931
12,2027.0,-8.9878,-134.8164,-5.1936,-5.0931
13,2028.0,-8.9878,-134.8164,-1.3264,-5.0931
14,2029.0,-8.9878,-134.8164,-4.6522,-5.0931
15,2030.0,-8.9878,-134.8164,3.9215999999999998,-5.0931
16,2031.0,-8.9878,-134.8164,4.0462,-5.0931
17,2032.0,-8.9878,-134.8164,4.6486,-5.0931
18,2033.0,-8.9878,-134.8164,4.83,-5.0931
19,2034.0,-8.9878,-134.8164,5.4617,-5.0931
20,2035.0,-8.9878,-134.8164,5.5989,-5.0931
21,2036.0,-8.9878,-134.8164,5.1711,-5.0931
22,2037.0,-8.9878,-134.8164,3.9553000000000003,-5.0931
23,2038.0,-8.9878,-134.8164,3.3419999999999996,-5.0931
24,2039.0,-8.9878,-134.8164,4.1337,-5.0931
25,2040.0,-8.9878,-134.8164,4.799799999999999,-5.0931
26,2041.0,-8.9878,-134.8164,4.9885,-5.0931
27,2042.0,-8.9878,-134.8164,5.0087,-5.0931
28,2043.0,-8.9878,-134.8164,4.5767999999999995,-5.0931
29,2044.0,-8.9878,-134.8164,5.0295,-5.0931
30,2045.0,-8.9878,-134.8164,4.9906,-5.0931
31,2046.0,-8.9878,-134.8164,3.856,-5.0931
32,2047.0,-8.9878,-134.8164,2.1386000000000003,-5.0931
33,2048.0,-8.9878,-129.0032,7.5719,-4.1303
34,2049.0,-8.9878,-134.8164,3.6305,-5.0931
35,2050.0,-8.9878,-134.8164,1.9624,-5.0931
36,2051.0,-8.9878,-134.8164,2.6746,-5.0931
37,2052.0,-8.9878,-134.8164,3.2005,-5.0931
38,2053.0,-8.9878,-134.8164,3.3396,-5.0931
39,2054.0,-8.9878,-134.8164,3.3396,-5.0931
40,2055.0,-8.9878,-134.8164,3.8873000000000006,-5.0931
41,2056.0,-8.9878,-134.8164,4.2469,-5.0931
42,2057.0,-8.9878,-134.8164,4.3099,-5.0931
43,2058.0,-8.9878,-134.8164,3.1545000000000005,-5.0931
44,2059.0,-8.9878,-134.8164,3.3396,-5.0931
45,2060.0,-8.9878,-134.8164,3.3396,-5.0931
46,2061.0,-8.9878,-134.8164,3.3396,-5.0931
47,2062.0,-8.9878,-134.8164,3.3396,-5.0931
48,2063.0,-8.9878,-134.8164,3.3396,-5.0931
49,2064.0,-8.9878,-134.8164,3.3396,-5.0931
50,2065.0,-8.9878,-134.8164,3.1963,-5.0931
51,2066.0,-8.9878,-134.8164,4.736000000000001,-5.0931
52,2067.0,-8.9878,-134.8164,4.8716,-5.0931
53,2068.0,-8.9878,-134.8164,5.4449000000000005,-5.0931
54,2069.0,-8.9878,-134.8164,5.458600000000001,-5.0931
55,2070.0,-8.9878,-134.8164,3.4934,-5.0931
