,y,Coal,Oil,Gas,Hydro,Solar PV,Wind
1,2016.0,0.0,4.442,31.948,2.8,0.04,0.991
2,2017.0,0.0,4.442,33.028,2.8,0.04,0.991
3,2018.0,0.0,4.442,49.378,2.832,0.09,1.331
4,2019.0,0.0,4.442,49.378,2.832,0.09,1.331
5,2020.0,0.0,4.442,49.378,2.832,0.09,1.331
6,2021.0,0.0,4.364,47.979,2.832,0.09,1.553
7,2022.0,0.0,4.285,46.578,2.832,0.09,1.776
8,2023.0,0.0,4.206,45.179,2.832,0.09,1.998
9,2024.0,0.0,4.128,43.778,2.832,0.34,2.221
10,2025.0,3.0,4.049,42.379,2.832,0.59,2.443
11,2026.0,6.0,3.972,40.98,2.832,0.84,2.666
12,2027.0,6.0,3.893,39.578,2.832,1.09,2.888
13,2028.0,6.0,3.814,38.178,2.832,1.34,3.111
14,2029.0,6.0,3.736,36.778,2.832,1.59,3.333
15,2030.0,6.0,3.656,35.378,2.832,2.121,3.556
16,2031.0,6.0,3.578,33.978,2.832,3.471,4.028
17,2032.0,6.0,3.5,34.569,2.832,4.14,4.5
18,2033.0,6.0,3.421,35.119,2.832,4.74,4.973
19,2034.0,7.0,3.343,34.653,2.832,5.34,5.445
20,2035.0,8.0,3.264,34.213,2.832,5.94,5.918
21,2036.0,9.0,3.185,33.779,2.832,6.54,6.39
22,2037.0,10.0,3.107,33.383,2.832,7.14,6.863
23,2038.0,11.0,3.029,32.963,2.832,7.74,7.335
24,2039.0,12.0,2.951,34.034,2.832,8.34,7.808
25,2040.0,13.0,1.522,34.66,2.832,8.93,8.04
26,2041.0,13.5,0.0,37.489,2.832,9.75,8.59
27,2042.0,14.0,0.0,38.723,2.832,10.6,9.34
28,2043.0,14.5,0.0,40.074,2.832,11.4,9.75
29,2044.0,15.0,0.0,41.289,2.832,12.25,10.5
30,2045.0,15.5,0.0,42.532,2.832,13.1,11.25
31,2046.0,15.5,0.0,47.427,2.832,13.2,11.75
32,2047.0,15.5,0.0,52.677,2.832,13.3,12.25
33,2048.0,17.0,0.0,44.277,2.832,13.4,12.75
34,2049.0,17.5,0.0,48.777,2.832,13.25,13.25
35,2050.0,18.0,0.0,50.442,2.832,13.1,13.75
36,2051.0,18.5,0.0,52.231,2.832,12.95,14.25
37,2052.0,19.0,0.0,54.105,2.832,12.8,14.75
38,2053.0,19.5,0.0,56.144,2.832,12.65,15.25
39,2054.0,20.0,0.0,58.325,2.832,12.5,15.75
40,2055.0,18.5,0.0,62.672,2.832,12.35,16.25
41,2056.0,17.0,0.0,67.172,2.832,11.95,16.5
42,2057.0,18.5,0.0,68.843,2.832,11.55,16.75
43,2058.0,20.0,0.0,70.621,2.832,11.15,17.0
44,2059.0,21.5,0.0,72.51,2.832,10.75,17.25
45,2060.0,23.0,0.0,74.513,2.832,10.35,17.5
46,2061.0,23.5,0.0,77.53,2.832,9.95,18.0
47,2062.0,24.0,0.0,80.668,2.832,9.55,18.5
48,2063.0,24.5,0.0,85.558,2.832,9.15,19.0
49,2064.0,25.0,0.0,88.782,2.832,8.75,19.5
50,2065.0,25.5,0.0,92.193,2.832,8.35,20.0
51,2066.0,26.0,0.0,95.387,2.832,7.7,21.25
52,2067.0,26.5,0.0,98.736,2.832,7.05,22.5
53,2068.0,27.0,0.0,102.311,2.832,6.4,23.75
54,2069.0,27.5,0.0,105.914,2.832,5.75,25.0
55,2070.0,28.0,0.0,109.578,2.832,5.1,26.25
