,y,Solar PV (utility),Solar PV (roof top),Solar PV with storage
1,2016.0,0.0591,0.0194,0.0
2,2017.0,0.0276,0.0258,0.0
3,2018.0,0.0276,0.0258,0.0
4,2019.0,0.0591,0.0258,0.0
5,2020.0,0.0562,0.0258,0.0
6,2021.0,0.0532,0.0258,0.0
7,2022.0,0.0503,0.0258,0.0
8,2023.0,0.0473,0.0258,0.0
9,2024.0,0.0443,0.0258,0.0
10,2025.0,0.0414,0.0258,0.0
11,2026.0,0.0179,0.0258,0.0
12,2027.0,0.0355,0.0258,0.0
13,2028.0,0.0325,0.0258,0.0
14,2029.0,3.257,0.0258,0.0
15,2030.0,6.4814,0.0258,0.0
16,2031.0,16.1607,0.0258,0.0
17,2032.0,25.1801,0.0258,0.0
18,2033.0,25.1772,0.0258,0.0
19,2034.0,25.1742,0.0258,0.0
20,2035.0,17.6707,0.0194,0.0
21,2036.0,15.8491,0.0065,0.0
22,2037.0,15.9288,0.0,0.0
23,2038.0,16.7966,0.0,0.0
24,2039.0,24.4005,0.0,0.0
25,2040.0,32.4464,0.0,0.0
26,2041.0,43.0635,0.0,0.0
27,2042.0,43.5059,0.0,0.0
28,2043.0,43.4616,3.7003,0.0
29,2044.0,43.5116,6.9245,0.0
30,2045.0,41.5491,9.6615,0.0
31,2046.0,40.1278,24.2142,0.0
32,2047.0,40.5069,41.7849,0.0
33,2048.0,38.7252,54.9479,0.0
34,2049.0,37.125,70.7567,0.0
35,2050.0,35.0214,90.1212,0.0
36,2051.0,34.4112,106.3491,0.0
37,2052.0,33.2936,124.8602,0.0
38,2053.0,32.5365,144.2247,0.0
39,2054.0,29.1323,163.5893,0.0
40,2055.0,25.7863,182.9538,3.1869
41,2056.0,19.6451,202.3183,7.6226
42,2057.0,14.3745,221.6828,12.4268
43,2058.0,14.7129,241.0473,17.231
44,2059.0,14.7129,260.4118,22.0352
45,2060.0,12.0465,279.7763,26.8394
46,2061.0,12.5217,299.1408,27.1204
47,2062.0,12.9687,318.5053,27.8477
48,2063.0,12.9059,334.1695,32.6519
49,2064.0,7.9063,350.3097,37.4561
50,2065.0,4.6631,366.9372,42.2603
51,2066.0,0.0,371.7491,47.0646
52,2067.0,1.632,373.5428,51.8688
53,2068.0,2.2212,379.7443,56.673
54,2069.0,2.1064,383.3,61.4772
55,2070.0,3.5884,383.3,66.2814
