,y,Coal,Oil,Gas,Hydro,Solar PV,Wind,Biomass,Geothermal,power_trade
1,2016.0,0.0,13.64,0.0,38.21,0.07,0.0,3.42,0.0,-3.51
2,2017.0,0.0,10.88,0.0,40.83,0.08,0.0,0.38,0.0,-0.35
3,2018.0,0.0,10.88,0.0,40.83,0.08,0.0,2.95,0.0,-3.01
4,2019.0,0.0,10.88,0.0,40.83,0.08,0.0,3.42,0.0,-3.65
5,2020.0,0.0,10.88,0.0,40.83,0.08,0.0,3.42,0.0,-3.78
6,2021.0,0.0,10.37,0.0,40.83,0.07,0.0,3.25,0.0,0.49
7,2022.0,0.0,9.83,0.0,40.83,0.07,0.0,3.08,0.0,5.13
8,2023.0,0.0,9.27,0.0,40.83,0.07,0.0,2.91,0.0,10.17
9,2024.0,0.0,8.73,0.0,51.62,0.07,0.0,2.74,0.0,4.74
10,2025.0,0.0,8.19,0.0,64.04,0.06,0.0,1.71,0.0,-1.09
11,2026.0,0.0,7.63,0.0,64.04,0.06,0.0,1.54,0.0,4.97
12,2027.0,0.0,7.08,0.0,64.04,0.18,0.0,1.37,0.0,11.18
13,2028.0,0.0,6.53,0.0,73.39,1.56,0.0,1.2,0.0,7.32
14,2029.0,0.0,6.88,0.0,73.39,4.51,0.0,1.03,0.0,10.64
15,2030.0,0.0,5.45,0.0,98.94,4.51,0.0,0.86,0.0,-5.91
16,2031.0,0.0,4.91,0.0,98.94,13.4,0.0,0.68,0.0,-3.85
17,2032.0,0.0,4.41,0.0,98.94,22.29,0.0,0.51,1.07,-2.18
18,2033.0,0.0,4.49,0.0,98.94,31.17,0.0,0.34,3.75,-1.86
19,2034.0,0.0,4.31,0.0,98.94,40.05,2.19,0.17,6.43,-2.58
20,2035.0,0.0,3.96,0.0,98.94,40.7,2.19,0.0,6.43,-2.36
21,2036.0,0.0,3.22,0.0,98.94,48.12,3.87,0.0,9.11,-1.9
22,2037.0,0.0,2.41,2.46,98.94,48.11,11.64,0.0,10.72,-0.59
23,2038.0,0.0,1.62,4.37,103.6,51.99,14.58,0.0,10.72,-0.22
24,2039.0,0.0,0.81,7.97,103.6,55.49,23.23,0.0,10.72,-1.25
25,2040.0,0.0,0.0,9.81,103.6,60.95,33.23,0.0,10.72,-3.11
26,2041.0,0.0,0.0,9.87,103.6,70.6,35.94,0.0,10.72,-3.3
27,2042.0,0.0,0.0,9.38,103.21,82.17,38.08,0.0,10.72,-3.32
28,2043.0,0.0,0.0,7.71,103.21,93.89,41.48,0.0,10.72,-3.19
29,2044.0,0.0,0.0,7.49,102.99,106.81,43.92,0.0,10.72,-3.64
30,2045.0,0.0,0.0,7.64,102.99,121.5,43.92,0.0,10.72,-3.19
31,2046.0,1.97,0.0,8.57,98.95,137.17,43.92,0.0,10.72,-1.43
32,2047.0,1.94,0.0,9.11,97.85,153.15,43.92,0.0,10.72,0.49
33,2048.0,9.63,0.0,9.09,96.18,171.64,43.92,0.0,10.72,-5.56
34,2049.0,9.63,0.0,10.03,96.72,185.44,43.92,0.0,10.72,-1.0
35,2050.0,9.63,0.0,10.1,94.84,206.23,43.92,0.0,10.72,0.53
36,2051.0,9.69,0.0,10.9,93.08,219.54,45.3,0.0,10.72,-0.11
37,2052.0,9.65,0.0,12.47,91.84,233.37,45.3,0.0,10.72,-0.57
38,2053.0,13.42,0.0,13.63,90.55,244.92,45.3,0.0,10.72,-1.65
39,2054.0,17.97,0.0,12.95,90.3,256.95,44.33,0.0,10.72,-1.65
40,2055.0,18.6,0.0,11.37,88.19,270.64,49.46,0.0,10.72,-2.2
41,2056.0,22.62,0.0,11.47,86.2,280.91,53.44,0.0,10.72,-2.8
42,2057.0,31.16,0.0,11.88,86.56,288.8,52.68,0.0,10.72,-2.46
43,2058.0,36.79,0.0,11.91,86.12,300.56,51.34,0.0,10.72,-1.3
44,2059.0,36.98,0.0,17.84,86.12,314.15,49.45,0.0,10.72,-1.49
45,2060.0,39.13,0.0,19.53,86.12,327.45,51.02,0.0,10.72,-1.48
46,2061.0,41.77,0.0,21.04,86.12,336.9,51.77,0.0,10.72,-2.1
47,2062.0,45.61,0.0,20.82,86.12,345.7,53.75,0.0,10.72,-2.19
48,2063.0,50.35,0.0,19.97,86.12,353.69,56.3,0.0,10.72,-1.86
49,2064.0,56.04,0.0,18.44,86.12,360.82,59.46,0.0,10.72,-1.06
50,2065.0,70.04,0.0,17.24,78.81,367.04,63.59,0.0,10.72,-1.14
51,2066.0,76.59,0.0,17.24,78.32,373.69,67.87,0.0,10.72,-1.95
52,2067.0,82.89,0.0,17.41,78.0,380.03,72.6,0.0,10.72,-2.55
53,2068.0,93.9,0.0,16.29,75.23,383.25,79.72,0.0,10.72,-2.65
54,2069.0,106.8,0.0,13.74,68.82,392.23,83.09,0.0,10.72,-1.72
55,2070.0,124.47,0.0,12.72,58.43,393.07,92.33,0.0,10.72,0.25
