,y,Solar PV (utility),Solar PV (roof top),Solar PV with storage
1,2016.0,0.0,0.0717,0.0
2,2017.0,0.0,0.0776,0.0
3,2018.0,0.0,0.0776,0.0
4,2019.0,0.0,0.0776,0.0
5,2020.0,0.0,0.0752,0.0
6,2021.0,0.0,0.0728,0.0
7,2022.0,0.0,0.0704,0.0
8,2023.0,0.0,0.068,0.0
9,2024.0,0.0,0.0656,0.0
10,2025.0,0.0,0.0632,0.0
11,2026.0,0.0,0.0608,0.0
12,2027.0,0.1215,0.0584,0.0
13,2028.0,1.4974,0.056,0.0
14,2029.0,4.4602,0.0536,0.0
15,2030.0,4.4602,0.0512,0.0
16,2031.0,13.3487,0.0488,0.0
17,2032.0,22.2371,0.0464,0.0
18,2033.0,31.1256,0.044,0.0
19,2034.0,40.014,0.0416,0.0
20,2035.0,40.6798,0.0215,0.0
21,2036.0,48.1088,0.0131,0.0
22,2037.0,48.1088,0.0048,0.0
23,2038.0,48.1088,3.8798,0.0
24,2039.0,46.8567,8.6275,0.0
25,2040.0,43.4314,17.5159,0.0
26,2041.0,41.707,24.3515,4.5396
27,2042.0,39.7592,33.3291,9.0792
28,2043.0,37.1552,43.1149,13.6189
29,2044.0,34.8857,53.759,18.1585
30,2045.0,33.486,65.3149,22.6981
31,2046.0,33.486,76.4425,27.2377
32,2047.0,33.486,87.8806,31.7773
33,2048.0,32.8765,102.4411,36.3169
34,2049.0,33.3379,111.2381,40.8566
35,2050.0,32.6453,128.1771,45.3962
36,2051.0,32.1155,137.4784,49.9358
37,2052.0,31.6054,147.2798,54.4754
38,2053.0,28.3066,157.5996,59.015
39,2054.0,25.2973,168.0999,63.5546
40,2055.0,23.0439,179.5136,68.0943
41,2056.0,16.7763,191.5041,72.6339
42,2057.0,12.2774,199.3526,77.1735
43,2058.0,5.5981,213.2521,81.7131
44,2059.0,1.6231,226.279,86.2527
45,2060.0,1.4896,235.1674,90.7923
46,2061.0,0.0,246.1088,90.7923
47,2062.0,0.0,254.908,90.7923
48,2063.0,0.0,262.8991,90.7923
49,2064.0,0.0,270.0319,90.7923
50,2065.0,0.0,276.253,90.7923
51,2066.0,0.0,282.9022,90.7923
52,2067.0,0.0,289.241,90.7923
53,2068.0,0.0,292.4575,90.7923
54,2069.0,0.0,301.4374,90.7923
55,2070.0,0.0,302.2752,90.7923
