,y,CO2
1,2016,1.5839
2,2017,2.134
3,2018,2.6842
4,2019,3.2344
5,2020,2.0383
6,2021,2.1388
7,2022,2.2404
8,2023,2.3664
9,2024,1.7195
10,2025,1.7873
11,2026,1.8574
12,2027,1.9411
13,2028,2.0358
14,2029,2.1396
15,2030,2.2564
16,2031,2.3962
17,2032,2.5445
18,2033,2.7051
19,2034,2.878
20,2035,3.0667
21,2036,2.4836
22,2037,2.5808
23,2038,2.6818
24,2039,2.7951
25,2040,2.9481
26,2041,3.092
27,2042,3.1925
28,2043,3.2371
29,2044,3.3187
30,2045,3.3941
31,2046,3.453
32,2047,3.4845
33,2048,3.5261
34,2049,3.6199
35,2050,3.7062
36,2051,3.7714
37,2052,3.8377
38,2053,3.9052
39,2054,3.9672
40,2055,4.0296
41,2056,4.0933
42,2057,4.1625
43,2058,4.2118
44,2059,4.2608
45,2060,4.3126
46,2061,4.3773
47,2062,4.4201
48,2063,4.46
49,2064,4.5004
50,2065,4.5441
51,2066,4.5899
52,2067,4.6362
53,2068,4.683
54,2069,4.7099
55,2070,4.7123
