,y,Oil,Gas,Hydro,Solar PV
1,2017.0,0.063,0.0,0.0,0.0
2,2018.0,0.112,0.0,0.0,0.0
3,2019.0,0.112,0.0,0.0,0.0
4,2020.0,0.0,0.254,0.0,0.0
5,2021.0,0.0,0.013,0.0,0.0
6,2022.0,0.0,0.021,0.0,0.0
7,2023.0,0.0,0.01,0.0,0.0
8,2024.0,0.0,0.0,0.41,0.0
9,2033.0,0.0,0.039,0.0,0.0
10,2034.0,0.0,0.048,0.0,0.0
11,2035.0,0.0,0.051,0.0,0.0
12,2036.0,0.0,0.0,0.57,0.0
13,2042.0,0.0,0.0,0.0,0.151
14,2043.0,0.0,0.0,0.0,0.319
15,2044.0,0.0,0.021,0.0,0.24
16,2045.0,0.0,0.015,0.0,0.286
17,2046.0,0.0,0.016,0.0,0.363
18,2047.0,0.0,0.004,0.0,0.478
19,2048.0,0.0,0.0,0.0,0.471
20,2049.0,0.0,0.023,0.0,0.342
21,2050.0,0.0,0.265,0.0,0.423
22,2051.0,0.0,0.007,0.0,0.262
23,2052.0,0.0,0.007,0.0,0.271
24,2053.0,0.0,0.007,0.0,0.281
25,2054.0,0.0,0.0,0.0,0.326
26,2055.0,0.0,0.0,0.0,0.337
27,2056.0,0.0,0.0,0.0,0.348
28,2057.0,0.0,0.005,0.0,0.336
29,2058.0,0.0,0.014,0.0,0.49
30,2059.0,0.0,0.02,0.0,0.512
31,2060.0,0.0,0.043,0.0,0.518
32,2061.0,0.0,0.016,0.0,0.265
33,2062.0,0.0,0.002,0.0,0.411
34,2063.0,0.0,0.0,0.0,0.441
35,2064.0,0.0,0.0,0.0,0.45
36,2065.0,0.0,0.001,0.0,0.452
37,2066.0,0.0,0.0,0.0,0.47
38,2067.0,0.0,0.0,0.0,0.632
39,2068.0,0.0,0.0,0.0,0.811
40,2069.0,0.0,0.0,0.0,0.947
41,2070.0,0.0,0.0,0.0,1.257
