r,e,y,AnnualEmissions
REGION,EGCO2,2015.0,211.269
REGION,EGCO2,2016.0,210.516
REGION,EGCO2,2017.0,208.1689
REGION,EGCO2,2018.0,205.1047
REGION,EGCO2,2019.0,206.1354
REGION,EGCO2,2020.0,206.429
REGION,EGCO2,2021.0,209.9241
REGION,EGCO2,2022.0,213.4348
REGION,EGCO2,2023.0,216.9451
REGION,EGCO2,2024.0,223.6419
REGION,EGCO2,2025.0,246.6439
REGION,EGCO2,2026.0,258.7458
REGION,EGCO2,2027.0,259.6766
REGION,EGCO2,2028.0,259.6194
REGION,EGCO2,2029.0,260.0574
REGION,EGCO2,2030.0,261.918
REGION,EGCO2,2031.0,266.1155
REGION,EGCO2,2032.0,270.4519
REGION,EGCO2,2033.0,275.0162
REGION,EGCO2,2034.0,281.6747
REGION,EGCO2,2035.0,291.0574
REGION,EGCO2,2036.0,300.3076
REGION,EGCO2,2037.0,309.5622
REGION,EGCO2,2038.0,319.0361
REGION,EGCO2,2039.0,327.8618
REGION,EGCO2,2040.0,324.6474
REGION,EGCO2,2041.0,302.8274
REGION,EGCO2,2042.0,310.4662
REGION,EGCO2,2043.0,317.6945
REGION,EGCO2,2044.0,323.9064
REGION,EGCO2,2045.0,330.1064
REGION,EGCO2,2046.0,334.407
REGION,EGCO2,2047.0,339.0727
REGION,EGCO2,2048.0,350.2252
REGION,EGCO2,2049.0,356.9402
REGION,EGCO2,2050.0,363.4462
REGION,EGCO2,2051.0,370.5753
REGION,EGCO2,2052.0,377.8866
REGION,EGCO2,2053.0,385.3855
REGION,EGCO2,2054.0,393.0777
REGION,EGCO2,2055.0,393.0067
REGION,EGCO2,2056.0,393.602
REGION,EGCO2,2057.0,406.2473
REGION,EGCO2,2058.0,419.1167
REGION,EGCO2,2059.0,432.217
REGION,EGCO2,2060.0,445.6151
REGION,EGCO2,2061.0,454.8035
REGION,EGCO2,2062.0,464.2397
REGION,EGCO2,2063.0,473.9594
REGION,EGCO2,2064.0,482.0063
REGION,EGCO2,2065.0,489.9972
REGION,EGCO2,2066.0,497.7349
REGION,EGCO2,2067.0,505.7689
REGION,EGCO2,2068.0,514.0871
REGION,EGCO2,2069.0,524.6827
REGION,EGCO2,2070.0,532.9251
REGION,EGREN,2015.0,0.0
REGION,EGREN,2016.0,0.0
REGION,EGREN,2017.0,0.0
REGION,EGREN,2018.0,0.0
REGION,EGREN,2019.0,0.0
REGION,EGREN,2020.0,0.0
REGION,EGREN,2021.0,195.0836
REGION,EGREN,2022.0,188.7791
REGION,EGREN,2023.0,182.5299
REGION,EGREN,2024.0,212.9559
REGION,EGREN,2025.0,297.5673
REGION,EGREN,2026.0,288.6984
REGION,EGREN,2027.0,286.2264
REGION,EGREN,2028.0,263.7644
REGION,EGREN,2029.0,247.022
REGION,EGREN,2030.0,210.0394
REGION,EGREN,2031.0,171.3966
REGION,EGREN,2032.0,133.3389
REGION,EGREN,2033.0,109.4385
REGION,EGREN,2034.0,94.6931
