r,t,e,y,AnnualTechnologyEmission
REGION,EGCO00E00X,EGCO2,2015.0,-0.271
REGION,EGCO00E00X,EGCO2,2016.0,-0.2171
REGION,EGCO00E00X,EGCO2,2017.0,-0.4299
REGION,EGCO00E00X,EGCO2,2018.0,-0.3601
REGION,EGCO00E00X,EGCO2,2019.0,-0.4027
REGION,EGCO00E00X,EGCO2,2020.0,-0.4027
REGION,EGCO00E00X,EGCO2,2021.0,-0.4027
REGION,EGCO00E00X,EGCO2,2022.0,-0.4027
REGION,EGCO00E00X,EGCO2,2023.0,-0.4027
REGION,EGCO00E00X,EGCO2,2024.0,-0.4027
REGION,EGCO00E00X,EGCO2,2025.0,-0.3123
REGION,EGCO00E00X,EGCO2,2026.0,-0.3123
REGION,EGCO00I00X,EGCO2,2026.0,30.258
REGION,EGCO00I00X,EGCO2,2027.0,38.2423
REGION,EGCO00I00X,EGCO2,2028.0,38.2622
REGION,EGCO00I00X,EGCO2,2029.0,38.2824
REGION,EGCO00I00X,EGCO2,2030.0,38.303
REGION,EGCO00I00X,EGCO2,2031.0,38.3432
REGION,EGCO00I00X,EGCO2,2032.0,38.3847
REGION,EGCO00I00X,EGCO2,2033.0,38.4276
REGION,EGCO00I00X,EGCO2,2034.0,38.4719
REGION,EGCO00I00X,EGCO2,2035.0,44.6998
REGION,EGCO00I00X,EGCO2,2036.0,50.9293
REGION,EGCO00I00X,EGCO2,2037.0,57.1603
REGION,EGCO00I00X,EGCO2,2038.0,63.393
REGION,EGCO00I00X,EGCO2,2039.0,69.6273
REGION,EGCO00I00X,EGCO2,2040.0,75.8634
REGION,EGCO00I00X,EGCO2,2041.0,85.2203
REGION,EGCO00I00X,EGCO2,2042.0,88.3993
REGION,EGCO00I00X,EGCO2,2043.0,91.5826
REGION,EGCO00I00X,EGCO2,2044.0,94.7706
REGION,EGCO00I00X,EGCO2,2045.0,97.9633
REGION,EGCO00I00X,EGCO2,2046.0,98.0701
REGION,EGCO00I00X,EGCO2,2047.0,98.1822
REGION,EGCO00I00X,EGCO2,2048.0,107.5732
REGION,EGCO00I00X,EGCO2,2049.0,110.7878
REGION,EGCO00I00X,EGCO2,2050.0,114.0086
REGION,EGCO00I00X,EGCO2,2051.0,117.2359
REGION,EGCO00I00X,EGCO2,2052.0,120.47
REGION,EGCO00I00X,EGCO2,2053.0,123.7113
REGION,EGCO00I00X,EGCO2,2054.0,126.96
REGION,EGCO00I00X,EGCO2,2055.0,117.8522
REGION,EGCO00I00X,EGCO2,2056.0,108.7528
REGION,EGCO00I00X,EGCO2,2057.0,118.2084
REGION,EGCO00I00X,EGCO2,2058.0,127.6732
REGION,EGCO00I00X,EGCO2,2059.0,137.1476
REGION,EGCO00I00X,EGCO2,2060.0,146.6319
REGION,EGCO00I00X,EGCO2,2061.0,149.9447
REGION,EGCO00I00X,EGCO2,2062.0,153.2685
REGION,EGCO00I00X,EGCO2,2063.0,156.6039
REGION,EGCO00I00X,EGCO2,2064.0,159.9515
REGION,EGCO00I00X,EGCO2,2065.0,163.3119
REGION,EGCO00I00X,EGCO2,2066.0,166.6858
REGION,EGCO00I00X,EGCO2,2067.0,170.0738
REGION,EGCO00I00X,EGCO2,2068.0,173.4766
