r,t,y,v
REGION,ETSOFPVBR3,2057, 1.1924931335728526e-02
REGION,ETSOFPVBR3,2058, 6.3307506866427155e-01
REGION,ETSOFPVT23,2049, 3.6636533790751458e-01
REGION,ETSOFPVT23,2054, 1.3634662092485428e-02
REGION,SDSOFPVDG3,2033, 2.8453650930178259e-01
REGION,SDSOFPVDG3,2034, 0.0274634906982216
REGION,SDSOFPVDG3,2058, 2.8453650930179852e-01
REGION,SDSOFPVDG3,2059, 2.7463490698201476e-02
REGION,SDSOFPVDL3,2032, 1.6945315678137970e-01
REGION,SDSOFPVDL3,2033, 0.3
REGION,SDSOFPVDL3,2034, 1.7854684321862035e-01
REGION,SDSOFPVDL3,2057, 1.6945315678141065e-01
REGION,SDSOFPVDL3,2058, 3.0000000000000387e-01
REGION,SDSOFPVDL3,2059, 1.7854684321858549e-01
REGION,SDSOFPVKB3,2027, 1.4558068967675126e-02
REGION,SDSOFPVKB3,2028, 4.5441931032328166e-02
REGION,SDSOFPVKB3,2029, 0.3
REGION,SDSOFPVKB3,2054, 0.36
REGION,SDSOFPVMG3,2040, 0.30000000000003
REGION,SDSOFPVMG3,2053, 1.1999999999986629e-02
REGION,SDSOFPVMG3,2065, 3.0000000000001337e-01
REGION,SDSOFPVSB3,2034, 8.5246308738224710e-02
REGION,SDSOFPVSB3,2036, 1.1975369126177528e-01
REGION,SDSOFPVSB3,2059, 8.5246308738224710e-02
REGION,SDSOFPVSB3,2061, 1.1975369126177528e-01
REGION,SDSOFPVSH3,2033, 1.2000000000000675e-01
REGION,SDSOFPVSH3,2034, 0.3
REGION,SDSOFPVSH3,2058, 1.2000000000002448e-01
REGION,SDSOFPVSH3,2059, 2.9999999999997551e-01
