,y,Coal power plant - OTF/OTS cooling (new),Oil fired gas turbine (SCGT) - Air cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (old),Oil fired gas turbine (SCGT) - OTF/OTS cooling (old),Light Fuel Oil power plant - OTF/OTS cooling (new),Light Fuel Oil power plant - OTF/OTS cooling (old),Natural gas power plant (combined cycle) - Air cooling (new),Natural gas power plant (combined cycle) - Air cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (combined cycle) - MDT cooling (old),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (old),Natural gas power plant (single cycle) - MDT cooling (old),Natural gas power plant (single cycle) - OTF/OTS cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (old)
0,2015.0,0.0,0.0,3.3799,10.5131,1.6799,188.40279999999998,0.0,55.2015,16.0077,55.699,0.0,20.028499999999998,69.12950000000001,2770.1472,12.2581,0.0,2362.5081999999998
1,2016.0,0.0,0.0,0.676,0.0,0.8725,188.40279999999998,0.0,55.2015,16.0077,55.699,0.0,20.028499999999998,203.4933,2770.1472,12.2581,0.0,2362.5081999999998
2,2017.0,0.0,0.0,0.676,0.0,0.8725,188.40279999999998,0.0,55.2015,16.0077,55.699,0.0,20.028499999999998,300.4307,2770.1472,12.2581,0.0,2362.5081999999998
3,2018.0,0.0,0.0,0.676,0.0,0.8725,188.40279999999998,0.0,55.2015,16.0077,55.699,35.166199999999996,20.028499999999998,0.0,2770.1472,12.2581,0.0,2362.5081999999998
4,2019.0,0.0,0.0,0.676,0.0,0.8725,188.40279999999998,0.0,55.2015,16.0077,55.699,44.913999999999994,20.028499999999998,0.0,2770.1472,12.2581,0.0,2362.5081999999998
5,2020.0,0.0,0.0,0.676,0.0,0.8725,188.40279999999998,0.0,55.2015,13.753400000000001,55.699,305.33209999999997,20.028499999999998,244.6799,2770.1472,12.2581,0.0,2362.5081999999998
6,2021.0,0.0,0.0,0.6422,0.0,0.8288,178.9827,0.0,52.441399999999994,0.0,10.5828,408.7926,3.8053999999999997,1130.0157,526.328,11.6452,0.0,2244.3828000000003
7,2022.0,0.0,0.0,0.6084,0.0,0.7851999999999999,169.5626,0.0,49.6814,0.0,10.0258,1044.6258,3.6050999999999997,1066.4850999999999,498.6265,11.0322,0.0,2126.2574
8,2023.0,0.0,0.0,0.5746,0.0,0.7417,160.1424,0.0,46.9213,0.0,9.4688,1440.4764,3.4048000000000003,1308.5054,470.925,10.4193,0.0,2008.132
9,2024.0,0.0,0.0,0.5408,0.0,0.698,150.7223,0.0,44.161199999999994,0.0,8.9118,1728.3854000000001,3.2045,1397.8668,443.2235,9.8065,0.0,1890.0065
10,2025.0,2350.2378,0.0,0.507,0.0,0.6544,141.3022,0.0,41.40110000000001,0.0,8.3549,1286.3749,3.0043,1308.5054,415.52209999999997,9.1935,0.0,1771.8811
11,2026.0,4700.4755,0.0,0.4732,0.0,0.6108,131.8819,0.0,38.641,13.9817,7.7979,1069.2679,2.804,1063.8255,387.8206,8.5806,0.0,1653.7557
12,2027.0,4700.4755,0.0,0.4394,0.0,0.5670999999999999,122.4618,0.0,35.881,22.7962,7.2409,891.3693,2.6037000000000003,1397.8668,360.1191,7.9677999999999995,0.0,1535.6303
13,2028.0,4700.4755,0.0,0.4056,0.0,0.5235,113.04169999999999,0.0,33.120900000000006,0.0,6.6839,1053.9189,2.4034,1397.8668,332.4177,7.3549,0.0,1417.505
14,2029.0,4700.4755,0.0,0.3718,0.0,0.4799,103.6215,0.0,30.360799999999998,0.0,6.1269,1243.1366,2.2032000000000003,1397.8668,304.7161,6.7419,0.0,1299.3796
15,2030.0,4700.4755,0.0,0.338,0.0,0.43620000000000003,94.20139999999999,0.0,27.6007,0.0,5.5699,1290.9005,2.0028,1397.8668,277.0147,6.1290000000000004,0.0,1181.2542
16,2031.0,4700.4755,0.0,0.3042,0.0,0.39259999999999995,84.7813,0.0,24.8407,0.0,5.0129,1760.2797,1.8025,1397.8668,249.3133,5.5161999999999995,0.0,1063.1287
17,2032.0,4700.4755,0.0,0.2704,0.0,0.34900000000000003,75.3611,0.0,22.080599999999997,55.2166,4.4559,2130.0827,1.6023,1397.8668,221.6117,4.9032,0.0,945.0033000000001
18,2033.0,4700.4755,0.0,0.2366,0.0,0.3053,65.941,0.0,19.320600000000002,133.1302,19.4947,2130.0827,7.01,1397.8668,350.05260000000004,4.2903,0.0,826.8779
19,2034.0,4700.4755,157.8633,0.3183,164.97899999999998,0.41079999999999994,56.5209,0.0,16.5604,133.1302,16.7097,2130.0827,6.008500000000001,1397.8668,713.5989,3.6774,0.0,708.7525
20,2035.0,4700.4755,247.91920000000002,0.2653,247.91920000000002,0.3424,73.93090000000001,0.0,13.8004,229.05210000000002,13.9248,2168.9282000000003,5.007099999999999,1397.8668,692.5368,3.0645,205.9639,590.6271
21,2036.0,5483.8881,247.91920000000002,0.2122,247.91920000000002,0.2739,59.1447,0.0,11.040299999999998,229.05210000000002,11.1398,2168.9282000000003,4.0057,1614.5513,554.0294,2.4516,408.3481,472.5017
22,2037.0,6267.3006,247.91920000000002,0.1592,247.91920000000002,0.20550000000000002,44.358599999999996,0.0,8.2803,430.4896,8.3549,2168.9282000000003,3.0043,1624.4737,415.52209999999997,1.8387,623.3644,354.3762
23,2038.0,7050.7132,247.91920000000002,0.1061,247.91920000000002,0.1369,29.572300000000002,0.0,5.520099999999999,639.8802000000001,5.5699,2168.9282000000003,2.0028,1624.4737,277.0147,1.2258,812.9563,236.2508
24,2039.0,7834.1259,217.9027,0.0531,247.91920000000002,0.0685,9.839500000000001,0.0,2.7601,679.6753,0.8743,2363.7246,0.31429999999999997,1846.3572,43.4812,0.6129,558.0136,118.1254
25,2040.0,8617.5384,164.97899999999998,0.0,0.0,0.0,0.0,54.0181,0.0,1083.6474,0.0,2029.748,0.0,2068.2409000000002,0.0,0.0,493.77869999999996,0.0
26,2041.0,9792.6573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.6689,0.0,2562.6634999999997,0.0,2282.3715,0.0,0.0,323.0063,0.0
27,2042.0,10967.7762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1083.3753000000002,0.0,1902.3941,0.0,2282.3715,0.0,0.0,354.9822,0.0
28,2043.0,11359.4824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1255.7244,0.0,1922.8885,0.0,2362.9137,0.0,0.0,259.2031,0.0
29,2044.0,11751.1887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,944.7668,0.0,2259.0489000000002,0.0,2536.598,0.0,0.0,262.26099999999997,0.0
