,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Wind,Biomass,Geothermal,Backstop,power_trade,gas_trade
0,2015.0,0.0,2.92,30.798,5.675,0.0,0.0,0.01,0.791,0.832,0.0,0.0,0.0,0.0
1,2016.0,0.0,4.442,31.948,5.675,0.0,0.0,0.04,0.991,1.082,0.0,0.0,0.0,0.0
2,2017.0,0.0,4.442,33.028,5.675,0.0,0.0,0.04,0.991,1.082,0.0,0.0,0.0,0.0
3,2018.0,0.0,4.442,49.378,5.707,0.0,0.0,0.09,1.331,1.082,0.0,0.0,0.0,0.0
4,2019.0,0.0,4.442,49.378,5.707,0.0,0.0,0.09,1.331,1.082,0.0,0.0,0.0,0.0
5,2020.0,0.0,4.442,49.378,5.707,0.0,0.0,0.19,1.331,1.082,0.0,0.0,0.0,0.0
6,2021.0,0.0,4.364,47.979,5.707,0.0,0.8,0.64,1.553,1.14,0.0,0.0,0.0,0.0
7,2022.0,0.0,4.285,46.578,5.707,0.0,1.2,0.99,2.026,1.199,0.0,0.0,0.0,0.0
8,2023.0,0.0,4.206,45.179,6.457,0.0,1.2,1.34,2.248,1.157,0.0,0.0,0.0,0.0
9,2024.0,0.0,4.128,43.778,6.457,0.0,1.2,1.69,2.471,1.116,0.0,0.0,0.0,0.0
10,2025.0,3.0,4.049,42.379,6.457,0.0,1.2,2.04,2.693,0.866,0.0,0.0,0.0,0.0
11,2026.0,6.0,3.972,40.98,6.457,0.0,1.2,2.222,2.916,0.824,0.0,0.0,0.0,0.0
12,2027.0,6.0,3.893,39.578,6.457,0.0,1.2,2.351,3.138,0.783,0.0,0.0,0.0,0.0
13,2028.0,6.0,3.814,38.178,6.457,0.0,1.2,2.401,3.361,0.741,0.0,0.0,0.0,0.0
14,2029.0,6.0,3.736,36.778,6.457,0.0,1.2,2.579,3.583,0.7,0.0,0.0,0.0,0.0
15,2030.0,6.0,3.656,35.378,6.457,0.0,1.2,2.579,3.806,0.658,0.0,0.0,0.0,0.0
16,2031.0,6.0,3.578,33.978,6.457,0.0,1.2,3.166,4.278,0.616,0.0,0.0,0.0,0.0
17,2032.0,6.0,3.5,32.578,6.603,0.0,1.2,3.803,4.75,0.575,0.0,0.0,0.0,0.0
18,2033.0,6.0,3.421,31.179,6.707,0.0,1.2,4.403,5.223,0.533,0.0,0.0,0.0,0.0
19,2034.0,6.0,3.343,29.779,7.457,0.0,1.2,5.003,5.695,0.492,0.0,0.0,0.0,0.0
20,2035.0,6.186,3.264,28.882,7.457,0.0,1.2,5.603,6.168,0.45,0.0,0.0,0.0,0.0
21,2036.0,7.186,3.185,28.158,7.457,0.0,1.2,6.203,6.64,0.45,0.0,0.0,0.0,0.0
22,2037.0,8.186,3.107,27.411,7.457,0.0,1.2,6.803,7.113,0.45,0.0,0.0,0.0,0.0
23,2038.0,9.186,3.029,27.434,7.457,0.0,1.2,7.403,7.585,0.45,0.0,0.0,0.0,0.0
24,2039.0,10.186,2.951,29.033,7.457,0.0,1.2,8.003,8.058,0.45,0.0,0.0,0.0,0.0
25,2040.0,11.186,1.522,29.35,7.457,0.0,1.2,8.593,8.29,0.45,0.0,0.0,0.0,0.0
26,2041.0,12.686,0.0,30.753,8.207,0.0,1.2,9.413,8.84,0.45,0.0,0.0,0.0,0.0
27,2042.0,14.0,0.0,31.331,8.207,0.0,1.2,10.263,9.59,0.45,0.0,0.0,0.0,0.0
28,2043.0,14.5,0.0,32.708,8.207,0.0,1.2,11.063,10.0,0.45,0.0,0.0,0.0,0.0
29,2044.0,15.0,0.0,34.051,8.207,0.0,1.2,11.913,10.75,0.45,0.0,0.0,0.0,0.0
30,2045.0,15.5,0.0,35.408,8.207,0.0,1.2,12.663,11.5,0.45,0.0,0.0,0.0,0.0
31,2046.0,15.5,0.0,39.16,8.207,0.0,0.4,13.263,12.0,0.45,0.0,0.0,0.0,0.0
32,2047.0,15.5,0.0,44.41,8.207,0.0,0.0,13.863,12.25,0.45,0.0,0.0,0.0,0.0
33,2048.0,17.0,0.0,36.01,8.207,0.0,0.0,14.463,12.75,0.45,0.0,0.0,0.0,0.0
34,2049.0,17.5,0.0,40.51,8.207,0.0,0.0,15.063,13.25,0.45,0.0,0.0,0.0,0.0
35,2050.0,18.0,0.0,42.381,8.207,0.0,0.0,15.663,13.75,0.45,0.0,0.0,0.0,0.0
36,2051.0,18.5,0.0,44.173,8.207,0.0,0.0,16.431,14.25,0.45,0.0,0.0,0.0,0.0
37,2052.0,19.0,0.0,45.831,8.207,0.0,0.0,17.253,14.75,0.45,0.0,0.0,0.0,0.0
38,2053.0,19.5,0.0,47.659,8.207,0.0,0.0,18.103,15.25,0.45,0.0,0.0,0.0,0.0
39,2054.0,20.0,0.0,49.709,8.207,0.0,0.0,18.924,15.75,0.45,0.0,0.0,0.0,0.0
40,2055.0,18.5,0.0,53.391,8.207,0.0,0.0,19.774,16.25,0.45,0.0,0.0,0.0,0.0
41,2056.0,17.0,0.0,57.868,8.207,0.0,0.0,20.2,16.5,0.2,0.0,0.0,0.0,0.0
42,2057.0,18.5,0.0,58.869,8.207,0.0,0.0,20.55,16.75,0.2,0.0,0.0,0.0,0.0
43,2058.0,20.0,0.0,60.04,8.207,0.0,0.0,20.9,17.0,0.2,0.0,0.0,0.0,0.0
44,2059.0,21.5,0.0,61.357,8.207,0.0,0.0,21.25,17.802,0.2,0.0,0.0,0.0,0.0
45,2060.0,23.0,0.0,63.097,8.207,0.0,0.169,21.6,18.802,0.2,0.0,0.0,0.0,0.0
46,2061.0,23.5,0.0,65.544,8.207,0.0,0.793,22.2,19.302,0.1,0.0,0.0,0.0,0.0
47,2062.0,24.0,0.0,68.089,8.207,0.0,1.46,22.8,19.802,0.0,0.0,0.0,0.0,0.0
