,y,CO2
0,2015,10.436
1,2016,11.1507
2,2017,12.5343
3,2018,14.1658
4,2019,15.3016
5,2020,16.6852
6,2021,17.4887
7,2022,18.3805
8,2023,19.3808
9,2024,20.5155
10,2025,22.3438
11,2026,23.8591
12,2027,25.6383
13,2028,27.8348
14,2029,30.5008
15,2030,33.6619
16,2031,34.8458
17,2032,36.3096
18,2033,38.0486
19,2034,39.4735
20,2035,41.3941
21,2036,42.9161
22,2037,44.3265
23,2038,45.7425
24,2039,47.1754
25,2040,49.086
26,2041,49.463
27,2042,50.185
28,2043,50.8269
29,2044,51.6116
30,2045,52.2567
31,2046,52.993
32,2047,53.6498
33,2048,54.4766
34,2049,55.3122
35,2050,56.4023
36,2051,57.052
37,2052,57.7117
38,2053,58.0859
39,2054,59.1762
40,2055,60.0857
41,2056,60.9759
42,2057,61.771
43,2058,62.7963
44,2059,64.4485
45,2060,66.5193
46,2061,68.2154
47,2062,68.4339
48,2063,68.6395
49,2064,68.9884
50,2065,69.6513
51,2066,70.6825
52,2067,71.3923
53,2068,72.1438
54,2069,72.9166
55,2070,74.4283
