,y,Small hydropower plant,Medium hydropower plant (Run-of river),Renaissance,Tis Abay 2,Tis Abay 1,Upper Mandaya
0,2015.0,0.0058,0.3621,26.9061,0.6065,0.3296,0.0
1,2016.0,0.0058,0.3621,28.37,0.6065,0.3296,0.0
2,2017.0,0.0058,0.3621,34.8309,0.6065,0.3296,0.0
3,2018.0,0.0103,0.6396,39.8336,1.0715,0.3296,0.0
4,2019.0,0.0022,0.1358,4.5898,0.2274,0.1301,0.0
5,2020.0,0.0022,0.1358,6.5894,0.2274,0.1301,0.0
6,2021.0,0.0022,0.1358,6.6579,0.6899,0.1301,0.0
7,2022.0,0.0022,0.1358,7.8987,0.9224,0.1847,0.0
8,2023.0,0.0022,0.1358,9.1454,0.2274,0.1847,0.0
9,2024.0,0.0022,0.1358,9.1872,0.3454,0.1847,0.0
10,2025.0,0.0022,0.1358,10.0376,0.4554,0.1847,0.0
11,2026.0,0.0022,0.2116,14.5004,0.9982,0.3296,0.0
12,2027.0,0.0022,0.2009,21.7516,0.6065,0.3296,0.0
13,2028.0,0.0081,0.54,27.0657,1.0715,0.3296,0.0
14,2029.0,0.0103,0.6396,31.6704,1.0715,0.3296,0.0
15,2030.0,0.0103,0.6396,36.5809,1.0715,0.3296,0.0
16,2031.0,0.0103,0.6396,40.7628,1.0715,0.3296,0.0
17,2032.0,0.0103,0.6396,43.6097,1.0715,0.3296,0.0
18,2033.0,0.0103,0.6396,46.1762,1.0715,0.3296,0.0
19,2034.0,0.0103,0.6396,46.6833,1.8777,0.2928,0.0
20,2035.0,0.0178,1.2067,47.4133,2.3368,0.2604,0.0
21,2036.0,0.02,1.2395,47.6772,2.3368,0.2928,0.0
22,2037.0,0.0178,1.2395,47.2203,2.3368,0.2604,0.0
23,2038.0,0.0178,1.1022,46.3469,2.3368,0.2604,0.0
24,2039.0,0.0178,1.1022,46.5103,2.3368,0.2604,0.0
25,2040.0,0.02,1.2395,47.1701,2.3368,0.2928,0.0
26,2041.0,0.0178,1.1022,46.2114,2.3368,0.2604,0.0
27,2042.0,0.0178,1.1022,45.4878,2.3368,0.2604,0.0
28,2043.0,0.0178,1.1022,45.6709,2.3368,0.2604,0.0
29,2044.0,0.0178,1.1022,45.0586,2.3368,0.2604,0.0
30,2045.0,0.0178,1.1022,44.5203,2.2298,0.2928,0.0
31,2046.0,0.0178,1.1022,45.479,2.2508,0.2928,0.0
32,2047.0,0.0141,0.876,43.4271,1.8508,0.2394,0.0
33,2048.0,0.0141,0.876,43.114,1.8508,0.2394,0.0
34,2049.0,0.0141,0.876,41.6703,1.6974,0.2394,0.0
35,2050.0,0.012,0.7402,40.8173,1.6974,0.2394,0.0
36,2051.0,0.012,0.7402,37.4881,1.6974,0.261,0.0
37,2052.0,0.0082,0.8508,35.3357,2.0807,0.2069,1.5074
38,2053.0,0.0082,0.6447,33.5769,2.0765,0.2928,1.5074
39,2054.0,0.0082,0.6447,31.4277,2.0765,0.2928,1.5074
40,2055.0,0.0082,0.5089,29.8112,2.0723,0.2922,1.5074
41,2056.0,0.0082,0.5089,28.4975,2.0723,0.2922,1.5074
42,2057.0,0.0082,0.5089,28.4115,2.0723,0.2922,1.5074
43,2058.0,0.012,0.5089,31.2668,2.0723,0.2922,1.5074
44,2059.0,0.0082,0.9221,38.1059,2.2298,0.3145,1.5656
45,2060.0,0.012,0.969,48.1548,2.0024,0.3145,2.1418
46,2061.0,0.0164,0.969,41.48,2.0024,0.3145,4.3492
47,2062.0,0.0178,0.8775,47.2666,2.0024,0.3145,4.3492
48,2063.0,0.012,0.9483,46.6984,2.2298,0.3145,4.9046
49,2064.0,0.0157,0.7402,46.6279,2.2298,0.2824,4.9046
50,2065.0,0.0157,0.7402,46.3461,2.2298,0.3145,4.9046
51,2066.0,0.0193,0.7402,46.2652,2.2298,0.3145,4.3492
52,2067.0,0.012,0.969,46.8817,2.2298,0.3145,3.1793
53,2068.0,0.0142,0.969,51.0414,2.2298,0.3145,3.6674
54,2069.0,0.0157,0.7402,38.1059,2.2298,0.3145,3.6674
55,2070.0,0.012,0.969,45.921,2.2298,0.3145,3.6674
