,y,Beko Abo FPV,Chemoga Yeda FPV,Karadobi FPV,Lake Tana FPV,Renaissance FPV,Upper Mandaya FPV,Solar PV (utility),Solar PV (roof top),Solar PV with storage
0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0591,0.0065,0.0
1,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0591,0.0194,0.0
2,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0591,0.0258,0.0
3,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0591,0.0258,0.0
4,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0276,0.0258,0.0
5,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0468,0.0258,0.0
6,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0248,0.0258,0.0
7,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0367,0.0258,0.0
8,2023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0258,0.0
9,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0262,0.0258,0.0
10,2025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0245,0.0258,0.0
11,2026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0384,0.0258,0.0
12,2027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0355,0.0258,0.0
13,2028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0325,0.0258,0.0
14,2029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0296,0.0258,0.0
15,2030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0266,0.0258,0.0
16,2031.0,0.0,0.0,3.3496,0.0,0.0,0.0,0.0237,0.0258,0.0
17,2032.0,0.0,0.0,4.6479,6.0748,0.0,0.0,0.0207,0.0258,0.0
18,2033.0,2.5396,0.0,4.6479,6.0748,3.7378,0.0,0.0177,0.0258,0.0
19,2034.0,2.5396,0.0,4.6479,6.0748,8.4276,0.0,0.0148,0.0258,0.0
20,2035.0,2.5396,0.0,4.6479,6.0748,14.1708,0.0,0.0118,1.0508,0.0
21,2036.0,2.5396,0.7582,4.6479,6.0748,17.0388,1.183,0.0089,3.2299,0.0
22,2037.0,2.5396,0.7582,4.6479,6.0748,17.0388,1.183,0.0059,12.9057,0.0
23,2038.0,2.5396,0.7582,4.6479,6.0748,17.0388,4.4467,0.003,22.588,0.0
24,2039.0,2.5396,0.7582,4.6479,6.0748,17.0388,4.4467,0.0,32.2702,0.0
25,2040.0,2.5396,0.7582,4.6479,6.0748,17.0388,4.4467,0.0,41.9525,0.0
26,2041.0,2.5396,0.7582,4.6479,6.0748,17.0388,4.4467,0.0,54.3184,0.0
27,2042.0,2.5396,0.7582,4.6479,6.0748,17.0388,4.4467,0.0,66.2107,0.0
