,y,Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - Air cooling (new),Ethiopia - Djibouti EL existing trade link,Ethiopia - Kenya EL planned trade link,Ethiopia - Sudan EL existing trade link,Geothermal power plant - MDT cooling (new),Geothermal power plant - MDT cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Small hydropower plant,Medium hydropower plant (Run-of river),Renaissance,Tis Abay 2,Tis Abay 1,Upper Mandaya,Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - Air cooling (new),Beko Abo FPV,Chemoga Yeda FPV,Karadobi FPV,Lake Tana FPV,Renaissance FPV,Upper Mandaya FPV,Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore)
0,2015.0,0.7476,0.0,5.3927,0.0,-3.037,0.0,0.2144,0.0,0.0058,0.3621,26.9061,0.6065,0.3296,0.0,0.918,0.783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0591,0.0065,0.0,3.3286
1,2016.0,0.7476,0.0,5.3927,0.0,-3.037,0.0,0.2144,0.0,0.0058,0.3621,28.37,0.6065,0.3296,0.0,1.264,0.9361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0591,0.0194,0.0,3.3286
2,2017.0,0.7476,0.0,5.3927,0.0,-3.037,0.0,0.2144,0.0,0.0058,0.3621,34.8309,0.6065,0.3296,0.0,2.9938,0.9361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0591,0.0258,0.0,3.3286
3,2018.0,0.7476,0.0,5.3927,0.0,-2.3933,0.0,0.2144,0.0,0.0103,0.6396,39.8336,1.0715,0.3296,0.0,4.7256,0.9361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0591,0.0258,0.0,3.3286
4,2019.0,0.0,0.0,5.3927,57.6715,-5.8969,0.0,0.2144,0.0,0.0022,0.1358,4.5898,0.2274,0.1301,0.0,0.0,0.6834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0276,0.0258,0.0,1.2904
5,2020.0,0.0,0.0,5.2465,59.9184,-5.2712,3.2167,0.2144,0.0,0.0022,0.1358,6.5894,0.2274,0.1301,0.0,0.0,0.6834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0468,0.0258,0.0,1.7173
6,2021.0,0.2663,0.0,5.2151,59.9184,-5.3539,7.7736,0.2144,0.0,0.0022,0.1358,6.6579,0.6899,0.1301,0.0,0.0,0.6492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0248,0.0258,0.0,1.6705
7,2022.0,0.2523,0.0,5.3927,59.9184,-4.9425,10.4542,0.2144,0.0,0.0022,0.1358,7.8987,0.9224,0.1847,0.0,0.0,0.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0367,0.0258,0.0,2.4052
8,2023.0,0.2383,0.0,5.3927,59.9184,-4.8838,15.8153,0.2144,0.0,0.0022,0.1358,9.1454,0.2274,0.1847,0.0,0.0,0.5809,0.0,0.1478,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0258,0.0,2.2208
9,2024.0,0.2243,0.0,5.2491,59.9184,-4.8838,22.5167,0.2144,0.0,0.0022,0.1358,9.1872,0.3454,0.1847,0.0,0.0,0.5467,0.0,0.2763,0.0,0.0,0.0,0.0,0.0,0.0,0.0262,0.0258,0.0,1.7097
10,2025.0,0.1402,0.0,5.3002,59.9184,-4.8838,27.8778,0.2144,0.0,0.0022,0.1358,10.0376,0.4554,0.1847,0.0,0.0,0.5125,0.0,0.6476,0.0,0.0,0.0,0.0,0.0,0.0,0.0245,0.0258,0.0,1.8045
11,2026.0,0.1262,0.0,5.3927,59.9184,-4.8838,27.8778,0.2037,0.0,0.0022,0.2116,14.5004,0.9982,0.3296,0.0,0.0,0.4784,0.0,1.4895,0.0,0.0,0.0,0.0,0.0,0.0,0.0384,0.0258,0.0,2.798
12,2027.0,0.1121,0.0,5.3927,59.9184,-4.8838,27.8778,0.193,0.0,0.0022,0.2009,21.7516,0.6065,0.3296,0.0,0.0,0.4442,0.0,2.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0355,0.0258,0.0,2.7096
13,2028.0,0.3619,0.0,5.3927,59.9184,-4.0131,27.8778,0.1823,0.0017,0.0081,0.54,27.0657,1.0715,0.3296,0.0,0.0,0.41,0.7417,2.5987,0.0,0.0,0.0,0.0,0.0,0.0,0.0325,0.0258,0.0,2.6212
14,2029.0,0.3962,0.0,5.3927,59.9184,-4.8838,27.8778,0.1716,0.0017,0.0103,0.6396,31.6704,1.0715,0.3296,0.0,0.0,0.3759,5.7104,2.5987,0.0,0.0,0.0,0.0,0.0,0.0,0.0296,0.0258,0.0,2.5327
15,2030.0,0.3302,0.0,5.3927,59.9184,-0.7715999999999998,27.8778,0.1608,0.0002,0.0103,0.6396,36.5809,1.0715,0.3296,0.0,0.0,0.3417,6.0202,2.5987,0.0,0.0,0.0,0.0,0.0,0.0,0.0266,0.0258,0.0,2.4443
16,2031.0,0.2641,0.0,5.3927,59.9184,-0.7715999999999998,27.8778,0.1501,0.0002,0.0103,0.6396,40.7628,1.0715,0.3296,0.0,0.0,0.3075,9.2213,2.5987,0.0,0.0,3.3496,0.0,0.0,0.0,0.0237,0.0258,0.0,2.3559
