,y,Small hydropower plant,Medium hydropower plant (Run-of river),Renaissance,Tis Abay 2,Tis Abay 1,Upper Mandaya
0,2015.0,0.003008,0.09312,6.4,0.078,0.011,0.0
1,2016.0,0.003008,0.09312,6.4,0.078,0.011,0.0
2,2017.0,0.003008,0.09312,6.4,0.078,0.011,0.0
3,2018.0,0.003008,0.09312,6.4,0.078,0.011,0.0
4,2019.0,0.003008,0.09312,6.4,0.078,0.011,0.0
5,2020.0,0.003008,0.09312,6.4,0.078,0.011,0.0
6,2021.0,0.003008,0.09312,6.4,0.078,0.011,0.0
7,2022.0,0.003008,0.09312,6.4,0.078,0.011,0.0
8,2023.0,0.003008,0.09312,6.4,0.078,0.011,0.0
9,2024.0,0.003008,0.09312,6.4,0.078,0.011,0.0
10,2025.0,0.003008,0.09312,6.4,0.078,0.011,0.0
11,2026.0,0.003008,0.09312,6.4,0.078,0.011,0.0
12,2027.0,0.003008,0.09312,6.4,0.078,0.011,0.0
13,2028.0,0.003008,0.09312,6.4,0.078,0.011,0.0
14,2029.0,0.003008,0.09312,6.4,0.078,0.011,0.0
15,2030.0,0.003008,0.09312,6.4,0.078,0.011,0.0
16,2031.0,0.003008,0.09312,6.4,0.078,0.011,0.0
17,2032.0,0.003008,0.09312,6.4,0.078,0.011,0.0
18,2033.0,0.003008,0.09312,6.4,0.078,0.011,0.0
19,2034.0,0.003008,0.09312,6.4,0.078,0.011,0.0
20,2035.0,0.003008,0.09312,6.4,0.078,0.011,0.0
21,2036.0,0.003008,0.09312,6.4,0.078,0.011,0.0
22,2037.0,0.003008,0.09312,6.4,0.078,0.011,0.0
23,2038.0,0.003008,0.09312,6.4,0.078,0.011,0.0
24,2039.0,0.003008,0.09312,6.4,0.078,0.011,0.0
25,2040.0,0.003008,0.09312,6.4,0.078,0.011,0.0
26,2041.0,0.003008,0.09312,6.4,0.078,0.011,0.0
27,2042.0,0.003008,0.09312,6.4,0.078,0.011,0.0
28,2043.0,0.003008,0.09312,6.4,0.078,0.011,0.0
29,2044.0,0.003008,0.09312,6.4,0.078,0.011,0.0
30,2045.0,0.003008,0.09312,6.4,0.078,0.011,0.0
31,2046.0,0.003008,0.09312,6.4,0.078,0.011,0.0
32,2047.0,0.003008,0.09312,6.4,0.078,0.011,0.0
33,2048.0,0.003008,0.09312,6.4,0.078,0.011,0.0
34,2049.0,0.003008,0.09312,6.4,0.078,0.011,0.0
35,2050.0,0.003008,0.09312,6.4,0.078,0.011,0.0
36,2051.0,0.003008,0.09312,6.4,0.078,0.011,0.0
37,2052.0,0.003008,0.09312,6.4,0.078,0.011,0.2344816755770752
38,2053.0,0.003008,0.09312,6.4,0.078,0.011,0.2344816755770752
39,2054.0,0.003008,0.09312,6.4,0.078,0.011,0.2344816755770752
40,2055.0,0.003008,0.09312,6.4,0.078,0.011,0.2344816755770752
41,2056.0,0.003008,0.09312,6.4,0.078,0.011,0.2344816755770752
42,2057.0,0.003008,0.09312,6.4,0.078,0.011,0.2344816755770752
43,2058.0,0.003008,0.09312,6.4,0.078,0.011,0.2344816755770752
44,2059.0,0.003008,0.09312,6.4,0.078,0.011,0.2344816755770752
45,2060.0,0.003008,0.09312,6.4,0.078,0.011,0.2344816755770752
46,2061.0,0.003008,0.09312,6.4,0.078,0.011,0.47615471112704333
47,2062.0,0.003008,0.09312,6.4,0.078,0.011,0.47615471112704333
48,2063.0,0.003008,0.09312,6.4,0.078,0.011,0.47615471112704333
49,2064.0,0.003008,0.09312,6.4,0.078,0.011,0.47615471112704333
50,2065.0,0.003008,0.09312,6.4,0.078,0.011,0.47615471112704333
51,2066.0,0.003008,0.09312,6.4,0.078,0.011,0.47615471112704333
52,2067.0,0.003008,0.09312,6.4,0.078,0.011,0.47615471112704333
53,2068.0,0.003008,0.09312,6.4,0.078,0.011,0.5492642927455267
54,2069.0,0.003008,0.09312,6.4,0.078,0.011,0.5492642927455267
55,2070.0,0.003008,0.09312,6.4,0.078,0.011,0.5492642927455267
