,y,Natural gas exports (Liquification terminal),Natural gas imports (LNG),Natural gas extraction
0,2021.0,-0.0,0.0,2.7039
1,2022.0,-0.0,0.0,2.6992
2,2023.0,-0.0,0.0,2.6946
3,2024.0,-0.0,0.0,2.69
4,2025.0,-686.8012,0.0,810.4665
5,2026.0,-686.8012,0.0,808.0014
6,2027.0,-686.8012,0.0,810.6776
7,2028.0,-686.8012,0.0,808.0014
8,2029.0,-0.0,0.0,2.6671
9,2033.0,-0.0,0.8288,0.0028
10,2034.0,-0.0,1.1001,0.0019
11,2035.0,-0.0,1.1001,0.0
12,2036.0,-0.0,1.0983,0.0
13,2037.0,-0.0,1.0598,0.0
14,2038.0,-0.0,0.8247,0.0
15,2039.0,-0.0,0.8233,0.0
16,2040.0,-0.0,0.8219,0.0
17,2041.0,-0.0,0.5461,0.0
18,2042.0,-0.0,0.5451,0.0
19,2043.0,-0.0,0.5442,0.0
20,2044.0,-0.0,0.5433,0.0
21,2045.0,-0.0,0.2727,0.0
22,2046.0,-0.0,0.2723,0.0
23,2047.0,-0.0,0.2718,0.0
24,2048.0,-0.0,0.5486,0.0
25,2049.0,-0.0,0.2768,0.0
26,2050.0,-0.0,0.2763,0.0
27,2051.0,-0.0,0.0058,0.0
28,2052.0,-0.0,0.0058,0.0
29,2053.0,-0.0,0.0058,0.0
30,2054.0,-0.0,0.0058,0.0
31,2055.0,-0.0,0.0057,0.0
32,2056.0,-0.0,0.0057,0.0
33,2057.0,-0.0,0.0057,0.0
34,2058.0,-0.0,0.0057,0.0
35,2059.0,-0.0,0.0056,0.0
36,2060.0,-0.0,0.0056,0.0
37,2061.0,-0.0,0.0056,0.0
38,2062.0,-0.0,0.0056,0.0
39,2063.0,-0.0,0.0055,0.0
40,2064.0,-0.0,0.0055,0.0
41,2065.0,-0.0,0.0055,0.0
42,2066.0,-0.0,0.0055,0.0
43,2067.0,-0.0,0.0054,0.0
44,2068.0,-0.0,0.0054,0.0
45,2069.0,-0.0,0.0054,0.0
46,2070.0,-0.0,0.0054,0.0
