,y,Dal,Dagash,Jebel Aulia,Kajbar,Mograt,Merowe,Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Roseires,Sabaloka,Sennar,Shereik
0,2015.0,0.0,0.0,0.0,0.0,0.0,19.019,0.0,0.4314,22.9188,0.0,0.0,0.0,0.0
1,2016.0,0.0,0.0,0.0,0.0,0.0,24.0063,0.0,0.4314,22.9188,0.0,0.0,0.0,0.0
2,2017.0,0.0,0.0,0.5123,0.0,0.0,34.9958,0.0,0.4314,11.8558,0.4024,0.0,0.0,0.0
3,2018.0,0.0,0.0,0.5123,0.0,0.0,34.9958,0.0,0.4314,12.6804,0.0,0.0,0.0,0.0
4,2019.0,0.0,0.0,0.5123,0.0,0.0,34.9958,0.0,0.4314,10.9643,0.0,0.0,0.0,0.0
5,2020.0,0.0,0.0,0.4495,0.0,0.0,34.369,0.1377,0.2563,11.0317,0.4024,0.0,0.1292,0.0
6,2021.0,0.0,0.0,0.5123,0.0,0.0,34.9958,0.2586,0.4314,22.9188,6.0501,0.0,0.4209,0.0
7,2022.0,0.0,0.0,0.5123,0.0,0.0,34.9958,0.2586,0.4314,22.9188,6.0501,0.0,0.4209,0.0
8,2023.0,0.0,0.0,0.5123,0.0,0.0,34.9958,0.2586,0.4314,22.9188,6.0501,0.0,0.4209,0.0
9,2024.0,0.0,0.0,0.5123,8.1111,0.0,34.9958,0.2586,0.4314,22.9188,6.0501,0.0,0.4209,0.0
10,2025.0,0.0,0.0,0.5123,8.1111,0.0,34.9958,0.2586,0.4314,22.9188,6.0501,0.0,0.4209,9.2977
11,2026.0,0.0,0.0,0.5123,8.1111,0.0,34.9958,0.2586,0.4314,22.9188,6.0501,0.0,0.4209,9.2977
12,2027.0,0.0,0.0,0.5123,8.1111,0.0,34.9958,0.2586,0.4314,22.9188,6.0501,0.0,0.4209,9.2977
13,2028.0,0.0,9.3473,0.5123,8.1111,0.0,34.9958,0.2586,0.4314,22.9188,6.0501,0.0,0.4209,9.2977
14,2029.0,0.0,9.3473,0.5123,8.1111,0.0,34.9958,0.2586,0.4314,22.9188,6.0501,0.0,0.4209,9.2977
15,2030.0,18.4556,9.3473,0.5123,8.1111,0.0,34.9958,0.2586,0.4314,22.9188,6.0501,6.1113,0.4209,9.2977
16,2031.0,18.4556,9.3473,0.5123,8.1111,0.0,34.9958,0.2586,0.4314,22.9188,6.0501,6.1113,0.4209,9.2977
17,2032.0,18.4556,9.3473,0.5123,8.1111,0.0,34.9958,0.2586,0.4314,22.9188,6.0501,6.1113,0.4209,9.2977
18,2033.0,18.4556,9.3473,0.5123,8.1111,0.0,34.9958,0.2586,0.4314,22.9188,6.0501,6.1113,0.4209,9.2977
19,2034.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,0.4314,28.3848,6.0501,6.1113,0.4209,9.2977
20,2035.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,22.1743,44.9388,6.0501,6.1113,0.4209,9.2977
21,2036.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,23.1698,44.9388,6.0501,6.1113,0.4209,9.2977
22,2037.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,24.3013,44.9388,6.0501,6.1113,0.4209,9.2977
23,2038.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,24.4057,44.9388,6.0501,6.1113,0.4209,9.2977
24,2039.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,24.6872,44.9388,6.0501,6.1113,0.4209,9.2977
25,2040.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,26.9633,44.9388,6.0501,6.1113,0.4209,9.2977
26,2041.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,26.9633,44.9388,6.0501,6.1113,0.4209,9.2977
27,2042.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,26.9633,44.9388,6.0501,6.1113,0.4209,9.2977
