,y,Egypt - Sudan Historic and Planned EL trade link,Ethiopia - Sudan EL existing trade link
0,2015.0,-11.9837,3.037
1,2016.0,-11.9837,3.037
2,2017.0,-11.9837,3.037
3,2018.0,-11.9837,2.3933
4,2019.0,-11.9837,5.8969
5,2020.0,-11.9837,5.2712
6,2021.0,-59.9184,5.3539
7,2022.0,-59.9184,4.9425
8,2023.0,-59.9184,4.8838
9,2024.0,-57.508,4.8838
10,2025.0,-59.9184,4.8838
11,2026.0,-49.7406,4.8838
12,2027.0,-47.4839,4.8838
13,2028.0,-49.0731,4.0131
14,2029.0,-43.0287,4.8838
15,2030.0,-55.0491,0.7715999999999998
16,2031.0,-44.601,0.7715999999999998
17,2032.0,-38.1024,2.8277
18,2033.0,-38.2963,4.8838
19,2034.0,-38.3854,3.9254999999999995
20,2035.0,-57.3586,3.1083
21,2036.0,-56.9724,1.8981000000000001
22,2037.0,-56.7352,1.5544
23,2038.0,-57.4114,2.1299
24,2039.0,-54.7483,-0.3549
25,2040.0,-52.6269,-1.1694
26,2041.0,-53.6613,-0.7677999999999998
27,2042.0,-54.4988,-0.5835999999999997
28,2043.0,-54.949,-0.8315999999999999
29,2044.0,-56.6086,0.1192000000000002
30,2045.0,-57.9951,0.8035000000000001
31,2046.0,-52.9625,-0.7635999999999998
32,2047.0,-75.4887,0.8026
33,2048.0,-165.1146,0.8218999999999999
34,2049.0,-157.6634,0.6482000000000001
35,2050.0,-152.1425,0.14179999999999993
36,2051.0,-150.775,1.5627
37,2052.0,-148.1657,1.8386
38,2053.0,-144.771,1.8386
39,2054.0,-141.5994,1.8386
40,2055.0,-144.1204,1.8386
41,2056.0,-139.8197,1.8386
42,2057.0,-134.6379,1.8386
43,2058.0,-133.3097,1.8386
44,2059.0,-137.2693,3.4452
45,2060.0,-134.4148,3.7264
46,2061.0,-132.376,3.7264
47,2062.0,-128.0938,3.7264
48,2063.0,-123.0665,3.7708999999999997
49,2064.0,-119.5911,3.7264
50,2065.0,-122.2858,3.7264
51,2066.0,-124.8729,3.7264
52,2067.0,-125.8608,3.7264
53,2068.0,-123.9313,3.7264
54,2069.0,-122.2358,3.7264
55,2070.0,-118.7194,3.7264
