,y,Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - OTF/OTS cooling (new),Egypt - Sudan Historic and Planned EL trade link,Ethiopia - Sudan EL existing trade link,Geothermal power plant - MDT cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (old),Dal,Dagash,Jebel Aulia,Kajbar,Mograt,Merowe,Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Roseires,Sabaloka,Sennar,Shereik,Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Light Fuel Oil power plant - OTF/OTS cooling (old),Dal FPV,Dagash FPV,Jebel Aulia FPV,Kajbar FPV,Mograt FPV,Merowe FPV,Roseires FPV,Sabaloka FPV,Sennar FPV,Shereik FPV,Solar PV (utility),Solar PV (roof top),Solar PV with storage
0,2015.0,0.0,0.0,-11.9837,3.037,0.0,1.9541,7.2394,0.0,0.0,0.0,0.0,0.0,34.9958,0.2586,0.0,10.1209,0.0,0.0,0.0265,0.0,0.0,1.5447,0.1505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0658,0.0
1,2016.0,0.0,0.0,-11.9837,3.037,0.0,1.9541,7.2394,0.0,0.0,0.0,0.0,0.0,34.9958,0.2586,0.0,15.0476,0.0,0.0,0.0265,0.0,0.0166,1.5447,0.1505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0717,0.0
2,2017.0,0.0,0.0,-11.9837,3.037,0.0,1.9541,7.2394,0.0,0.0,0.0,0.0,0.0,34.9958,0.0,0.0,14.9949,0.0,0.0,0.2128,0.0,0.0002,1.5447,0.1505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0776,0.0
3,2018.0,0.0,0.0,-11.9837,2.3933,0.0,1.9541,7.2394,0.0,0.0,0.0,0.0,0.0,34.9958,0.0,0.0,15.5041,0.0,0.0,0.2128,0.0,0.0,1.5447,0.1505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0776,0.0
4,2019.0,0.0,0.0,-11.9837,5.8969,0.0,1.9541,7.2394,0.0,0.0,0.0,0.0,0.0,34.9958,0.0,0.0,11.79,0.0,0.0,0.2128,0.0,0.0,1.5447,0.1505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0776,0.0
5,2020.0,0.0,0.0,-11.9837,5.2712,0.0,1.9541,7.2394,0.0,0.0,0.0727,0.0,0.0,28.5314,0.0244,0.0,18.8502,0.0,0.0,0.0265,0.0,0.0,1.5447,0.1505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0752,0.0
6,2021.0,3.2504,0.0,-59.9184,5.3539,0.0,9.2821,18.6894,0.0,0.0,0.5123,0.0,0.0,34.9958,0.2586,0.0,37.449,6.0501,0.0,0.4209,0.0,0.0152,1.4675,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0728,0.0
7,2022.0,3.0793,0.0,-59.9184,4.9425,0.0,8.7936,17.7863,0.0,0.0,0.5123,0.0,0.0,34.9958,0.2586,3.0506,40.5198,6.0501,0.0,0.4209,0.0,0.0152,1.3903,0.1355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704,0.0
8,2023.0,2.9082,0.0,-59.9184,4.8838,0.0,8.305,22.9219,0.0,0.0,0.5123,0.0,0.0,34.9958,0.2586,3.0506,40.5198,6.0501,0.0,0.4209,0.0,0.0152,1.313,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.0
9,2024.0,2.7371,0.0,-57.508,4.8838,2.6806,7.8165,14.9748,0.0,0.0,0.5123,8.1111,0.0,34.9958,0.2586,3.0506,40.5198,6.0501,0.0,0.4209,0.0,0.0152,1.2358,0.1204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0656,0.0
