,y,CO2
0,2015,1.8822
1,2016,1.5839
2,2017,2.134
3,2018,2.6842
4,2019,3.2344
5,2020,2.0336
6,2021,2.122
7,2022,2.2141
8,2023,2.3356
9,2024,2.296
10,2025,2.3385
11,2026,2.3819
12,2027,2.4262
13,2028,2.4714
14,2029,2.5167
15,2030,2.5627
16,2031,2.601
17,2032,2.6402
18,2033,2.6797
19,2034,2.7909
20,2035,2.9576
21,2036,3.1331
22,2037,3.318
23,2038,3.5153
24,2039,3.7203
25,2040,3.9364
26,2041,4.1153
27,2042,4.1711
28,2043,4.2207
29,2044,4.2718
30,2045,4.3238
31,2046,4.3752
32,2047,4.4208
33,2048,4.4668
34,2049,4.5132
35,2050,4.576
36,2051,4.6174
37,2052,4.6621
38,2053,4.7015
39,2054,4.7422
40,2055,4.7828
41,2056,4.8243
42,2057,4.8661
43,2058,4.9083
44,2059,4.9521
45,2060,5.0043
46,2061,5.0467
47,2062,5.0918
48,2063,5.1385
49,2064,5.2064
50,2065,5.2755
51,2066,5.346
52,2067,5.42
53,2068,5.4978
54,2069,5.5772
55,2070,5.6576
