,y,Coal extraction (mining),Coal imports (inland transport-maritime freight)
8,2023,15.5162,18.6155
9,2024,15.4403,23.6608
10,2025,187.9986,30.0707
11,2026,127.2162,38.1881
12,2027,0.0,59.674
13,2028,0.0,72.73740000000001
14,2029,0.0,89.3186
15,2030,0.0,110.3598
16,2031,0.0,103.1249
17,2032,0.0,136.5073
18,2033,0.0,242.1948
19,2034,0.0,270.8198
20,2035,0.0,210.1375
21,2036,0.0,172.6263
22,2037,0.0,282.9338
23,2038,0.0,365.1915
24,2039,0.0,453.5588
25,2040,0.0,471.75870000000003
26,2041,0.0,464.0909
27,2042,0.0,489.9901
28,2043,0.0,480.04859999999996
29,2044,0.0,465.3105
30,2045,0.0,458.3105
31,2046,0.0,477.41470000000004
32,2047,0.0,457.7694
33,2048,0.0,568.0647
34,2049,0.0,565.6014
35,2050,0.0,563.1695
36,2051,0.0,587.3018000000001
37,2052,0.0,581.4263000000001
38,2053,0.0,571.9779
39,2054,0.0,559.6282
40,2055,0.0,542.4382
41,2056,0.0,513.5195
42,2057,0.0,503.76599999999996
43,2058,0.0,503.2551
44,2059,0.0,505.24159999999995
45,2060,0.0,500.8918
46,2061,0.0,497.289
47,2062,0.0,492.5476
48,2063,0.0,489.03119999999996
49,2064,0.0,461.0435
50,2065,0.0,454.4877
51,2066,0.0,417.30760000000004
52,2067,0.0,458.5477
53,2068,0.0,427.54269999999997
54,2069,0.0,399.6985
55,2070,0.0,383.04699999999997
