,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Solar FPV,Wind,Biomass,Geothermal,power_trade
0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023.0,0.0,47.86,488.23,191.54000000000002,0.0,11.72,8.89,0.94,30.66,5.3100000000000005,16.03,-7.105427357601002e-15
9,2024.0,0.0,15.49,539.45,223.62,0.0,11.72,10.55,0.94,33.36,17.5,25.41,0.0
10,2025.0,67.33,39.629999999999995,528.97,274.99000000000007,0.0,11.72,14.690000000000001,6.34,36.07,14.969999999999999,33.45,0.0
11,2026.0,43.65,13.75,579.05,283.81,0.0,11.72,16.07,6.34,38.769999999999996,16.23,36.12,-7.105427357601002e-15
12,2027.0,0.0,12.790000000000001,624.83,288.13,0.0,11.72,17.13,6.34,41.47,18.330000000000002,38.79,-8.881784197001252e-16
13,2028.0,0.0,11.88,621.51,299.4,0.0,11.72,18.790000000000003,6.34,44.169999999999995,21.03,38.78,0.0
14,2029.0,0.0,11.29,627.1,299.95,0.0,11.72,20.45,6.34,46.870000000000005,23.07,38.77,0.0
15,2030.0,0.0,10.39,612.27,338.94,0.0,11.72,31.240000000000002,6.34,49.57,25.08,41.76,-3.552713678800501e-15
16,2031.0,0.0,8.950000000000001,631.14,354.54,0.0,11.72,43.54,6.34,55.42,27.090000000000003,41.75,0.0
17,2032.0,15.65,7.989999999999999,640.41,355.16,0.0,11.72,58.39,6.34,61.25,29.12,48.44,0.0
18,2033.0,59.33,7.06,620.0899999999999,355.67,0.0,11.72,76.24,6.34,67.09,31.150000000000002,53.18,0.0
19,2034.0,72.78,6.11,633.79,356.07000000000005,0.0,11.72,94.16,6.34,72.92,30.24,59.089999999999996,0.0
20,2035.0,50.93,5.1,678.45,358.58000000000004,0.0,11.72,104.59,8.44,78.76,29.33,64.84,7.105427357601002e-15
21,2036.0,38.29,4.12,714.91,359.58000000000004,0.0,11.72,121.41999999999999,11.09,84.6,29.33,71.53,0.0
22,2037.0,83.17,3.0999999999999996,695.5999999999999,360.55,0.0,11.72,140.24,13.2,90.44,29.33,78.22,0.0
23,2038.0,116.99000000000001,2.19,673.1,361.49,13.4,11.72,160.49,15.3,96.28,29.33,84.91,0.0
24,2039.0,153.09,1.1500000000000001,648.54,362.45000000000005,26.81,11.72,182.26,17.4,102.11,29.33,91.59,0.0
