,y,CSP (with storage),CSP (without storage),Solar FPV,Solar PV (roof top),Solar PV (utility),Solar PV with storage
0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2016.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2017.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2019.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2022.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023.0,6.5328,5.1926,0.9434,1.0949000000000002,6.3221,1.4742
9,2024.0,6.5328,5.1926,0.9434,1.0925,7.9875,1.4742
10,2025.0,6.5328,5.1926,6.3503,2.0913,9.6531,2.9483
11,2026.0,6.5328,5.1926,6.3503,2.0888999999999998,11.026299999999999,2.9483
12,2027.0,6.5328,5.1926,6.3503,2.0865,12.085500000000001,2.9483
13,2028.0,6.5328,5.1926,6.3503,2.0841,13.751000000000001,2.9483
14,2029.0,6.5328,5.1926,6.3503,2.0817,15.4166,2.9483
15,2030.0,6.5328,5.1926,6.3503,6.4700999999999995,17.082099999999997,7.6751000000000005
16,2031.0,6.5328,5.1926,6.3503,10.4194,20.416300000000003,12.7061
17,2032.0,6.5328,5.1926,6.3503,16.894000000000002,23.750300000000003,17.737099999999998
18,2033.0,6.5328,5.1926,6.3503,26.3776,27.084400000000002,22.7682
19,2034.0,6.5328,5.1926,6.3503,35.9452,30.4185,27.7992
20,2035.0,6.5328,5.1926,8.4507,42.551,33.7525,28.2906
21,2036.0,6.5328,5.1926,11.1022,51.0118,37.0867,33.3215
22,2037.0,6.5328,5.1926,13.2026,61.468399999999995,40.4207,38.3525
23,2038.0,6.5328,5.1926,15.302999999999999,73.3473,43.7549,43.3835
24,2039.0,6.5328,5.1926,17.403399999999998,86.7489,47.0889,48.414500000000004
25,2040.0,6.5328,5.1926,18.5604,103.3011,50.3593,53.4456
26,2041.0,6.5328,5.1926,18.5604,117.9419,55.1647,58.4766
27,2042.0,6.5328,5.1926,18.5604,133.9963,60.1704,63.5076
28,2043.0,6.5328,5.1926,18.5604,157.8688,64.8424,68.5386
29,2044.0,6.5328,5.1926,18.5604,179.92770000000002,69.848,73.5696
30,2045.0,6.5328,5.1926,18.5604,195.73960000000002,74.1862,78.6006
31,2046.0,0.0,0.0,18.5604,220.5163,77.5233,83.63159999999999
32,2047.0,0.0,0.0,18.5604,245.8036,80.8604,88.6626
33,2048.0,0.0,1.7405,18.5604,271.63419999999996,84.1975,98.49779999999998
34,2049.0,0.0,1.7405,18.5604,301.5781,87.5346,108.333
35,2050.0,0.0,13.2036,24.0055,332.795,90.8717,115.89850000000001
36,2051.0,0.0,32.6757,24.6655,352.5974,94.5012,116.38990000000001
37,2052.0,0.0,52.1478,28.5801,378.7004,98.4447,116.88130000000001
38,2053.0,4.8996,71.6199,32.957,402.6465,101.7818,121.9757
39,2054.0,29.3978,90.8699,34.12820000000001,430.6488,105.1189,127.27130000000001
40,2055.0,53.896,93.4662,35.6278,454.6795,108.456,137.10660000000001
41,2056.0,78.3941,96.0625,35.6278,483.2686,110.1245,142.43089999999998
42,2057.0,102.8923,98.6587,40.5197,511.8091999999999,111.7931,148.192
43,2058.0,127.3905,101.255,40.5197,539.4352,113.4616,153.4876
44,2059.0,130.6569,103.8513,40.5197,565.5961,115.1302,158.5783
45,2060.0,133.9233,106.4476,55.858900000000006,588.6682999999999,121.00269999999999,163.86079999999998
46,2061.0,137.1898,109.0439,57.019400000000005,613.1236,126.59710000000001,168.65
47,2062.0,140.4562,111.6402,59.8609,636.1940999999999,133.346,173.5967
48,2063.0,143.7226,114.2364,66.7085,651.4713,141.22830000000002,178.7095
49,2064.0,146.989,116.8327,74.5828,668.4444,154.2497,183.387
50,2065.0,150.2554,119.429,76.97540000000001,691.6924,161.21359999999999,187.8972
51,2066.0,153.5219,122.0253,88.03750000000001,702.6954,187.84990000000002,195.85250000000002
52,2067.0,156.7883,124.6216,80.0263,720.0189,191.53640000000001,197.2732
53,2068.0,160.0547,127.2179,87.4652,733.502,220.37220000000002,197.353
54,2069.0,163.3211,129.8141,84.0395,742.9061,237.1321,198.1738
55,2070.0,166.5876,132.4104,92.6229,745.9626,254.8424,202.54999999999998
