,y,Coal,Gas,Nuclear,Solar CSP,Solar PV,Solar FPV,Wind,Biomass
8,2023.0,0.0,0.0,0.0,0.0,0.25,0.135,0.25,0.0
9,2024.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.1
10,2025.0,3.0,0.0,0.0,0.0,0.55,0.771,0.25,0.1
11,2026.0,3.0,0.0,0.0,0.0,0.206,0.0,0.25,0.1
12,2027.0,0.0,0.0,0.0,0.0,0.159,0.0,0.25,0.1
13,2028.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.1
14,2029.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.1
15,2030.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.1
16,2031.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.1
17,2032.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.1
18,2033.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.1
19,2034.0,0.0,1.247,0.0,0.0,0.6,0.0,0.5,0.0
20,2035.0,0.0,2.455,0.0,0.0,0.6,0.3,0.5,0.0
21,2036.0,0.0,2.106,0.0,0.0,0.6,0.379,0.5,0.0
22,2037.0,0.0,0.0,0.0,0.0,0.6,0.3,0.5,0.0
23,2038.0,0.0,0.0,0.5,0.0,0.6,0.3,0.5,0.0
24,2039.0,0.0,0.0,0.5,0.0,0.6,0.3,0.5,0.0
25,2040.0,0.0,0.0,0.5,0.0,0.6,0.165,0.5,0.0
26,2041.0,0.0,0.636,0.5,0.0,1.05,0.0,1.5,0.1
27,2042.0,0.0,1.088,0.5,0.0,0.95,0.0,1.5,0.1
28,2043.0,0.0,1.375,0.0,0.0,0.85,0.0,1.5,0.05
29,2044.0,0.0,1.453,0.0,0.0,0.85,0.0,1.5,0.0
30,2045.0,0.0,1.868,0.0,0.0,1.15,0.0,1.5,0.0
31,2046.0,0.0,2.398,0.0,0.0,0.85,0.0,1.5,0.0
32,2047.0,0.0,4.346,0.0,0.0,0.85,0.0,1.5,0.0
33,2048.0,0.0,9.184,0.0,0.134,0.85,0.135,1.5,0.0
34,2049.0,0.0,2.326,0.0,0.0,0.85,0.0,1.5,0.0
35,2050.0,0.0,1.494,0.0,0.883,1.35,0.771,1.5,0.0
36,2051.0,0.0,0.109,0.5,1.5,0.95,0.0,1.5,0.1
37,2052.0,0.0,0.05,0.5,1.5,0.95,0.0,1.5,0.1
38,2053.0,0.0,0.664,0.0,1.8,0.95,0.0,1.5,0.05
39,2054.0,0.0,0.0,0.0,2.983,0.95,0.0,1.5,0.1
40,2055.0,0.0,0.721,0.0,1.7,0.95,0.0,1.5,0.1
41,2056.0,0.0,1.001,0.0,1.7,0.95,0.0,1.5,0.1
42,2057.0,0.0,1.198,0.0,1.7,0.95,0.0,1.5,0.1
43,2058.0,0.0,1.241,0.0,1.7,0.95,0.0,1.5,0.1
44,2059.0,0.0,2.143,0.0,0.4,0.95,0.0,1.5,0.1
45,2060.0,0.0,2.118,0.0,0.4,0.95,0.3,1.5,0.1
46,2061.0,0.0,1.816,0.0,0.4,1.4,0.379,2.0,0.1
47,2062.0,0.0,1.846,0.0,0.4,1.3,0.3,2.0,0.1
48,2063.0,0.0,2.867,0.0,0.4,1.2,0.3,2.0,0.1
49,2064.0,0.0,3.517,0.0,0.4,1.2,0.3,2.0,0.2
50,2065.0,0.0,3.633,0.0,0.4,1.5,0.165,2.0,0.2
51,2066.0,0.0,5.292,0.0,0.4,1.2,0.0,2.0,0.2
52,2067.0,0.0,0.0,0.0,0.4,1.2,0.0,2.0,0.2
53,2068.0,0.0,0.0,0.0,0.4,1.2,0.0,2.0,0.2
54,2069.0,0.0,1.68,0.0,0.4,1.2,0.0,2.0,0.1
55,2070.0,0.0,2.74,0.0,0.4,1.7,0.0,2.0,0.1
