,y,Egypt - Jordan Historic EL trade link,Egypt - Saudi Arabia Planned EL trade link,Egypt - Sudan Historic and Planned EL trade link,Libya - Egypt Historic EL trade link
8,2023.0,-8.9878,0.0,48.4411,-5.0931
9,2024.0,-8.9878,-44.9388,26.828,-5.0931
10,2025.0,-8.9878,-134.8164,59.0587,-5.0931
11,2026.0,-8.9878,-134.8164,32.6569,-5.0931
12,2027.0,-8.9878,-134.8164,7.8115,-5.0931
13,2028.0,-8.9878,-134.8164,10.8239,-5.0931
14,2029.0,-8.9878,-134.8164,5.4297,-5.0931
15,2030.0,-8.9878,-134.8164,28.2438,-5.0931
16,2031.0,-8.9878,-134.8164,28.544,-5.0931
17,2032.0,-8.9878,-134.8164,50.1302,-5.0931
18,2033.0,-8.9878,-134.8164,49.6575,-5.0931
19,2034.0,-8.9878,-134.8164,57.3854,-5.0931
20,2035.0,-8.9878,-134.8164,57.63,-5.0931
21,2036.0,-8.9878,-134.8164,62.4869,-5.0931
22,2037.0,-8.9878,-134.8164,103.5218,-5.0931
23,2038.0,-8.9878,-134.8164,133.1569,-5.0931
24,2039.0,-8.9878,-134.8164,164.0712,-5.0931
25,2040.0,-8.9878,-134.8164,179.7552,-5.0931
26,2041.0,-8.9878,-134.8164,179.7552,-5.0931
27,2042.0,-8.9878,-134.8164,179.7552,-5.0931
28,2043.0,-8.9878,-134.8164,179.7552,-5.0931
29,2044.0,-8.9878,-134.8164,179.7192,-5.0931
30,2045.0,-8.9878,-134.8164,179.7552,-5.0931
31,2046.0,-8.9878,-134.8164,179.7552,-5.0931
32,2047.0,-8.9878,-134.8164,179.7552,-5.0931
33,2048.0,-8.9878,-131.1727,179.7552,-3.763
34,2049.0,-8.9878,-134.8164,179.7552,-4.1303
35,2050.0,-8.9878,-134.8164,179.7552,-5.0931
36,2051.0,-8.9878,-134.8164,179.2221,-5.0931
37,2052.0,-8.9878,-134.8164,178.9313,-5.0931
38,2053.0,-8.9878,-134.8164,178.4324,-5.0931
39,2054.0,-8.9878,-134.8164,177.882,-5.0931
40,2055.0,-8.9878,-134.8164,177.3037,-5.0931
41,2056.0,-8.9878,-130.4687,175.5891,-4.1303
42,2057.0,-8.9878,-132.6792,174.3915,-4.1303
43,2058.0,-8.9878,-134.8164,174.9906,-4.1303
44,2059.0,-8.9878,-134.8164,174.4497,-5.0931
45,2060.0,-8.9878,-134.8164,173.4906,-5.0931
46,2061.0,-8.9878,-134.8164,172.5058,-5.0931
47,2062.0,-8.9878,-134.8164,171.3908,-5.0931
48,2063.0,-8.9878,-134.8164,170.2432,-5.0931
49,2064.0,-8.9878,-134.8164,167.4065,-5.0931
50,2065.0,-8.9878,-134.8164,166.9106,-3.1779
51,2066.0,-8.9878,-134.8164,166.5708,-3.1779
52,2067.0,-8.1382,-112.2509,172.9945,-3.1779
53,2068.0,0.009199999999999875,-60.024800000000006,179.7552,5.0931
54,2069.0,8.9878,31.2472,179.7552,5.0931
55,2070.0,7.5719,134.1202,179.7552,5.0931
