,y,Coal imports (inland transport-maritime freight)
8,2023.0,18.6155
9,2024.0,23.6608
10,2025.0,30.0707
11,2026.0,38.1881
12,2027.0,48.4929
13,2028.0,61.572
14,2029.0,78.1688
15,2030.0,99.2256
16,2031.0,92.4973
17,2032.0,86.2341
18,2033.0,80.4011
19,2034.0,74.9668
20,2035.0,70.7214
21,2036.0,66.0277
22,2037.0,61.6409
23,2038.0,57.5421
24,2039.0,53.7137
25,2040.0,50.1385
26,2041.0,43.2845
27,2042.0,37.366
28,2043.0,32.2559
29,2044.0,27.8442
30,2045.0,24.0356
31,2046.0,20.7477
32,2047.0,17.9094
33,2048.0,15.4593
34,2049.0,13.3442
35,2050.0,11.5184
36,2051.0,10.3665
37,2052.0,9.2147
38,2053.0,8.0629
39,2054.0,6.911
40,2055.0,5.7592
41,2056.0,4.6073
42,2057.0,3.4555
43,2058.0,2.3037
44,2059.0,1.1518
45,2060.0,2.2014
46,2061.0,1.9901
47,2062.0,1.2008
48,2063.0,2.2014
49,2064.0,2.6736
50,2065.0,3.0504
51,2066.0,2.3672
52,2067.0,3.2763
53,2068.0,5.5772
54,2069.0,5.5772
55,2070.0,5.5772
