,y,Ethiopia - Djibouti NG planned trade link,Natural gas extraction
2,2023.0,-3.2175,3.25
3,2024.0,-3.2175,3.25
4,2025.0,-3.2175,3.25
5,2026.0,-3.2175,3.25
6,2027.0,-3.2175,3.25
7,2028.0,-3.2175,3.25
8,2029.0,-3.2175,3.25
9,2030.0,-3.2175,26.6192
10,2031.0,-3.2175,19.612
11,2032.0,-3.2175,20.9399
12,2033.0,-3.2175,21.0336
13,2034.0,-3.2175,22.1844
14,2035.0,-3.2175,24.6395
15,2036.0,-3.2175,26.2643
16,2037.0,-3.2175,28.4342
17,2038.0,-3.2175,30.6434
18,2039.0,-3.2175,32.8947
19,2040.0,-3.2175,35.0749
20,2041.0,-3.2175,36.4489
21,2042.0,0.0,34.9804
22,2043.0,0.0,34.4742
23,2044.0,0.0,32.4376
24,2045.0,0.0,26.3129
25,2046.0,0.0,28.9034
26,2047.0,0.0,31.6007
27,2048.0,0.0,29.7142
28,2049.0,0.0,25.5968
29,2050.0,0.0,26.5241
30,2051.0,0.0,26.5315
31,2052.0,0.0,26.2745
32,2053.0,0.0,26.6753
33,2054.0,0.0,26.1367
34,2055.0,0.0,25.708
35,2056.0,0.0,22.7565
36,2057.0,0.0,22.8437
37,2058.0,0.0,22.9313
38,2059.0,0.0,23.3155
39,2060.0,0.0,16.8369
40,2061.0,0.0,16.3395
41,2062.0,0.0,14.7035
42,2063.0,0.0,14.3991
43,2064.0,0.0,13.1785
44,2065.0,0.0,10.7142
45,2066.0,0.0,7.2611
46,2067.0,0.0,4.7582
47,2068.0,0.0,4.7825
48,2069.0,0.0,1.5826
49,2070.0,0.0,1.2048
