,y,Coal,Oil,Gas,Hydro,Solar PV,Solar FPV,Geothermal
6,2023.0,0.0,0.0,0.0,7.088,0.0,0.0,0.2
7,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
8,2025.0,0.0,0.007,0.0,1.025,0.0,0.0,0.2
9,2028.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
10,2030.0,0.0,0.0,0.87,0.55,0.0,0.0,0.112
11,2031.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,2032.0,0.0,0.0,0.072,0.0,0.254,0.0,0.25
13,2033.0,0.0,0.001,0.007,0.0,0.635,0.0,0.177
14,2034.0,0.0,0.0,0.063,0.0,0.555,0.0,0.221
15,2035.0,0.0,0.0,0.133,0.0,0.976,0.0,0.215
16,2036.0,0.0,0.0,0.089,0.0,0.669,0.0,0.25
17,2037.0,0.0,0.0,0.119,0.0,0.78,0.0,0.25
18,2038.0,0.0,0.0,0.121,0.0,0.898,0.0,0.25
19,2039.0,0.0,0.0,0.124,0.0,1.026,0.0,0.25
20,2040.0,0.0,0.0,0.244,0.0,1.398,0.0,0.25
21,2041.0,0.0,0.009,0.145,0.0,1.116,0.0,0.25
22,2042.0,0.0,0.0,0.147,0.0,1.224,0.0,0.25
23,2043.0,0.0,0.0,0.061,0.0,2.317,0.0,0.021
24,2044.0,0.0,0.0,0.084,0.0,2.463,0.0,0.0
25,2045.0,0.0,0.009,0.011,1.6,1.681,0.0,0.0
26,2046.0,0.0,0.003,0.181,0.0,3.0,0.0,0.0
27,2047.0,0.0,0.003,0.174,0.0,3.0,0.0,0.0
28,2048.0,0.0,0.003,0.0,0.0,3.5,0.0,0.13
29,2049.0,0.0,0.003,0.001,0.0,3.5,0.0,0.25
30,2050.0,0.0,0.039,0.0,0.0,3.5,0.0,0.109
31,2051.0,0.0,0.0,0.0,0.0,2.88,0.0,0.0
32,2052.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
33,2053.0,0.0,0.0,0.0,0.0,3.479,0.0,0.0
34,2054.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0
35,2055.0,0.0,0.0,0.0,0.0,3.5,0.0,0.21
36,2056.0,0.0,0.0,0.0,0.0,3.5,0.0,0.25
37,2057.0,0.0,0.0,0.0,0.0,3.5,0.0,0.25
38,2058.0,0.0,0.0,0.0,0.0,3.5,0.0,0.25
39,2059.0,0.0,0.0,0.0,0.216,3.5,0.0,0.25
40,2060.0,0.084,0.0,0.0,0.285,3.5,2.182,0.25
41,2061.0,0.0,0.0,0.0,0.0,3.5,0.201,0.25
42,2062.0,0.0,0.0,0.0,0.0,3.5,0.506,0.25
43,2063.0,0.0,0.0,0.0,0.0,3.5,1.201,0.25
44,2064.0,0.0,0.0,0.0,0.0,3.5,1.628,0.25
45,2065.0,0.0,0.0,0.0,0.0,3.5,1.469,0.25
46,2066.0,0.0,0.0,0.0,0.0,5.027,1.819,0.25
47,2067.0,0.041,0.0,0.0,0.0,5.341,1.0,0.25
48,2068.0,0.087,0.0,0.0,0.0,5.397,0.406,0.25
49,2069.0,0.0,0.0,0.0,2.167,3.5,0.674,0.0
50,2070.0,0.0,0.0,0.0,0.0,4.301,1.467,0.25
