,y,Coal,Oil,Gas,Hydro,Solar PV,Solar FPV,Biomass,Geothermal,power_trade
8,2023.0,0.0,40.53,22.99,40.83,0.07,0.0,2.91,0.0,-42.45
9,2024.0,0.0,8.73,22.99,51.62,0.07,0.0,2.74,2.68,-20.84
10,2025.0,0.0,33.11,22.99,64.04,0.06,0.0,1.71,5.36,-53.07
11,2026.0,0.0,7.63,22.99,64.04,0.06,0.0,1.54,8.04,-26.67
12,2027.0,0.0,7.08,0.0,64.04,0.06,0.0,1.37,10.72,-1.82
13,2028.0,0.0,6.53,0.0,73.39,0.06,0.0,1.2,10.72,-4.83
14,2029.0,0.0,5.98,0.85,73.39,0.05,0.0,1.03,10.72,0.56
15,2030.0,0.0,5.45,0.0,103.6,5.04,0.0,0.86,10.72,-26.14
16,2031.0,0.0,4.91,0.0,103.6,13.2,0.0,0.68,10.72,-25.56
17,2032.0,0.0,4.36,22.99,103.6,22.24,0.0,0.51,10.72,-47.27
18,2033.0,0.0,3.8,22.99,103.6,31.83,0.0,0.34,10.72,-47.16
19,2034.0,8.37,3.27,22.99,103.6,42.02,0.0,0.17,10.72,-55.01
20,2035.0,8.37,2.73,22.99,103.6,42.0,0.0,0.0,10.72,-55.01
21,2036.0,14.12,2.18,22.99,103.6,50.36,0.0,0.0,10.72,-59.78
22,2037.0,56.9,1.63,22.99,103.6,60.0,0.0,0.0,10.72,-100.45
23,2038.0,87.39,1.14,22.99,103.6,70.29,0.0,0.0,10.72,-129.5
24,2039.0,119.36,0.57,22.99,103.6,81.28,0.0,0.0,10.72,-159.88
25,2040.0,140.75,0.0,18.03,103.6,93.01,0.0,0.0,10.72,-175.56
26,2041.0,140.75,0.0,17.39,103.6,104.65,0.0,0.0,10.72,-175.56
27,2042.0,141.71,0.0,16.23,103.21,117.01,0.0,0.0,10.72,-175.62
28,2043.0,144.39,0.0,13.14,103.21,130.14,0.0,0.0,10.72,-175.89
29,2044.0,146.04,0.0,16.08,102.99,140.49,0.0,0.0,10.72,-177.06
30,2045.0,146.04,0.0,21.16,102.99,149.66,0.0,0.0,10.72,-176.71
31,2046.0,157.08,0.0,20.28,98.95,159.28,0.0,0.0,10.72,-176.96
32,2047.0,164.85,0.0,18.86,98.95,169.41,0.0,0.0,10.72,-176.96
33,2048.0,173.21,0.0,17.36,98.95,180.08,0.0,0.0,10.72,-176.96
34,2049.0,180.29,0.0,15.19,98.95,194.87,0.0,0.0,10.72,-178.25
35,2050.0,187.16,0.0,10.08,98.95,208.04,5.45,0.0,10.72,-178.88
36,2051.0,199.41,0.0,8.01,98.95,208.91,6.11,0.0,10.72,-177.47
37,2052.0,199.41,0.0,9.73,98.95,215.66,10.03,0.0,10.72,-176.76
38,2053.0,199.41,0.0,10.86,98.95,222.66,14.41,0.0,10.72,-175.7
39,2054.0,199.41,0.0,12.08,98.95,233.15,15.58,0.0,10.72,-174.81
40,2055.0,197.16,0.0,12.32,98.95,246.88,17.08,0.0,10.72,-174.0
41,2056.0,197.09,0.0,13.09,98.95,258.6,17.08,0.0,10.72,-171.69
42,2057.0,193.8,0.0,13.38,98.95,271.27,21.97,0.0,10.72,-170.95
43,2058.0,194.1,0.0,18.08,98.95,283.29,21.97,0.0,10.72,-171.91
44,2059.0,195.38,0.0,22.07,98.95,294.42,21.97,0.0,10.72,-171.57
45,2060.0,193.32,0.0,22.63,98.95,309.18,24.42,0.0,10.72,-169.87
46,2061.0,192.05,0.0,22.93,98.95,321.62,24.42,0.0,10.72,-168.78
47,2062.0,190.55,0.0,23.24,98.95,334.63,24.42,0.0,10.72,-167.66
48,2063.0,188.84,0.0,23.56,98.95,348.2,24.48,0.0,10.72,-166.51
49,2064.0,177.78,0.0,24.46,98.95,369.21,24.48,0.0,10.72,-163.95
50,2065.0,175.12,0.0,24.21,98.95,385.19,24.48,0.0,10.72,-163.18
51,2066.0,160.92,0.0,22.55,98.95,415.0,24.48,0.0,10.72,-162.86
52,2067.0,176.69,0.0,16.83,98.95,426.65,24.48,0.0,10.72,-169.48
53,2068.0,163.73,0.0,25.94,96.46,455.65,24.48,0.0,10.72,-176.65
54,2069.0,152.91,0.0,30.85,98.37,480.57,20.7,0.0,9.73,-176.85
55,2070.0,146.45,0.0,34.41,96.96,501.5,21.1,0.0,9.73,-177.25
