,y,Solar PV (utility),Solar PV (roof top),Solar PV with storage,Solar FPV
8,2023.0,0.0,0.068,0.0,0.0
9,2024.0,0.0,0.0656,0.0,0.0
10,2025.0,0.0,0.0632,0.0,0.0
11,2026.0,0.0,0.0608,0.0,0.0
12,2027.0,0.0,0.0584,0.0,0.0
13,2028.0,0.0,0.056,0.0,0.0
14,2029.0,0.0,0.0536,0.0,0.0
15,2030.0,0.0,2.7735,2.2698,0.0
16,2031.0,0.0,6.3891,6.8094,0.0
17,2032.0,0.0,10.8885,11.349,0.0
18,2033.0,0.0,15.9396,15.8887,0.0
19,2034.0,0.0,21.5913,20.4283,0.0
20,2035.0,0.0,21.5711,20.4283,0.0
21,2036.0,0.0,25.3902,24.9679,0.0
22,2037.0,0.0,30.4869,29.5075,0.0
23,2038.0,0.0,36.2369,34.0471,0.0
24,2039.0,0.0,42.6852,38.5867,0.0
25,2040.0,0.0,49.8801,43.1264,0.0
26,2041.0,0.0,56.9806,47.666,0.0
27,2042.0,0.0,64.8003,52.2056,0.0
28,2043.0,0.0,73.3853,56.7452,0.0
29,2044.0,0.0,79.2118,61.2848,0.0
30,2045.0,0.0,83.8422,65.8244,0.0
31,2046.0,0.0,88.9207,70.3641,0.0
32,2047.0,0.0,94.5098,74.9037,0.0
33,2048.0,0.0,100.6422,79.4433,0.0
34,2049.0,0.0,110.8879,83.9829,0.0
35,2050.0,0.0,121.7933,86.2527,5.4451
36,2051.0,0.0,122.6612,86.2527,6.1051
37,2052.0,0.0,129.4075,86.2527,10.019699999999998
38,2053.0,0.0,136.408,86.2527,14.3966
39,2054.0,0.0,146.9015,86.2527,15.567800000000002
40,2055.0,0.0,156.0923,90.7923,17.0674
41,2056.0,0.0,167.8063,90.7923,17.0674
42,2057.0,0.0,180.4781,90.7923,21.9593
43,2058.0,0.0,192.5027,90.7923,21.9593
44,2059.0,0.0,203.8289,90.5874,21.9593
45,2060.0,4.204,214.4109,90.5743,24.406100000000002
46,2061.0,6.4612,225.0873,90.0678,24.406100000000002
47,2062.0,9.873,235.0445,89.7189,24.406100000000002
48,2063.0,14.4182,244.2364,89.5361,24.4711
49,2064.0,24.1025,256.1867,88.918,24.4711
50,2065.0,27.7293,269.3333,88.1326,24.4711
51,2066.0,45.5062,278.7012,90.7923,24.4711
52,2067.0,45.5062,294.2195,86.9173,24.4711
53,2068.0,63.2831,305.864,86.5058,24.4711
54,2069.0,80.3258,313.3952,86.8385,20.692
55,2070.0,96.1745,314.5436,90.7923,21.0984
